# vlowk itz =  0 l =  0 s =  1 jt =  1 kvnn =   6  Lambda =  12.00
#  fac=0.25 reg.= 0 int. smooth= 0 real smooth=  0.0000 meth= 3 herm= 0
#     k               V11             V12              V21             V22 
   0.001185   -1.836838E-01  -5.372164E-06  -5.372164E-06   5.626088E-12
   0.006239   -1.835530E-01  -1.489460E-04  -1.489460E-04   4.326365E-09
   0.015318   -1.828102E-01  -8.969718E-04  -8.969718E-04   1.573163E-07
   0.028399   -1.807333E-01  -3.072585E-03  -3.072585E-03   1.855602E-06
   0.045447   -1.761928E-01  -7.801919E-03  -7.801919E-03   1.208915E-05
   0.066417   -1.678518E-01  -1.640033E-02  -1.640033E-02   5.455454E-05
   0.091251   -1.542890E-01  -3.016781E-02  -3.016781E-02   1.910213E-04
   0.119882   -1.341861E-01  -5.008711E-02  -5.008711E-02   5.533658E-04
   0.152235   -1.065640E-01  -7.648238E-02  -7.648238E-02   1.378393E-03
   0.188220   -7.098862E-02  -1.087634E-01  -1.087634E-01   3.023396E-03
   0.227742   -2.766564E-02  -1.453852E-01  -1.453852E-01   5.928258E-03
   0.270694    2.261589E-02  -1.841108E-01  -1.841108E-01   1.050245E-02
   0.316959    7.866316E-02  -2.224772E-01  -2.224772E-01   1.697200E-02
   0.366414    1.390943E-01  -2.582609E-01  -2.582609E-01   2.528784E-02
   0.418925    2.025156E-01  -2.897649E-01  -2.897649E-01   3.517232E-02
   0.474351    2.676364E-01  -3.159069E-01  -3.159069E-01   4.623878E-02
   0.532541    3.333223E-01  -3.361913E-01  -3.361913E-01   5.804833E-02
   0.593339    3.985929E-01  -3.506106E-01  -3.506106E-01   7.011439E-02
   0.656582    4.625952E-01  -3.594907E-01  -3.594907E-01   8.196838E-02
   0.722098    5.245846E-01  -3.633462E-01  -3.633462E-01   9.323942E-02
   0.789711    5.839125E-01  -3.627842E-01  -3.627842E-01   1.036455E-01
   0.859239    6.400190E-01  -3.584347E-01  -3.584347E-01   1.129786E-01
   0.930495    6.924364E-01  -3.509006E-01  -3.509006E-01   1.211236E-01
   1.003286    7.407950E-01  -3.407391E-01  -3.407391E-01   1.280327E-01
