#       k             kp                 V11                    V12                    V21                    V22          
   0.000973       2.932537         1.407111e-02           -2.803311e-02          -4.748605e-10          5.491536e-10      
   0.000973       3.057188         1.365823e-02           -2.391297e-02          -4.854906e-10          2.643593e-10      
   0.000973       3.188404         1.262512e-02           -2.049819e-02          -4.435222e-10          1.716302e-10      
   0.000973       3.325894         1.129603e-02           -1.737097e-02          -3.829198e-10          1.602572e-10      
   0.000973       3.469352         9.861080e-03           -1.441388e-02          -3.207819e-10          1.644669e-10      
   0.000973       3.618456         8.428988e-03           -1.166232e-02          -2.636165e-10          1.587368e-10      
   0.000973       3.772874         7.064804e-03           -9.187252e-03          -2.132555e-10          1.405046e-10      
   0.000973       3.932262         5.809149e-03           -7.039346e-03          -1.699707e-10          1.149790e-10      
   0.000973       4.096264         4.686273e-03           -5.236897e-03          -1.335109e-10          8.757252e-11      
   0.000973       4.264514         3.707811e-03           -3.771352e-03          -1.033627e-10          6.188405e-11      
   0.000973       4.436636         2.875438e-03           -2.615998e-03          -7.885946e-11          3.983120e-11      
   0.000973       4.612247         2.183291e-03           -1.733497e-03          -5.926526e-11          2.216585e-11      
   0.000973       4.790955         1.620264e-03           -1.081727e-03          -4.383726e-11          8.902595e-12      
   0.000973       4.972360         1.172050e-03           -6.180911e-04          -3.186893e-11          -3.752316e-13     
   0.000973       5.156059         8.228589e-04           -3.025233e-04          -2.271745e-11          -6.301859e-12     
   0.000973       5.341640         5.567576e-04           -9.936528e-05          -1.581868e-11          -9.583367e-12     
   0.000973       5.528691         3.586308e-04           2.166744e-05           -1.069245e-11          -1.090332e-11     
   0.000973       5.716793         2.147955e-04           8.522809e-05           -6.940552e-12          -1.086724e-11     
   0.000973       5.905527         1.133282e-04           1.105870e-04           -4.240037e-12          -9.975700e-12     
   0.000973       6.094473         4.416997e-05           1.122027e-04           -2.333788e-12          -8.617587e-12     
   0.000973       6.283207         -9.273667e-07          1.004614e-04           -1.020253e-12          -7.076571e-12     
   0.000973       6.471309         -2.855333e-05          8.246653e-05           -1.434223e-13          -5.545098e-12     
   0.000973       6.658360         -4.384534e-05          6.279278e-05           4.161717e-13           -4.141746e-12     
   0.000973       6.843941         -5.071430e-05          4.415465e-05           7.491441e-13           -2.928951e-12     
   0.000973       7.027640         -5.206647e-05          2.796305e-05           9.235765e-13           -1.929185e-12     
   0.000973       7.209045         -5.000725e-05          1.476512e-05           9.900885e-13           -1.138592e-12     
   0.000973       7.387753         -4.601951e-05          4.574855e-06           9.858486e-13           -5.377107e-13     
   0.000973       7.563364         -4.111392e-05          -2.890517e-06          9.377260e-13           -9.938161e-14     
   0.000973       7.735486         -3.595170e-05          -8.050435e-06          8.647607e-13           2.058215e-13      
   0.000973       7.903736         -3.094213e-05          -1.135927e-05          7.800999e-13           4.061611e-13      
   0.000973       8.067738         -2.631795e-05          -1.324705e-05          6.925124e-13           5.268211e-13      
   0.000973       8.227126         -2.219232e-05          -1.408940e-05          6.075685e-13           5.890640e-13      
   0.000973       8.381544         -1.860063e-05          -1.419646e-05          5.285518e-13           6.100906e-13      
   0.000973       8.530648         -1.553055e-05          -1.381318e-05          4.571555e-13           6.033181e-13      
   0.000973       8.674106         -1.294248e-05          -1.312579e-05          3.939985e-13           5.788710e-13      
   0.000973       8.811596         -1.078401e-05          -1.227088e-05          3.390117e-13           5.441476e-13      
   0.000973       8.942812         -8.998636e-06          -1.134503e-05          2.917204e-13           5.043761e-13      
   0.000973       9.067463         -7.531129e-06          -1.041382e-05          2.514276e-13           4.631146e-13      
   0.000973       9.185268         -6.330630e-06          -9.519574e-06          2.173423e-13           4.226735e-13      
   0.000973       9.295966         -5.352097e-06          -8.687755e-06          1.886663e-13           3.844564e-13      
   0.000973       9.399309         -4.556703e-06          -7.931970e-06          1.646430e-13           3.492245e-13      
   0.000973       9.495067         -3.911660e-06          -7.257828e-06          1.445834e-13           3.172927e-13      
   0.000973       9.583026         -3.389722e-06          -6.665796e-06          1.278766e-13           2.886658e-13      
   0.000973       9.662990         -2.968541e-06          -6.153298e-06          1.139894e-13           2.631216e-13      
   0.000973       9.734780         -2.630008e-06          -5.716253e-06          1.024558e-13           2.402372e-13      
   0.000973       9.798237         -2.359633e-06          -5.350261e-06          9.285922e-14           2.193369e-13      
   0.000973       9.853218         -2.146032e-06          -5.051745e-06          8.479508e-14           1.992842e-13      
   0.000973       9.899602         -1.980589e-06          -4.819680e-06          7.778776e-14           1.778488e-13      
   0.000973       9.937284         -1.857581e-06          -4.660156e-06          7.103668e-14           1.495657e-13      
   0.000973       9.966180         -1.776719e-06          -4.606517e-06          6.206268e-14           9.574894e-14      
   0.000973       9.986227         -2.876438e-06          -5.679660e-06          -5.304677e-13          -4.970890e-13     
   0.000973       9.997385         -6.723773e-05          -5.260506e-05          -3.271985e-11          -2.359610e-11     
   0.005125       0.000973         -2.367454e+00          -3.741917e-06          -1.022047e-04          5.792506e-07      
   0.005125       0.005125         -2.367393e+00          -1.021891e-04          -1.021891e-04          8.144594e-07      
   0.005125       0.012579         -2.367108e+00          -6.154674e-04          -1.021256e-04          -4.313876e-11     
   0.005125       0.023314         -2.366278e+00          -2.112279e-03          -1.019223e-04          -1.481557e-10     
   0.005125       0.037292         -2.364436e+00          -5.394623e-03          -1.014873e-04          -3.790202e-10     
   0.005125       0.054469         -2.361027e+00          -1.146904e-02          -1.006791e-04          2.966582e-07      
   0.005125       0.074787         -2.355379e+00          -2.149789e-02          -9.935508e-05          5.644486e-07      
   0.005125       0.098178         -2.346761e+00          -3.672628e-02          -9.736451e-05          9.518606e-07      
   0.005125       0.124565         -2.334414e+00          -5.838152e-02          -9.457464e-05          1.488837e-06      
   0.005125       0.153859         -2.317607e+00          -8.754864e-02          -9.089217e-05          2.184251e-06      
   0.005125       0.185965         -2.295694e+00          -1.250325e-01          -8.628465e-05          3.031336e-06      
