# 9Be(3/2-)       AV18+UX         04-Apr-15

#    pair nnS momentum distribution calculated for 101 q values
#    from 0.00 to 10.00 fm-1
#    using 250 gauss points in r out to 25.00 fm

#    total of      20000 samples in blocks of      2000

# Q = relative pair momentum in fm-1
# RHOQNN = neutron-neutron pair momentum distribution in fm**3
# DRHOQNN = Monte Carlo error bar (1 sigma)
# 4*PI*TOTINT(RHOQNN*Q**2:Q)/(2*PI)**3 =  9.9967
# RHOQNP = neutron-proton pair momentum distribution in fm**3
# DRHOQNP = Monte Carlo error bar (1 sigma)
# 4*PI*TOTINT(RHOQNP*Q**2:Q)/(2*PI)**3 =  20.008
# RHOQPP = proton-proton pair momentum distribution in fm**3
# DRHOQPP = Monte Carlo error bar (1 sigma)
# 4*PI*TOTINT(RHOQPP*Q**2:Q)/(2*PI)**3 =  6.0011
 
#  Q     RHOQNN      DRHOQNN     RHOQNP      DRHOQNP     RHOQPP      DRHOQPP
# **** ************ ********** ************ ********** ************ **********
  6.9    1.549E-5   1.166E-5     6.2069E-5  2.9428E-5    1.1396E-5  1.0762E-5
  7      7.434E-6   1.0434E-5    3.6226E-5  2.6525E-5    4.571E-6   9.745E-6
  7.1    1.6691E-6  9.833E-6     1.8292E-5  2.3672E-5    8.2E-8     9.113E-6
  7.2   -1.5282E-6  8.866E-6     7.283E-6   2.1052E-5   -1.868E-6   8.224E-6
  7.3   -3.0908E-6  7.913E-6     1.845E-6   1.8881E-5   -2.1203E-6  7.308E-6
  7.4   -4.1186E-6  7.689E-6     3.29E-7    1.7289E-5   -1.9634E-6  6.988E-6
  7.5   -5.2485E-6  7.232E-6     8.36E-7    1.6267E-5   -2.0916E-6  6.755E-6
  7.6   -6.2427E-6  7.104E-6     1.635E-6   1.5729E-5   -2.171E-6   6.773E-6
  7.7   -6.0809E-6  7.296E-6     1.748E-6   1.5587E-5   -1.514E-6   7.08E-6
  7.8   -4.369E-6   7.165E-6     1.059E-6   1.5661E-5   -1.408E-7   7.322E-6
  7.9   -2.4227E-6  7.315E-6    -7E-9       1.5638E-5    9.88E-7    7.582E-6
  8     -1.8621E-6  7.193E-6    -8.37E-7    1.5293E-5    9.21E-7    7.445E-6
  8.1   -2.505E-6   6.578E-6    -9.428E-7   1.4599E-5   -2.24E-7    6.962E-6
  8.2   -2.7684E-6  6.396E-6    -2.79E-7    1.3779E-5   -1.3184E-6  6.783E-6
  8.3   -1.7368E-6  6.004E-6     7.69E-7    1.3081E-5   -1.3213E-6  6.458E-6
  8.4    1.065E-7   5.488E-6     1.829E-6   1.2562E-5   -2.37E-7    6.085E-6
  8.5    1.671E-6   5.7E-6       2.8675E-6  1.2074E-5    9.86E-7    6.198E-6
  8.6    2.078E-6   5.471E-6     4.0264E-6  1.1424E-5    1.461E-6   5.995E-6
  8.7    1.3645E-6  5.033E-6     5.4078E-6  1.0504E-5    1.282E-6   5.435E-6
  8.8    8.449E-7   4.887E-6     7.1218E-6  9.326E-6     1.4148E-6  4.92E-6
  8.9    1.9066E-6  4.232E-6     9.277E-6   8.035E-6     2.6287E-6  4.155E-6
  9      4.2335E-6  3.812E-6     1.1751E-5  6.98E-6      4.6085E-6  3.557E-6
  9.1    6.14E-6    3.827E-6     1.4148E-5  6.674E-6     6.25E-6    3.481E-6
  9.2    6.676E-6   3.749E-6     1.6073E-5  7.3E-6       6.754E-6   3.805E-6
  9.3    6.383E-6   4.379E-6     1.7218E-5  8.417E-6     6.297E-6   4.581E-6
  9.4    6.035E-6   4.901E-6     1.7389E-5  9.502E-6     5.609E-6   5.14E-6
  9.5    5.701E-6   5.002E-6     1.6537E-5  1.0332E-5    5.0942E-6  5.39E-6
  9.6    5.0619E-6  5.433E-6     1.4857E-5  1.0934E-5    4.5362E-6  5.731E-6
  9.7    3.8571E-6  5.544E-6     1.268E-5   1.1388E-5    3.5661E-6  5.812E-6
  9.8    2.141E-6   5.418E-6     1.0312E-5  1.1679E-5    2.231E-6   5.735E-6
  9.9    5.62E-7    5.578E-6     8.099E-6   1.169E-5     9.99E-7    5.867E-6
 10     -6.6E-8     5.233E-6     6.359E-6   1.133E-5     2.82E-7    5.667E-6
