# 8He(0+) -- AV18+UX -- 15-Sep-20

#    pair nnS momentum distribution calculated
#    for 101 q values from 0.001 to 10.000 fm-1
#    using 250 gauss points in r out to 25.00 fm
#    for pairs   1 to  28 with Euler angle
#    sampling of pairs inside r = 50.000 fm

#    total of      50000 samples in blocks of      5000

# Q = relative pair momentum in fm-1
# RHOQNN = neutron-neutron pair momentum distribution in fm**3
# DRHOQNN = Monte Carlo error bar (1 sigma)
# RHOQNP = neutron-proton pair momentum distribution in fm**3
# DRHOQNP = Monte Carlo error bar (1 sigma)
# RHOQPP = proton-proton pair momentum distribution in fm**3
# DRHOQPP = Monte Carlo error bar (1 sigma)

# Normalization
# 4*PI*TOTINT(RHOQNN*Q**2:Q)/(2*PI)**3 =  14.999
# 4*PI*TOTINT(RHOQNP*Q**2:Q)/(2*PI)**3 =  11.999
# 4*PI*TOTINT(RHOQPP*Q**2:Q)/(2*PI)**3 =  .99992
 
#   Q      RHOQNN      DRHOQNN     RHOQNP      DRHOQNP     RHOQPP    DRHOQPP
# ****** ************ ********** ************ ********** *********** *********
  5.9      2.96E-4    2.445E-5     7.0169E-4  2.6212E-5   9.1076E-5 5.2112E-6
  6        2.2796E-4  2.1188E-5    5.4167E-4  2.3034E-5   7.0313E-5 4.8537E-6
  6.1      1.7117E-4  1.8652E-5    4.1163E-4  2.0482E-5   5.3581E-5 4.5393E-6
  6.2      1.2764E-4  1.6183E-5    3.0682E-4  1.8419E-5   4.0145E-5 4.2399E-6
  6.3      9.7044E-5  1.3387E-5    2.2359E-4  1.6819E-5   2.9428E-5 3.9508E-6
  6.4      7.0516E-5  1.2854E-5    1.5855E-4  1.5748E-5   2.0977E-5 3.6775E-6
  6.5      4.8071E-5  1.2562E-5    1.0844E-4  1.5232E-5   1.4435E-5 3.4252E-6
  6.6      3.2297E-5  1.2484E-5    7.0425E-5  1.525E-5    9.4951E-6 3.1996E-6
  6.7      1.8401E-5  1.3708E-5    4.2261E-5  1.5648E-5   5.8683E-6 2.9991E-6
  6.8      7.7101E-6  1.4216E-5    2.2043E-5  1.6208E-5   3.2829E-6 2.823E-6
  6.9      3.9062E-6  1.454E-5     7.9863E-6  1.6735E-5   1.5064E-6 2.6663E-6
  7        1.4474E-6  1.5295E-5   -1.4637E-6  1.7071E-5   3.4801E-7 2.5197E-6
  7.1     -2.3614E-6  1.5092E-5   -7.4395E-6  1.7089E-5  -3.5558E-7 2.376E-6
  7.2     -3.9306E-6  1.4656E-5   -1.0677E-5  1.6729E-5  -7.4386E-7 2.2255E-6
  7.3     -5.4061E-6  1.4384E-5   -1.1748E-5  1.5959E-5  -9.2258E-7 2.0598E-6
  7.4     -8.1099E-6  1.2961E-5   -1.1244E-5  1.4768E-5  -9.5992E-7 1.8724E-6
  7.5     -7.6664E-6  1.161E-5    -9.7826E-6  1.3188E-5  -8.9571E-7 1.6609E-6
  7.6     -5.8891E-6  1.0366E-5   -7.8848E-6  1.1261E-5  -7.552E-7  1.4284E-6
  7.7     -6.1995E-6  7.917E-6    -5.8145E-6  9.063E-6   -5.5858E-7 1.1784E-6
  7.8     -4.4522E-6  6.22E-6     -3.5521E-6  6.708E-6   -3.2302E-7 9.235E-7
  7.9      1.9966E-9  5.075E-6    -9.8124E-7  4.38E-6    -6.0557E-8 6.822E-7
  8        3.1697E-6  2.754E-6     1.8605E-6  2.6242E-6   2.2235E-7 4.989E-7
  8.1      6.2745E-6  4.218E-6     4.7037E-6  2.9424E-6   5.2092E-7 4.705E-7
  8.2      9.3403E-6  5.639E-6     7.2213E-6  4.766E-6    8.2627E-7 6.005E-7
  8.3      9.2081E-6  6.45E-6      9.2924E-6  6.776E-6    1.1228E-6 7.776E-7
  8.4      8.9837E-6  8.445E-6     1.108E-5   8.601E-6    1.3925E-6 9.48E-7
  8.5      1.1316E-5  9.544E-6     1.2828E-5  1.0098E-5   1.6228E-6 1.0915E-6
  8.6      1.2199E-5  1.0118E-5    1.4541E-5  1.1193E-5   1.8065E-6 1.1986E-6
  8.7      1.1896E-5  1.1027E-5    1.5888E-5  1.1848E-5   1.9359E-6 1.2626E-6
  8.8      1.3027E-5  1.0972E-5    1.6448E-5  1.2047E-5   2.0015E-6 1.281E-6
