#        q              total             1 term        \delta U term    \delta U^2 term  

     0.000790        2.563415e+02      2.624863e+02     -6.181169e+00      3.638938e-02   
     0.004159        2.561799e+02      2.623224e+02     -6.178919e+00      3.638561e-02   
     0.010212        2.553225e+02      2.614530e+02     -6.166820e+00      3.636377e-02   
     0.018933        2.528442e+02      2.589396e+02     -6.131704e+00      3.629978e-02   
     0.030298        2.475166e+02      2.535363e+02     -6.055868e+00      3.616202e-02   
     0.044278        2.380203e+02      2.439036e+02     -5.919245e+00      3.591325e-02   
     0.060834        2.233215e+02      2.289897e+02     -5.703762e+00      3.551792e-02   
     0.079922        2.031197e+02      2.084834e+02     -5.398672e+00      3.494978e-02   
     0.101490        1.781849e+02      1.831560e+02     -5.005359e+00      3.419752e-02   
     0.125480        1.503407e+02      1.548465e+02     -4.539020e+00      3.326409e-02   
     0.151828        1.220063e+02      1.260000e+02     -4.025875e+00      3.216017e-02   
     0.180462        9.549680e+01      9.896276e+01     -3.496853e+00      3.089449e-02   
     0.211306        7.244562e+01      7.539688e+01     -2.980724e+00      2.946750e-02   
     0.244276        5.358923e+01      5.606074e+01     -2.499383e+00      2.787130e-02   
     0.279283        3.889754e+01      4.093771e+01     -2.066271e+00      2.609564e-02   
     0.316234        2.786736e+01      2.953036e+01     -1.687135e+00      2.413380e-02   
     0.355027        1.980573e+01      2.114582e+01     -1.362080e+00      2.199029e-02   
     0.395559        1.402114e+01      1.508911e+01     -1.087651e+00      1.968362e-02   
     0.437721        9.918558e+00      1.075992e+01     -8.586067e-01      1.724911e-02   
     0.481399        7.027737e+00      7.682094e+00     -6.690951e-01      1.473784e-02   
     0.526474        4.996156e+00      5.497341e+00     -5.134006e-01      1.221589e-02   
     0.572826        3.568217e+00      3.944768e+00     -3.863129e-01      9.761217e-03   
     0.620330        2.562420e+00      2.838241e+00     -2.832806e-01      7.459833e-03   
     0.668857        1.851476e+00      2.046499e+00     -2.004239e-01      5.400406e-03   
     0.718277        1.346705e+00      1.477521e+00     -1.344837e-01      3.668143e-03   
     0.768456        9.864913e-01      1.066888e+00     -8.273468e-02      2.337665e-03   
     0.819260        7.280181e-01      7.694439e-01     -4.289153e-02      1.465713e-03   
     0.870551        5.414751e-01      5.534098e-01     -1.301917e-02      1.084384e-03   
     0.922191        4.060395e-01      3.962980e-01      8.545599e-03      1.195890e-03   
     0.974040        3.071076e-01      2.820814e-01      2.325633e-02      1.769875e-03   
     1.025960        2.343898e-01      1.992418e-01      3.240394e-02      2.744098e-03   
     1.077809        1.806006e-01      1.394265e-01      3.714520e-02      4.028960e-03   
     1.129449        1.405552e-01      9.652274e-02      3.851687e-02      5.515596e-03   
     1.180740        1.105445e-01      6.601990e-02      3.743801e-02      7.086590e-03   
     1.231544        8.790150e-02      4.456840e-02      3.470532e-02      8.627772e-03   
     1.281723        7.069850e-02      2.967287e-02      3.098640e-02      1.003922e-02   
     1.331143        5.753509e-02      1.947574e-02      2.681556e-02      1.124379e-02   
     1.379670        4.738872e-02      1.260134e-02      2.259550e-02      1.219188e-02   
     1.427174        3.950904e-02      8.040717e-03      1.860608e-02      1.286224e-02   
     1.473526        3.334268e-02      5.063905e-03      1.501970e-02      1.325907e-02   
     1.518601        2.847952e-02      3.151694e-03      1.192133e-02      1.340650e-02   
     1.562279        2.461414e-02      1.941890e-03      9.330330e-03      1.334192e-02   
     1.604441        2.151791e-02      1.187078e-03      7.221547e-03      1.310928e-02   
     1.644973        1.901888e-02      7.218547e-04      5.543590e-03      1.275343e-02   
     1.683766        1.698706e-02      4.379814e-04      4.233144e-03      1.231593e-02   
     1.720717        1.532369e-02      2.660593e-04      3.225088e-03      1.183254e-02   
     1.755724        1.395337e-02      1.624205e-04      2.458814e-03      1.133213e-02   
     1.788694        1.281823e-02      1.000422e-04      1.881509e-03      1.083667e-02   
     1.819538        1.187364e-02      6.243616e-05      1.449290e-03      1.036192e-02   
     1.848172        1.108505e-02      3.965448e-05      1.126972e-03      9.918428e-03   
     1.874520        1.042556e-02      2.574389e-05      8.871105e-04      9.512707e-03   
     1.898510        9.874165e-03      1.715939e-05      7.087501e-04      9.148255e-03   
     1.920078        9.414424e-03      1.179395e-05      5.761537e-04      8.826476e-03   
     1.939166        9.033456e-03      8.393782e-06      4.776570e-04      8.547405e-03   
     1.955722        8.721181e-03      6.210116e-06      4.047079e-04      8.310263e-03   
     1.969702        8.469755e-03      4.793387e-06      3.511003e-04      8.113861e-03   
     1.981067        8.273143e-03      3.872231e-06      3.123848e-04      7.956886e-03   
     1.989788        8.126808e-03      3.282571e-06      2.854314e-04      7.838094e-03   
     1.995841        8.027471e-03      2.926240e-06      2.681132e-04      7.756432e-03   
     1.999210        7.972941e-03      2.747081e-06      2.590859e-04      7.711108e-03   
     2.003160        7.909717e-03      2.527432e-06      2.473762e-04      7.659814e-03   
     2.016638        7.699401e-03      1.912935e-06      2.122198e-04      7.485268e-03   
     2.040848        7.341650e-03      1.153370e-06      1.609701e-04      7.179527e-03   
     2.075731        6.867312e-03      5.413728e-07      1.068372e-04      6.759933e-03   
     2.121193        6.312745e-03      1.906619e-07      6.106911e-05      6.251485e-03   
     2.177111        5.713805e-03      4.749944e-08      2.935155e-05      5.684406e-03   
     2.243335        5.101365e-03      7.562548e-09      1.140330e-05      5.089954e-03   
     2.319686        4.499045e-03      6.325135e-10      3.302276e-06      4.495742e-03   
     2.405959        3.923032e-03      2.925205e-11      5.403087e-07      3.922492e-03   
     2.501920        3.383298e-03      1.010254e-11     -6.755044e-08      3.383366e-03   
     2.607312        2.885371e-03      2.668200e-12     -8.445601e-08      2.885456e-03   
     2.721850        2.431995e-03      2.820821e-13     -3.270544e-08      2.432028e-03   
