# 40Ca(0+) -- AV18 -- 09-Dec-16

# CVMC 10M samples using 200 gauss points in r out to 20.00 fm

# K = momentum in 1/fm
# RHOKP = proton momentum distribution in fm**3
# DRHOKP = Monte Carlo error bar (1 sigma)

# Normalization
# 4*PI*TOTINT(RHOKP_V18*K**2:K)/(2*PI)**3 = 19.9885 +/-  0.1400

# number above K =  2 fm**-1
# 4*PI*TOTINT(RHOKP_V18(I)*K(I)**2:K(I))/(2*PI)**3 =  1.4130 +/-  0.1506

# Kinetic energy
# HSQON2M*4*PI*TOTINT((RHOKP_V18+RHOKN_V18)*K**4:K)/(2*PI)**3 = 1301.6515 +/- 77.6886

# Kinetic energy above K =  2 fm**-1
# HSQON2M*4*PI*TOTINT((RHOKP_V18(I)+RHOKN_V18(I))*K(I)**4:K(I))/(2*PI)**3 =  631.7289 +/- 77.7310
 
#   K     RHOKP_V18    DRHOKP_V18
# *****   **********   **********
 0.000   0.1630E+04   0.2667E+02
 0.100   0.1551E+04   0.2222E+02
 0.200   0.1361E+04   0.1228E+02
 0.300   0.1163E+04   0.4577E+01
 0.400   0.1030E+04   0.4603E+01
 0.500   0.9625E+03   0.3988E+01
 0.600   0.9161E+03   0.1961E+01
 0.700   0.8414E+03   0.1419E+01
 0.800   0.7211E+03   0.1625E+01
 0.900   0.5693E+03   0.1077E+01
 1.000   0.4130E+03   0.5408E+00
 1.100   0.2755E+03   0.5787E+00
 1.200   0.1684E+03   0.4783E+00
 1.300   0.9742E+02   0.2702E+00
 1.400   0.5215E+02   0.2310E+00
 1.500   0.2700E+02   0.2128E+00
 1.600   0.1430E+02   0.1363E+00
 1.700   0.8451E+01   0.1041E+00
 1.800   0.5897E+01   0.1066E+00
 1.900   0.4724E+01   0.9079E-01
 2.000   0.4057E+01   0.9857E-01
 2.100   0.3564E+01   0.1173E+00
 2.200   0.3154E+01   0.1055E+00
 2.300   0.2817E+01   0.6814E-01
 2.400   0.2543E+01   0.4953E-01
 2.500   0.2312E+01   0.6641E-01
 2.600   0.2107E+01   0.7406E-01
 2.700   0.1908E+01   0.6603E-01
 2.800   0.1707E+01   0.5222E-01
 2.900   0.1514E+01   0.4025E-01
 3.000   0.1334E+01   0.3731E-01
 3.100   0.1170E+01   0.4346E-01
 3.200   0.1028E+01   0.4554E-01
 3.300   0.9090E+00   0.3631E-01
 3.400   0.8051E+00   0.2248E-01
 3.500   0.7148E+00   0.2520E-01
 3.600   0.6371E+00   0.3473E-01
 3.700   0.5662E+00   0.3363E-01
 3.800   0.4972E+00   0.2220E-01
 3.900   0.4282E+00   0.1648E-01
 4.000   0.3598E+00   0.2660E-01
 4.100   0.2992E+00   0.3218E-01
 4.200   0.2525E+00   0.2755E-01
 4.300   0.2168E+00   0.1637E-01
 4.400   0.1880E+00   0.1106E-01
 4.500   0.1644E+00   0.1864E-01
 4.600   0.1446E+00   0.2372E-01
 4.700   0.1268E+00   0.2245E-01
 4.800   0.1093E+00   0.1600E-01
 4.900   0.8899E-01   0.8154E-02
 5.000   0.6681E-01   0.8144E-02
 5.100   0.4799E-01   0.1318E-01
 5.200   0.3556E-01   0.1501E-01
 5.300   0.2908E-01   0.1259E-01
 5.400   0.2762E-01   0.7381E-02
 5.500   0.2853E-01   0.3306E-02
 5.600   0.2867E-01   0.5378E-02
 5.700   0.2751E-01   0.7247E-02
 5.800   0.2498E-01   0.7265E-02
 5.900   0.2035E-01   0.6109E-02
 6.000   0.1493E-01   0.4396E-02
 6.100   0.1035E-01   0.2666E-02
 6.200   0.6602E-02   0.2222E-02
 6.300   0.4141E-02   0.3067E-02
 6.400   0.3186E-02   0.3542E-02
 6.500   0.2525E-02   0.3303E-02
 6.600   0.1740E-02   0.2639E-02
 6.700   0.1442E-02   0.1970E-02
 6.800   0.1136E-02   0.1670E-02
 6.900   0.1347E-02   0.1821E-02
 7.000   0.2451E-02   0.2047E-02
 7.100   0.3057E-02   0.1968E-02
 7.200   0.2684E-02   0.1479E-02
 7.300   0.2048E-02   0.8277E-03
 7.400   0.1274E-02   0.8434E-03
 7.500   0.3410E-03   0.1320E-02
 7.600   0.3973E-04   0.1512E-02
 7.700   0.3294E-03   0.1326E-02
 7.800   0.5048E-03   0.9119E-03
 7.900   0.7151E-03   0.5565E-03
 8.000   0.9258E-03   0.5555E-03
 8.100   0.6419E-03   0.6840E-03
 8.200   0.2088E-03   0.7182E-03
 8.300  -0.7169E-04   0.6921E-03
 8.400  -0.5724E-03   0.6995E-03
 8.500  -0.1039E-02   0.7273E-03
 8.600  -0.1060E-02   0.6838E-03
 8.700  -0.9540E-03   0.5297E-03
 8.800  -0.6835E-03   0.3184E-03
 8.900   0.9894E-05   0.2370E-03
 9.000   0.6329E-03   0.3703E-03
 9.100   0.9121E-03   0.4758E-03
 9.200   0.1084E-02   0.4770E-03
 9.300   0.9279E-03   0.4010E-03
 9.400   0.4087E-03   0.3312E-03
 9.500   0.5455E-04   0.3218E-03
 9.600  -0.1240E-03   0.3238E-03
 9.700  -0.3156E-03   0.2830E-03
 9.800  -0.2568E-03   0.2003E-03
 9.900  -0.5129E-04   0.1374E-03
10.000  -0.1921E-04   0.1748E-03
