# 4He(0+)		AV18+UX		11-Sep-13

#    pair     momentum distribution calculated for 101 q values
#    from 0.00 to 10.00 fm-1
#    using 200 gauss points in r out to 20.00 fm

# Q = relative pair momentum in fm-1
# RHOQNP = neutron-proton pair momentum distribution in fm**3
# DRHOQNP = Monte Carlo error bar (1 sigma)
# 4*PI*TOTINT(RHOQNP*Q**2:Q)/(2*PI)**3 =  4
# RHOQPP = proton-proton pair momentum distribution in fm**3
# DRHOQPP = Monte Carlo error bar (1 sigma)
# 4*PI*TOTINT(RHOQPP*Q**2:Q)/(2*PI)**3 =  1
 
#  Q      RHOQNP      DRHOQNP      RHOQPP     DRHOQPP
# ****  ************  *********  ***********  *********
  7.2     8.603E-6   1.6628E-6    2.0154E-6  4.9032E-7
  7.3     6.2238E-6  1.4895E-6    1.5728E-6  4.4319E-7
  7.4     4.7573E-6  1.3361E-6    1.2937E-6  4.0247E-7
  7.5     3.9014E-6  1.2059E-6    1.1226E-6  3.6894E-7
  7.6     3.4482E-6  1.0988E-6    1.0305E-6  3.4231E-7
  7.7     3.2656E-6  1.0035E-6    1.0013E-6  3.1796E-7
  7.8     3.2688E-6  9.1421E-7    1.0217E-6  2.9346E-7
  7.9     3.3852E-6  8.3229E-7    1.0692E-6  2.7102E-7
  8       3.522E-6   7.5873E-7    1.1119E-6  2.5141E-7
  8.1     3.602E-6   6.9027E-7    1.1254E-6  2.3172E-7
  8.2     3.609E-6   6.2951E-7    1.1062E-6  2.1325E-7
  8.3     3.5916E-6  5.8607E-7    1.0749E-6  2.0122E-7
  8.4     3.6233E-6  5.6113E-7    1.062E-6   1.9594E-7
  8.5     3.7435E-6  5.4776E-7    1.0854E-6  1.933E-7
  8.6     3.92E-6    5.4398E-7    1.1366E-6  1.9284E-7
  8.7     4.069E-6   5.4598E-7    1.1866E-6  1.9431E-7
  8.8     4.109E-6   5.4194E-7    1.2051E-6  1.9272E-7
  8.9     4.009E-6   5.2611E-7    1.1803E-6  1.8552E-7
  9       3.787E-6   5.0715E-7    1.1138E-6  1.7819E-7
  9.1     3.4864E-6  4.939E-7     1.0229E-6  1.7512E-7
  9.2     3.1611E-6  4.8413E-7    9.2425E-7  1.7385E-7
  9.3     2.8526E-6  4.7657E-7    8.2939E-7  1.7243E-7
  9.4     2.5725E-6  4.7631E-7    7.4005E-7  1.7302E-7
  9.5     2.3112E-6  4.817E-7     6.5188E-7  1.7494E-7
  9.6     2.0464E-6  4.8449E-7    5.6006E-7  1.7456E-7
  9.7     1.7652E-6  4.8353E-7    4.6394E-7  1.7269E-7
  9.8     1.4855E-6  4.8207E-7    3.7198E-7  1.7249E-7
  9.9     1.2538E-6  4.7643E-7    3.0022E-7  1.719E-7
 10       1.1086E-6  4.6213E-7    2.6127E-7  1.6784E-7
