#        q          3S1-3S1 init.     3S1-3D1 init.     3D1-3D1 init.      3S1-3S1 SRG       3S1-3D1 SRG       3D1-3D1 SRG    

     0.000790         100.000000         0.000000          0.000000         99.680311          0.319433          0.000256     
     0.004159         100.000000         0.000000          0.000000         99.680215          0.319529          0.000256     
     0.010212         100.000000         0.000000          0.000000         99.679726          0.320017          0.000257     
     0.018933         99.999997          0.000000          0.000003         99.678298          0.321440          0.000262     
     0.030298         99.999982          0.000000          0.000018         99.675155          0.324562          0.000282     
     0.044278         99.999918          0.000000          0.000082         99.669274          0.330370          0.000356     
     0.060834         99.999707          0.000000          0.000293         99.659381          0.340035          0.000584     
     0.079922         99.999127          0.000000          0.000873         99.643917          0.354893          0.001190     
     0.101490         99.997734          0.000000          0.002266         99.620988          0.376388          0.002624     
     0.125480         99.994716          0.000000          0.005284         99.588277          0.406020          0.005703     
     0.151828         99.988705          0.000000          0.011295         99.542934          0.445266          0.011800     
     0.180462         99.977531          0.000000          0.022469         99.481425          0.495486          0.023089     
     0.211306         99.957934          0.000000          0.042066         99.399360          0.557816          0.042824     
     0.244276         99.925235          0.000000          0.074765         99.291309          0.633039          0.075652     
     0.279283         99.872974          0.000000          0.127026         99.150621          0.721442          0.127937     
     0.316234         99.792562          0.000000          0.207438         98.969322          0.822639          0.208039     
     0.355027         99.672931          0.000000          0.327069         98.738129          0.935347          0.326524     
     0.395559         99.500225          0.000000          0.499775         98.446686          1.057080          0.496234     
     0.437721         99.257560          0.000000          0.742440         98.084150          1.183716          0.732135     
     0.481399         98.924852          0.000000          1.075148         97.640258          1.308859          1.050883     
     0.526474         98.478750          0.000000          1.521250         97.107037          1.422934          1.470028     
     0.572826         97.892686          0.000000          2.107314         96.481259          1.511928          2.006813     
     0.620330         97.137064          0.000000          2.862936         95.767669          1.555730          2.676601     
     0.668857         96.179627          0.000000          3.820373         94.982916          1.526037          3.491046     
     0.718277         94.986036          0.000000          5.013964         94.159888          1.383901          4.456211     
     0.768456         93.520732          0.000000          6.479268         93.352120          1.076939          5.570941     
     0.819260         91.748127          0.000000          8.251873         92.637816          0.536404          6.825781     
     0.870551         89.634202          0.000000         10.365798         91.526768          0.323777          8.149456     
     0.922191         87.148559          0.000000         12.851441         89.059509          1.569610          9.370881     
     0.974040         84.266913          0.000000         15.733087         86.267189          3.255957         10.476854     
     1.025960         80.973982          0.000000         19.026018         83.211817          5.415621         11.372562     
     1.077809         77.266566          0.000000         22.733434         79.997209          8.035298         11.967493     
     1.129449         73.156528          0.000000         26.843472         76.770832         11.039471         12.189697     
     1.180740         68.673234          0.000000         31.326766         73.718433         14.281970         11.999597     
     1.231544         63.864939          0.000000         36.135061         71.049671         17.550465         11.399865     
     1.281723         58.798605          0.000000         41.201395         68.974979         20.586872         10.438150     
     1.331143         53.557792          0.000000         46.442208         67.676904         23.122000          9.201096     
     1.379670         48.238537          0.000000         51.761463         67.281407         24.918114          7.800479     
     1.427174         42.943502          0.000000         57.056498         67.836284         25.808936          6.354779     
     1.473526         37.775061          0.000000         62.224939         69.302296         25.726844          4.970861     
     1.518601         32.828260          0.000000         67.171740         71.559735         24.710133          3.730132     
     1.562279         28.184624          0.000000         71.815376         74.428545         22.889612          2.681843     
     1.604441         23.907640          0.000000         76.092360         77.696651         20.459670          1.843678     
     1.644973         20.040367          0.000000         79.959633         81.149688         17.642508          1.207804     
     1.683766         16.605224          0.000000         83.394776         84.595763         14.654673          0.749564     
     1.720717         13.605637          0.000000         86.394363         87.881668         11.682172          0.436160     
     1.755724         11.028999          0.000000         88.971001         90.899637          8.866784          0.233579     
