#        q          3S1-3S1 init.     3S1-3D1 init.     3D1-3D1 init.      3S1-3S1 SRG       3S1-3D1 SRG       3D1-3D1 SRG    

     8.882866          1.355262          0.000000         98.644738         95.808992          4.095951          0.095056     
     9.022895          1.680984          0.000000         98.319016         96.416339          3.513150          0.070511     
     9.154775          1.974169          0.000000         98.025831         96.970808          2.978479          0.050713     
     9.278150          2.237866          0.000000         97.762134         97.495896          2.469584          0.034520     
     9.392688          2.473798          0.000000         97.526202         98.005404          1.973150          0.021446     
     9.498080          2.682653          0.000000         97.317347         98.507437          1.481189          0.011373     
     9.594041          2.864502          0.000000         97.135498         99.006077          0.989521          0.004402     
     9.680314          3.019229          0.000000         96.980771         99.501874          0.497393          0.000733     
     9.756665          3.146936          0.000000         96.853064         99.991670          0.007773          0.000557     
     9.822889          3.248325          0.000000         96.751675         99.528568          0.467567          0.003865     
     9.878807          3.324995          0.000000         96.675005         99.077315          0.912429          0.010255     
     9.924269          3.379578          0.000000         96.620422         98.669524          1.311645          0.018832     
     9.959152          3.415615          0.000000         96.584385         98.323077          1.648734          0.028189     
     9.983362          3.437078          0.000000         96.562922         98.048133          1.915192          0.036675     
     9.996840          3.447600          0.000000         96.552400         97.728117          2.227366          0.044517     
