# Lambda [fm^-1], C_3S1 [10^4 GeV^-2], Bound states [MeV]

1.0 	 -0.3559070 	 -2.2244299
2.0 	 -0.1133150 	 -2.2244523
3.0 	 -0.0321490 	 -2.2244402
4.0 	 0.0389465 	 -2.2261599
5.0 	 0.2234480 	 -2.2244149
6.0 	 -0.4358350 	 -2.2244619 	 -3695.0368685
7.0 	 -0.1235850 	 -2.2244209 	 -1337.6600385
8.0 	 -0.0619595 	 -2.2244350 	 -1085.1933655
9.0 	 -0.0285304 	 -2.2244914 	 -1080.9849094
10.0 	 -0.0019387 	 -2.2244750 	 -1162.8103405
11.0 	 0.0265890 	 -2.2244743 	 -1280.6309426
12.0 	 0.0706160 	 -2.2244515 	 -1401.2736875
13.0 	 0.2047150 	 -2.2244561 	 -1493.4480626
14.0 	 -0.6406500 	 -2.2244723 	 -1535.9888915
15.0 	 -0.1310650 	 -2.2244621 	 -1534.4583601
16.0 	 -0.0680340 	 -2.2244137 	 -1515.8063969 	 -80384.0935023
17.0 	 -0.0405675 	 -2.2244627 	 -1515.8063969 	 -19203.8207971
18.0 	 -0.0236185 	 -2.2244016 	 -1515.8063969 	 -13662.5422593
19.0 	 -0.0110400 	 -2.2244098 	 -1515.8063969 	 -12441.7628321
20.0 	 -0.0004695 	 -2.2244686 	 -1515.8063969 	 -12506.3051240
