#        q              total             1 term        \delta U term    \delta U^2 term  

     6.158845        6.157593e-06      1.535635e-32      6.083734e-19      6.157593e-06   
     6.436958        3.877341e-06      1.436548e-33      9.831723e-20      3.877341e-06   
     6.721980        2.086626e-06      3.183936e-33      1.333972e-19      2.086626e-06   
     7.013143        9.155052e-07      2.224612e-33      6.863641e-20      9.155052e-07   
     7.309662        2.932474e-07      5.208205e-33      1.891963e-20      2.932474e-07   
     7.610739        4.812842e-08      6.990362e-34      6.771727e-21      4.812842e-08   
     7.915560        1.429019e-09      1.580964e-34     -4.023414e-22      1.429019e-09   
     8.223305        2.317232e-08      1.873679e-33     -8.666190e-21      2.317232e-08   
     8.533144        4.556720e-08      4.219602e-34     -8.534927e-21      4.556720e-08   
     8.844241        4.865011e-08      2.216345e-34      1.376028e-21      4.865011e-08   
     9.155759        3.709714e-08      1.031944e-33     -1.219342e-20      3.709714e-08   
     9.466856        2.158601e-08      1.896117e-33     -7.047940e-21      2.158601e-08   
     9.776695        9.409141e-09      7.930478e-34      5.463212e-21      9.409141e-09   
    10.084440        2.688600e-09      1.496601e-33     -3.678993e-21      2.688600e-09   
    10.389261        2.661820e-10      3.131894e-35     -1.443399e-22      2.661820e-10   
    10.690338        6.814702e-11      5.868707e-34     -3.989834e-22      6.814702e-11   
    10.986857        5.015709e-10      2.130253e-35     -2.165803e-23      5.015709e-10   
    11.278020        8.013838e-10      1.418239e-33      9.632222e-23      8.013838e-10   
    11.563042        8.076776e-10      1.902951e-33     -2.471333e-21      8.076776e-10   
    11.841155        6.268616e-10      1.239330e-33     -1.694996e-21      6.268616e-10   
    12.111608        4.009177e-10      5.414351e-34      3.533648e-22      4.009177e-10   
    12.373673        2.158019e-10      3.486311e-34     -4.191657e-22      2.158019e-10   
    12.626644        9.675367e-11      9.541916e-34     -1.351067e-22      9.675367e-11   
    12.869837        3.422767e-11      6.371743e-34      5.878028e-23      3.422767e-11   
    13.102598        8.079345e-12      9.040136e-34      1.243090e-22      8.079345e-12   
    13.324299        6.577957e-13      1.312982e-34     -1.209426e-23      6.577957e-13   
    13.534343        7.180056e-13      4.081596e-35      2.921937e-24      7.180056e-13   
    13.732162        2.604791e-12      9.961036e-34      1.002663e-22      2.604791e-12   
    13.917225        4.150497e-12      3.047014e-34      5.299047e-24      4.150497e-12   
    14.089032        4.894763e-12      2.967164e-33      1.199227e-22      4.894763e-12   
    14.247120        5.001468e-12      4.435217e-34      4.971362e-23      5.001468e-12   
    14.391062        4.748432e-12      8.073666e-34      8.276424e-24      4.748432e-12   
    14.520471        4.352124e-12      5.187917e-34     -4.641819e-24      4.352124e-12   
    14.634998        3.940804e-12      9.486989e-34     -5.950140e-23      3.940804e-12   
    14.734334        3.575529e-12      1.274709e-31     -5.511210e-22      3.575529e-12   
    14.818211        3.277423e-12      2.706607e-27     -9.433660e-20      3.277423e-12   
    14.886403        3.048142e-12      8.894791e-24     -5.984545e-18      3.048148e-12   
    14.938727        2.882020e-12      1.514473e-21     -8.423815e-17      2.882104e-12   
    14.975043        2.772144e-12      3.865638e-20     -4.400422e-16      2.772584e-12   
    14.995261        2.712956e-12      9.208118e-18     -6.140127e-15      2.719087e-12   
