#        q          single-nucleon  

     0.001185        5.371569e+03   
     0.006239        5.371567e+03   
     0.015318        5.371552e+03   
     0.028399        3.601736e+03   
     0.045447        2.316304e+03   
     0.066417        1.548963e+03   
     0.091251        1.079658e+03   
     0.119882        7.589549e+02   
     0.152235        5.431407e+02   
     0.188220        4.004698e+02   
     0.227742        2.967411e+02   
     0.270694        2.221276e+02   
     0.316959        1.690804e+02   
     0.366414        1.251936e+02   
     0.418925        9.499915e+01   
     0.474351        7.466250e+01   
     0.532541        5.744341e+01   
     0.593339        4.642767e+01   
     0.656582        3.691817e+01   
     0.722098        3.136920e+01   
     0.789711        2.413224e+01   
     0.859239        1.999883e+01   
     0.930495        1.637460e+01   
     1.003286        1.322603e+01   
     1.077416        1.051915e+01   
     1.152685        8.219617e+00   
     1.228890        6.292752e+00   
     1.305826        4.703854e+00   
     1.383286        3.418328e+00   
     1.461060        2.401929e+00   
     1.538940        1.306887e+00   
     1.616714        8.191248e-01   
     1.694174        2.792410e-01   
     1.771110        1.110973e-01   
     1.847315        1.072131e-01   
     1.922584        1.023866e-01   
     1.996714        9.683408e-02   
     2.069505        9.078302e-02   
     2.140761        8.445407e-02   
     2.210289        7.804714e-02   
     2.277902        7.173299e-02   
     2.343418        6.564868e-02   
     2.406661        5.989690e-02   
     2.467459        5.454764e-02   
     2.525649        4.964242e-02   
     2.581075        4.519891e-02   
     2.633586        4.121592e-02   
     2.683041        3.767889e-02   
     2.729306        3.456402e-02   
     2.772258        3.184241e-02   
     2.811780        2.948263e-02   
     2.847765        2.745319e-02   
     2.880118        2.572416e-02   
     2.908749        2.426780e-02   
     2.933583        2.305965e-02   
     2.954553        2.207851e-02   
     2.971601        2.130659e-02   
     2.984682        2.072971e-02   
     2.993761        2.033709e-02   
     2.998815        2.012121e-02   
     3.004739        1.987069e-02   
     3.024957        1.903551e-02   
     3.061273        1.761033e-02   
     3.113597        1.571884e-02   
     3.181789        1.352076e-02   
     3.265666        1.119134e-02   
     3.365002        8.898310e-03   
     3.479529        6.781510e-03   
     3.608938        4.939642e-03   
     3.752880        3.426477e-03   
     3.910968        2.254789e-03   
     4.082775        1.404341e-03   
     4.267838        8.312890e-04   
     4.465657        4.779909e-04   
     4.675701        2.826997e-04   
     4.897402        1.881540e-04   
     5.130163        1.479095e-04   
     5.373356        1.295333e-04   
     5.626327        1.145500e-04   
     5.888392        9.579553e-05   
     6.158845        7.339259e-05   
     6.436958        5.068378e-05   
     6.721980        3.115106e-05   
     7.013143        1.678369e-05   
     7.309662        7.775909e-06   
     7.610739        3.061525e-06   
     7.915560        1.108479e-06   
     8.223305        5.505300e-07   
     8.533144        4.843897e-07   
     8.844241        4.728873e-07   
     9.155759        3.941237e-07   
     9.466856        2.708575e-07   
     9.776695        1.539887e-07   
    10.084440        7.264430e-08   
    10.389261        2.924344e-08   
    10.690338        1.213641e-08   
    10.986857        7.997022e-09   
    11.278020        7.832826e-09   
    11.563042        7.595543e-09   
    11.841155        6.415976e-09   
    12.111608        4.715112e-09   
    12.373673        3.068067e-09   
    12.626644        1.795362e-09   
    12.869837        9.571324e-10   
    13.102598        4.723187e-10   
    13.324299        2.232585e-10   
    13.534343        1.100655e-10   
    13.732162        6.573344e-11   
    13.917225        5.193163e-11   
    14.089032        4.950249e-11   
    14.247120        5.012597e-11   
    14.391062        5.081134e-11   
    14.520471        5.086449e-11   
    14.634998        5.040791e-11   
    14.734334        4.970717e-11   
    14.818211        4.894449e-11   
    14.886403        4.822109e-11   
    14.938727        4.759887e-11   
    14.975043        4.719542e-11   
    14.995261        4.703155e-11   
