#        q          3S1-3S1 init.     3S1-3D1 init.     3D1-3D1 init.      3S1-3S1 SRG       3S1-3D1 SRG       3D1-3D1 SRG    

     0.001185         100.000000         0.000000          0.000000         99.664903          0.334815          0.000281     
     0.006239         100.000000         0.000000          0.000000         99.664677          0.335042          0.000282     
     0.015318         99.999999          0.000000          0.000001         99.663509          0.336206          0.000285     
     0.028399         99.999984          0.000000          0.000016         99.660105          0.339589          0.000305     
     0.045447         99.999896          0.000000          0.000104         99.652575          0.347019          0.000406     
     0.066417         99.999528          0.000000          0.000472         99.638392          0.360809          0.000799     
     0.091251         99.998320          0.000000          0.001680         99.614273          0.383677          0.002050     
     0.119882         99.995006          0.000000          0.004994         99.575956          0.418610          0.005434     
     0.152235         99.987054          0.000000          0.012946         99.517841          0.468669          0.013490     
     0.188220         99.969876          0.000000          0.030124         99.432483          0.536713          0.030804     
     0.227742         99.935752          0.000000          0.064248         99.309901          0.625050          0.065049     
     0.270694         99.872535          0.000000          0.127465         99.136825          0.734973          0.128202     
     0.316959         99.762158          0.000000          0.237842         98.896011          0.866163          0.237826     
     0.366414         99.578972          0.000000          0.421028         98.565895          1.015841          0.418264     
     0.418925         99.288071          0.000000          0.711929         98.121199          1.177449          0.701352     
     0.474351         98.843701          0.000000          1.156299         97.535328          1.338496          1.126176     
     0.532541         98.187932          0.000000          1.812068         96.785788          1.476967          1.737245     
     0.593339         97.249794          0.000000          2.750206         95.864012          1.555528          2.580460     
     0.656582         95.945203          0.000000          4.054797         94.790762          1.512633          3.696604     
     0.722098         94.178145          0.000000          5.821855         93.637496          1.249711          5.112793     
     0.789711         91.843811          0.000000          8.156189         92.552870          0.613733          6.833398     
     0.859239         88.834569          0.000000         11.165431         90.658833          0.617819          8.723348     
     0.930495         85.049748          0.000000         14.950252         86.882843          2.655601         10.461556     
     1.003286         80.409909          0.000000         19.590091         82.468926          5.672920         11.858154     
     1.077416         74.875343          0.000000         25.124657         77.690468          9.703709         12.605823     
     1.152685         68.466772          0.000000         31.533228         73.048974         14.500724         12.450303     
     1.228890         61.283741          0.000000         38.716259         69.266002         19.437326         11.296672     
     1.305826         53.514098          0.000000         46.485902         67.173599         23.538510          9.287891     
     1.383286         45.427726          0.000000         54.572274         67.492067         25.709354          6.798579     
     1.461060         37.351018          0.000000         62.648982         70.556246         25.122805          4.320949     
     1.538940         29.625153          0.000000         70.374847         76.121389         21.591126          2.287485     
     1.616714         22.558280          0.000000         77.441720         83.376149         15.697988          0.925863     
     1.694174         16.385027          0.000000         83.614973         91.186600          8.589418          0.223982     
     1.771110         11.243928          0.000000         88.756072         98.454989          1.538949          0.006062     
     1.847315          7.176062          0.000000         92.823938         95.851603          4.100500          0.047897     
     1.922584          4.140767          0.000000         95.859233         92.263125          7.577587          0.159287     
     1.996714          2.040284          0.000000         97.959716         90.190571          9.555418          0.254011     
     2.069505          0.745345          0.000000         99.254655         89.145818         10.542390          0.311792     
     2.140761          0.116497          0.000000         99.883503         88.772317         10.890982          0.336701     
     2.210289          0.019023          0.000000         99.980977         88.817702         10.843412          0.338886     
     2.277902          0.331673          0.000000         99.668327         89.108079         10.564205          0.327716     
     2.343418          0.950534          0.000000         99.049466         89.527179         10.162849          0.309972     
     2.406661          1.789618          0.000000         98.210382         89.999988          9.710048          0.289964     
     2.467459          2.779536          0.000000         97.220464         90.480223          9.249609          0.270167     
     2.525649          3.865272          0.000000         96.134728         90.941041          8.807109          0.251850     
     2.581075          5.003687          0.000000         94.996313         91.368333          8.396124          0.235543     
     2.633586          6.161121          0.000000         93.838879         91.756001          8.022635          0.221364     
     2.683041          7.311280          0.000000         92.688720         92.102722          7.688066          0.209212     
     2.729306          8.433468          0.000000         91.566532         92.409801          7.391308          0.198892     
     2.772258          9.511169          0.000000         90.488831         92.679801          7.130022          0.190177     
     2.811780         10.530949          0.000000         89.469051         92.915726          6.901423          0.182851     
     2.847765         11.481640          0.000000         88.518360         93.120555          6.702730          0.176715     
     2.880118         12.353753          0.000000         87.646247         93.297002          6.531396          0.171602     
     2.908749         13.139090          0.000000         86.860910         93.447415          6.385212          0.167373     
     2.933583         13.830499          0.000000         86.169501         93.573756          6.262330          0.163914     
     2.954553         14.421757          0.000000         85.578243         93.677615          6.161250          0.161135     
