#        q              total             1 term        \delta U term    \delta U^2 term  

     0.000790        2.593165e+02      2.628887e+02     -3.584458e+00      1.221842e-02   
     0.004159        2.591504e+02      2.627234e+02     -3.585217e+00      1.223129e-02   
     0.010212        2.582694e+02      2.618460e+02     -3.588950e+00      1.229784e-02   
     0.018933        2.557266e+02      2.593136e+02     -3.599571e+00      1.249154e-02   
     0.030298        2.502589e+02      2.538670e+02     -3.620998e+00      1.291192e-02   
     0.044278        2.405199e+02      2.441605e+02     -3.654231e+00      1.367280e-02   
     0.060834        2.254628e+02      2.291404e+02     -3.692570e+00      1.487642e-02   
     0.079922        2.048032e+02      2.085044e+02     -3.717783e+00      1.657295e-02   
     0.101490        1.793612e+02      1.830437e+02     -3.701188e+00      1.871040e-02   
     0.125480        1.510311e+02      1.546224e+02     -3.612405e+00      2.110048e-02   
     0.151828        1.222960e+02      1.257054e+02     -3.432811e+00      2.343937e-02   
     0.180462        9.550618e+01      9.864543e+01     -3.164646e+00      2.538755e-02   
     0.211306        7.229409e+01      7.509732e+01     -2.829893e+00      2.667124e-02   
     0.244276        5.337102e+01      5.580463e+01     -2.460752e+00      2.714718e-02   
     0.279283        3.867371e+01      4.073550e+01     -2.088589e+00      2.680449e-02   
     0.316234        2.766998e+01      2.938130e+01     -1.737050e+00      2.572625e-02   
     0.355027        1.964679e+01      2.104292e+01     -1.420168e+00      2.404121e-02   
     0.395559        1.390111e+01      1.502307e+01     -1.143844e+00      2.189041e-02   
     0.437721        9.832544e+00      1.072158e+01     -9.084449e-01      1.941122e-02   
     0.481399        6.969142e+00      7.663577e+00     -7.111666e-01      1.673181e-02   
     0.526474        4.958546e+00      5.492359e+00     -5.477863e-01      1.397315e-02   
     0.572826        3.546084e+00      3.948555e+00     -4.137219e-01      1.125125e-02   
     0.620330        2.551373e+00      2.847306e+00     -3.046123e-01      8.678756e-03   
     0.668857        1.848159e+00      2.058360e+00     -2.165647e-01      6.363681e-03   
     0.718277        1.348626e+00      1.490450e+00     -1.462305e-01      4.406331e-03   
     0.768456        9.918369e-01      1.079726e+00     -9.078356e-02      2.894267e-03   
     0.819260        7.354911e-01      7.814438e-01     -4.784836e-02      1.895615e-03   
     0.870551        5.501600e-01      5.641283e-01     -1.542066e-02      1.452396e-03   
     0.922191        4.153006e-01      4.055135e-01      8.212539e-03      1.574537e-03   
     0.974040        3.165109e-01      2.897329e-01      2.454204e-02      2.235993e-03   
     1.025960        2.436463e-01      2.053826e-01      3.488945e-02      3.374171e-03   
     1.077809        1.895241e-01      1.441875e-01      4.044313e-02      4.893411e-03   
     1.129449        1.490321e-01      1.000819e-01      4.227751e-02      6.672696e-03   
     1.180740        1.185122e-01      6.857738e-02      4.135799e-02      8.576873e-03   
     1.231544        9.533247e-02      4.632644e-02      3.853609e-02      1.046993e-02   
     1.281723        7.758898e-02      3.082061e-02      3.454004e-02      1.222833e-02   
     1.331143        6.389720e-02      2.017889e-02      2.996615e-02      1.375217e-02   
     1.379670        5.324479e-02      1.299671e-02      2.527544e-02      1.497264e-02   
     1.427174        4.488756e-02      8.234947e-03      2.079784e-02      1.585477e-02   
     1.473526        3.827554e-02      5.135438e-03      1.674458e-02      1.639552e-02   
     1.518601        3.300007e-02      3.154849e-03      1.322693e-02      1.661829e-02   
     1.562279        2.875584e-02      1.911886e-03      1.027870e-02      1.656526e-02   
     1.604441        2.531353e-02      1.145063e-03      7.879287e-03      1.628918e-02   
     1.644973        2.249990e-02      6.793364e-04      5.974575e-03      1.584599e-02   
     1.683766        2.018336e-02      4.003392e-04      4.494006e-03      1.528901e-02   
     1.720717        1.826336e-02      2.350970e-04      3.363058e-03      1.466520e-02   
     1.755724        1.666266e-02      1.380728e-04      2.511344e-03      1.401324e-02   
     1.788694        1.532157e-02      8.142272e-05      1.877027e-03      1.336312e-02   
     1.819538        1.419370e-02      4.842289e-05      1.408539e-03      1.273674e-02   
     1.848172        1.324282e-02      2.917852e-05      1.064536e-03      1.214911e-02   
     1.874520        1.244049e-02      1.790446e-05      8.128638e-04      1.160972e-02   
     1.898510        1.176428e-02      1.124737e-05      6.291112e-04      1.112393e-02   
     1.920078        1.119650e-02      7.273647e-06      4.950884e-04      1.069414e-02   
     1.939166        1.072311e-02      4.870510e-06      3.974441e-04      1.032080e-02   
     1.955722        1.033305e-02      3.396856e-06      3.264988e-04      1.000316e-02   
     1.969702        1.001764e-02      2.482036e-06      2.753143e-04      9.739841e-03   
     1.981067        9.770121e-03      1.910789e-06      2.389804e-04      9.529230e-03   
     1.989788        9.585397e-03      1.557819e-06      2.140869e-04      9.369753e-03   
     1.995841        9.459756e-03      1.350785e-06      1.983456e-04      9.260059e-03   
     1.999210        9.390700e-03      1.249602e-06      1.903294e-04      9.199121e-03   
     2.003160        9.310561e-03      1.118455e-06      1.789330e-04      9.130509e-03   
     2.016638        9.043384e-03      7.734623e-07      1.461724e-04      8.896438e-03   
     2.040848        8.586820e-03      3.889557e-07      1.007714e-04      8.485660e-03   
     2.075731        7.977387e-03      1.294216e-07      5.609500e-05      7.921162e-03   
     2.121193        7.259076e-03      2.194183e-08      2.244735e-05      7.236607e-03   
     2.177111        6.476739e-03      4.708663e-10      3.489059e-06      6.473250e-03   
     2.243335        5.670935e-03      1.368969e-09     -3.382679e-06      5.674316e-03   
     2.319686        4.874977e-03      1.581853e-09     -3.635971e-06      4.878611e-03   
     2.405959        4.114108e-03      5.979982e-10     -1.967277e-06      4.116074e-03   
     2.501920        3.406171e-03      1.024619e-10     -6.720436e-07      3.406843e-03   
     2.607312        2.762974e-03      6.983730e-12     -1.286516e-07      2.763102e-03   
