#        q              total               1              \delta U         \delta U^2    

     0.001185        1.306225e+08      1.306801e+08     -5.892100e+04      1.328948e+03   
     0.006239        3.300587e+07      3.303414e+07     -2.877044e+04      5.026520e+02   
     0.015318        2.195686e+07      2.198023e+07     -2.373710e+04      3.642365e+02   
     0.028399        1.417627e+07      1.419464e+07     -1.870107e+04      3.238805e+02   
     0.045447        7.887479e+06      7.901064e+06     -1.389332e+04      3.081537e+02   
     0.066417        4.877048e+06      4.887620e+06     -1.087303e+04      3.004396e+02   
     0.091251        3.459705e+06      3.468513e+06     -9.102339e+03      2.946215e+02   
     0.119882        2.518870e+06      2.526465e+06     -7.883466e+03      2.882290e+02   
     0.152235        1.891973e+06      1.898456e+06     -6.763510e+03      2.803269e+02   
     0.188220        1.400833e+06      1.406303e+06     -5.740533e+03      2.704986e+02   
     0.227742        1.077283e+06      1.081838e+06     -4.813067e+03      2.584496e+02   
     0.270694        8.187561e+05      8.227238e+05     -4.211601e+03      2.439498e+02   
     0.316959        6.511677e+05      6.545890e+05     -3.648217e+03      2.268706e+02   
     0.366414        5.132014e+05      5.161189e+05     -3.124810e+03      2.072568e+02   
     0.418925        4.005118e+05      4.029699e+05     -2.643486e+03      1.853974e+02   
     0.474351        3.524769e+05      3.546700e+05     -2.354961e+03      1.618711e+02   
     0.532541        2.706265e+05      2.724317e+05     -1.942803e+03      1.375723e+02   
     0.593339        2.202139e+05      2.216789e+05     -1.578647e+03      1.137056e+02   
     0.656582        1.779463e+05      1.792131e+05     -1.358492e+03      9.174161e+01   
     0.722098        1.426244e+05      1.436243e+05     -1.073172e+03      7.330821e+01   
     0.789711        1.133986e+05      1.142418e+05     -9.031788e+02      6.000926e+01   
     0.859239        8.931233e+04      8.995409e+04     -6.949405e+02      5.318195e+01   
     0.930495        6.968984e+04      7.021098e+04     -5.747303e+02      5.359306e+01   
     1.003286        4.920524e+04      4.957726e+04     -4.331798e+02      6.115606e+01   
     1.077416        3.401676e+04      3.426507e+04     -3.230627e+02      7.475244e+01   
     1.152685        2.296852e+04      2.311478e+04     -2.385109e+02      9.225504e+01   
     1.228890        1.503931e+04      1.510192e+04     -1.734200e+02      1.108156e+02   
     1.305826        5.372853e+03      5.337222e+03     -9.176407e+01      1.273950e+02   
     1.383286        1.393960e+02      0.000000e+00      0.000000e+00      1.393960e+02   
     1.461060        1.452013e+02      0.000000e+00      0.000000e+00      1.452013e+02   
     1.538940        1.444373e+02      0.000000e+00      0.000000e+00      1.444373e+02   
     1.616714        1.378743e+02      0.000000e+00      0.000000e+00      1.378743e+02   
     1.694174        1.270441e+02      0.000000e+00      0.000000e+00      1.270441e+02   
     1.771110        1.137496e+02      0.000000e+00      0.000000e+00      1.137496e+02   
     1.847315        9.964400e+01      0.000000e+00      0.000000e+00      9.964400e+01   
     1.922584        8.598014e+01      0.000000e+00      0.000000e+00      8.598014e+01   
     1.996714        7.353959e+01      0.000000e+00      0.000000e+00      7.353959e+01   
     2.069505        6.268787e+01      0.000000e+00      0.000000e+00      6.268787e+01   
     2.140761        5.348876e+01      0.000000e+00      0.000000e+00      5.348876e+01   
     2.210289        4.582466e+01      0.000000e+00      0.000000e+00      4.582466e+01   
     2.277902        3.949393e+01      0.000000e+00      0.000000e+00      3.949393e+01   
     2.343418        3.427568e+01      0.000000e+00      0.000000e+00      3.427568e+01   
     2.406661        2.996536e+01      0.000000e+00      0.000000e+00      2.996536e+01   
     2.467459        2.638932e+01      0.000000e+00      0.000000e+00      2.638932e+01   
     2.525649        2.340693e+01      0.000000e+00      0.000000e+00      2.340693e+01   
     2.581075        2.090705e+01      0.000000e+00      0.000000e+00      2.090705e+01   
     2.633586        1.880253e+01      0.000000e+00      0.000000e+00      1.880253e+01   
     2.683041        1.702504e+01      0.000000e+00      0.000000e+00      1.702504e+01   
     2.729306        1.552062e+01      0.000000e+00      0.000000e+00      1.552062e+01   
     2.772258        1.424640e+01      0.000000e+00      0.000000e+00      1.424640e+01   
     2.811780        1.316798e+01      0.000000e+00      0.000000e+00      1.316798e+01   
     2.847765        1.225766e+01      0.000000e+00      0.000000e+00      1.225766e+01   
     2.880118        1.149299e+01      0.000000e+00      0.000000e+00      1.149299e+01   
     2.908749        1.085581e+01      0.000000e+00      0.000000e+00      1.085581e+01   
     2.933583        1.033142e+01      0.000000e+00      0.000000e+00      1.033142e+01   
     2.954553        9.908035e+00      0.000000e+00      0.000000e+00      9.908035e+00   
     2.971601        9.576359e+00      0.000000e+00      0.000000e+00      9.576359e+00   
     2.984682        9.329220e+00      0.000000e+00      0.000000e+00      9.329220e+00   
     2.993761        9.161348e+00      0.000000e+00      0.000000e+00      9.161348e+00   
     2.998815        9.069166e+00      0.000000e+00      0.000000e+00      9.069166e+00   
     3.004739        8.962267e+00      0.000000e+00      0.000000e+00      8.962267e+00   
     3.024957        8.606550e+00      0.000000e+00      0.000000e+00      8.606550e+00   
     3.061273        8.001528e+00      0.000000e+00      0.000000e+00      8.001528e+00   
     3.113597        7.201158e+00      0.000000e+00      0.000000e+00      7.201158e+00   
     3.181789        6.272257e+00      0.000000e+00      0.000000e+00      6.272257e+00   
     3.265666        5.285277e+00      0.000000e+00      0.000000e+00      5.285277e+00   
     3.365002        4.305973e+00      0.000000e+00      0.000000e+00      4.305973e+00   
     3.479529        3.389027e+00      0.000000e+00      0.000000e+00      3.389027e+00   
     3.608938        2.574141e+00      0.000000e+00      0.000000e+00      2.574141e+00   
     3.752880        1.884642e+00      0.000000e+00      0.000000e+00      1.884642e+00   
     3.910968        1.328336e+00      0.000000e+00      0.000000e+00      1.328336e+00   
     4.082775        9.001085e-01      0.000000e+00      0.000000e+00      9.001085e-01   
     4.267838        5.856219e-01      0.000000e+00      0.000000e+00      5.856219e-01   
     4.465657        3.653536e-01      0.000000e+00      0.000000e+00      3.653536e-01   
     4.675701        2.182842e-01      0.000000e+00      0.000000e+00      2.182842e-01   
     4.897402        1.247229e-01      0.000000e+00      0.000000e+00      1.247229e-01   
     5.130163        6.804092e-02      0.000000e+00      0.000000e+00      6.804092e-02   
     5.373356        3.536011e-02      0.000000e+00      0.000000e+00      3.536011e-02   
     5.626327        1.744599e-02      0.000000e+00      0.000000e+00      1.744599e-02   
     5.888392        8.128100e-03      0.000000e+00      0.000000e+00      8.128100e-03   
     6.158845        3.546433e-03      0.000000e+00      0.000000e+00      3.546433e-03   
     6.436958        1.432080e-03      0.000000e+00      0.000000e+00      1.432080e-03   
     6.721980        5.285771e-04      0.000000e+00      0.000000e+00      5.285771e-04   
     7.013143        1.799169e-04      0.000000e+00      0.000000e+00      1.799169e-04   
     7.309662        6.414265e-05      0.000000e+00      0.000000e+00      6.414265e-05   
     7.610739        3.425645e-05      0.000000e+00      0.000000e+00      3.425645e-05   
     7.915560        2.937585e-05      0.000000e+00      0.000000e+00      2.937585e-05   
