#       k             kp                 U11                    U12                    U21                    U22          
   0.000790       0.000790         1.000000e+00           7.543611e-22           1.638361e-21           1.000000e+00      
   0.000790       0.004159         -7.933960e-12          5.157796e-18           1.418155e-20           -1.488314e-26     
   0.000790       0.010212         -2.438040e-11          1.561610e-16           5.998340e-20           -4.467486e-25     
   0.000790       0.018933         -5.263068e-11          1.223652e-15           2.326269e-19           -3.332085e-24     
   0.000790       0.030298         -9.431827e-11          6.238472e-15           8.225336e-19           -1.531541e-23     
   0.000790       0.044278         -1.504249e-10          2.521809e-14           2.514139e-18           -5.229769e-23     
   0.000790       0.060834         -2.211497e-10          8.854359e-14           6.641461e-18           -1.457449e-22     
   0.000790       0.079922         -3.056966e-10          2.806475e-13           1.546317e-17           -3.499912e-22     
   0.000790       0.101490         -4.020175e-10          8.144496e-13           3.239001e-17           -7.494123e-22     
   0.000790       0.125480         -5.065431e-10          2.176549e-12           6.207047e-17           -1.463617e-21     
   0.000790       0.151828         -6.139377e-10          5.380214e-12           1.102345e-16           -2.648406e-21     
   0.000790       0.180462         -7.169205e-10          1.236259e-11           1.832186e-16           -4.490027e-21     
   0.000790       0.211306         -8.061880e-10          2.654926e-11           2.871649e-16           -7.190787e-21     
   0.000790       0.244276         -8.704721e-10          5.358073e-11           4.269878e-16           -1.094568e-20     
   0.000790       0.279283         -8.967507e-10          1.021537e-10           6.053132e-16           -1.591248e-20     
   0.000790       0.316234         -8.706123e-10          1.848836e-10           8.216364e-16           -2.218220e-20     
   0.000790       0.355027         -7.767590e-10          3.190588e-10           1.072001e-15           -2.976180e-20     
   0.000790       0.395559         -5.996172e-10          5.271391e-10           1.349145e-15           -3.858723e-20     
   0.000790       0.437721         -3.240206e-10          8.368711e-10           1.643490e-15           -4.858886e-20     
   0.000790       0.481399         6.407073e-11           1.280931e-09           1.943880e-15           -5.983389e-20     
   0.000790       0.526474         5.768450e-10           1.896073e-09           2.239559e-15           -7.276713e-20     
   0.000790       0.572826         1.223935e-09           2.721814e-09           2.519957e-15           -8.856309e-20     
   0.000790       0.620330         2.011758e-09           3.798757e-09           2.777284e-15           -1.095867e-19     
   0.000790       0.668857         2.942929e-09           5.166653e-09           3.004583e-15           -1.399390e-19     
   0.000790       0.718277         4.015773e-09           6.862360e-09           3.198353e-15           -1.860383e-19     
   0.000790       0.768456         5.223975e-09           8.917801e-09           3.355477e-15           -2.571669e-19     
   0.000790       0.819260         6.556409e-09           1.135805e-08           3.476231e-15           -3.658919e-19     
   0.000790       0.870551         7.997161e-09           1.419966e-08           7.657814e-18           -5.282677e-19     
   0.000790       0.922191         9.525794e-09           1.744926e-08           7.757341e-18           -7.637369e-19     
   0.000790       0.974040         1.111783e-08           2.110253e-08           7.754634e-18           -1.094672e-18     
   0.000790       1.025960         1.274550e-08           2.514360e-08           7.641834e-18           -1.545540e-18     
   0.000790       1.077809         1.437858e-08           2.954483e-08           7.414222e-18           -2.141712e-18     
   0.000790       1.129449         1.598556e-08           3.426706e-08           7.070692e-18           -2.907988e-18     
   0.000790       1.180740         1.753472e-08           3.926028e-08           6.614066e-18           -3.866930e-18     
   0.000790       1.231544         1.899532e-08           4.446464e-08           6.051192e-18           -5.037117e-18     
   0.000790       1.281723         2.033877e-08           4.981185e-08           5.392813e-18           -6.431460e-18     
   0.000790       1.331143         2.153959e-08           5.522682e-08           4.653207e-18           -8.055681e-18     
   0.000790       1.379670         2.257633e-08           6.062948e-08           3.849624e-18           -9.907073e-18     
   0.000790       1.427174         2.343215e-08           6.593676e-08           3.001541e-18           -1.197362e-17     
   0.000790       1.473526         2.409525e-08           7.106453e-08           2.129795e-18           -1.423357e-17     
   0.000790       1.518601         2.455901e-08           7.592945e-08           1.255652e-18           -1.665539e-17     
   0.000790       1.562279         2.482189e-08           8.045077e-08           3.998809e-19           -1.919830e-17     
   0.000790       1.604441         2.488710e-08           8.455177e-08           -4.181142e-19          -2.181311e-17     
   0.000790       1.644973         2.476208e-08           8.816099e-08           -1.181036e-18          -2.444348e-17     
   0.000790       1.683766         2.445779e-08           9.121311e-08           -1.874276e-18          -2.702745e-17     
   0.000790       1.720717         2.398796e-08           9.364940e-08           -2.486295e-18          -2.949921e-17     
   0.000790       1.755724         2.336816e-08           9.541785e-08           -3.008803e-18          -3.179084e-17     
   0.000790       1.788694         2.261487e-08           9.647283e-08           -3.436732e-18          -3.383411e-17     
   0.000790       1.819538         2.174462e-08           9.677425e-08           -3.768007e-18          -3.556206e-17     
   0.000790       1.848172         2.077296e-08           9.628627e-08           -4.003167e-18          -3.691038e-17     
   0.000790       1.874520         1.971358e-08           9.497541e-08           -4.144833e-18          -3.781831e-17     
   0.000790       1.898510         1.857736e-08           9.280770e-08           -4.197074e-18          -3.822904e-17     
   0.000790       1.920078         1.737126e-08           8.974479e-08           -4.164680e-18          -3.808923e-17     
   0.000790       1.939166         1.609702e-08           8.573780e-08           -4.052347e-18          -3.734742e-17     
   0.000790       1.955722         1.474930e-08           8.071753e-08           -3.863710e-18          -3.595035e-17     
   0.000790       1.969702         1.331255e-08           7.457699e-08           -3.600077e-18          -3.383546e-17     
