#       k             kp                 O11                    O12                    O21                    O22          
   0.000973       2.792891         -3.195512e-09          1.445735e-08           2.084993e-19           -7.736679e-19     
   0.000973       2.891303         -3.853087e-09          1.532396e-08           2.689834e-19           -8.900996e-19     
   0.000973       2.994421         -4.565222e-09          1.611171e-08           3.417905e-19           -1.016016e-18     
   0.000973       3.102014         -5.320499e-09          1.679320e-08           4.278296e-19           -1.149559e-18     
   0.000973       3.213842         -6.104039e-09          1.734159e-08           5.275913e-19           -1.288108e-18     
   0.000973       3.329656         -6.897874e-09          1.773229e-08           6.410173e-19           -1.428288e-18     
   0.000973       3.449197         -7.681558e-09          1.794464e-08           7.673883e-19           -1.566051e-18     
   0.000973       3.572198         -8.433003e-09          1.796354e-08           9.052383e-19           -1.696839e-18     
   0.000973       3.698386         -9.129466e-09          1.778083e-08           1.052310e-18           -1.815812e-18     
   0.000973       3.827477         -9.748647e-09          1.739625e-08           1.205554e-18           -1.918151e-18     
   0.000973       3.959186         -1.026979e-08          1.681796e-08           1.361189e-18           -1.999396e-18     
   0.000973       4.093216         -1.067473e-08          1.606234e-08           1.514807e-18           -2.055799e-18     
   0.000973       4.229270         -1.094885e-08          1.515326e-08           1.661542e-18           -2.084654e-18     
   0.000973       4.367044         -1.108184e-08          1.412077e-08           1.796285e-18           -2.084560e-18     
   0.000973       4.506230         -1.106822e-08          1.299919e-08           1.913946e-18           -2.055594e-18     
   0.000973       4.646518         -1.090770e-08          1.182516e-08           2.009731e-18           -1.999353e-18     
   0.000973       4.787595         -1.060511e-08          1.063521e-08           2.079430e-18           -1.918864e-18     
   0.000973       4.929146         -1.017016e-08          9.463816e-09           2.119691e-18           -1.818371e-18     
   0.000973       5.070854         -9.616905e-09          8.341423e-09           2.128230e-18           -1.703000e-18     
   0.000973       5.212405         -8.962925e-09          7.293044e-09           2.103999e-18           -1.578369e-18     
   0.000973       5.353482         -8.228387e-09          6.337454e-09           2.047247e-18           -1.450156e-18     
   0.000973       5.493770         -7.434980e-09          5.486807e-09           1.959511e-18           -1.323699e-18     
   0.000973       5.632956         -6.604840e-09          4.746833e-09           1.843510e-18           -1.203648e-18     
   0.000973       5.770730         -5.759527e-09          4.117482e-09           1.702965e-18           -1.093710e-18     
   0.000973       5.906784         -4.919129e-09          3.593890e-09           1.542367e-18           -9.965100e-19     
   0.000973       6.040814         -4.101536e-09          3.167501e-09           1.366706e-18           -9.135457e-19     
   0.000973       6.172523         -3.321926e-09          2.827261e-09           1.181190e-18           -8.452551e-19     
   0.000973       6.301614         -2.592458e-09          2.560749e-09           9.909817e-19           -7.911525e-19     
   0.000973       6.427802         -1.922173e-09          2.355161e-09           8.009602e-19           -7.500184e-19     
   0.000973       6.550803         -1.317076e-09          2.198105e-09           6.155282e-19           -7.201125e-19     
   0.000973       6.670344         -7.803705e-10          2.078177e-09           4.384734e-19           -6.993867e-19     
   0.000973       6.786158         -3.127856e-10          1.985363e-09           2.728833e-19           -6.856782e-19     
   0.000973       6.897986         8.703009e-11           1.911231e-09           1.211125e-19           -6.768697e-19     
   0.000973       7.005579         4.220487e-10           1.848917e-09           -1.520650e-20          -6.710099e-19     
   0.000973       7.108697         6.964523e-10           1.793095e-09           -1.351003e-19          -6.663939e-19     
   0.000973       7.207109         9.152305e-10           1.739805e-09           -2.382010e-19          -6.616043e-19     
   0.000973       7.300597         1.083805e-09           1.686242e-09           -3.246265e-19          -6.555218e-19     
   0.000973       7.388951         1.207737e-09           1.630541e-09           -3.948885e-19          -6.473095e-19     
   0.000973       7.471974         1.292472e-09           1.571570e-09           -4.497857e-19          -6.363801e-19     
   0.000973       7.549482         1.343138e-09           1.508693e-09           -4.903038e-19          -6.223513e-19     
   0.000973       7.621300         1.364422e-09           1.441636e-09           -5.175242e-19          -6.049956e-19     
   0.000973       7.687269         1.360437e-09           1.370279e-09           -5.325423e-19          -5.841873e-19     
   0.000973       7.747242         1.334662e-09           1.294539e-09           -5.363962e-19          -5.598495e-19     
   0.000973       7.801085         1.289893e-09           1.214261e-09           -5.300005e-19          -5.318985e-19     
   0.000973       7.848678         1.228152e-09           1.129055e-09           -5.140819e-19          -5.001836e-19     
   0.000973       7.889914         1.150590e-09           1.038145e-09           -4.891016e-19          -4.644121e-19     
   0.000973       7.924701         1.057298e-09           9.401511e-10           -4.551410e-19          -4.240361e-19     
   0.000973       7.952963         9.468586e-10           8.326408e-10           -4.116878e-19          -3.780482e-19     
   0.000973       7.974635         8.152655e-10           7.111323e-10           -3.571450e-19          -3.245238e-19     
   0.000973       7.989670         6.526570e-10           5.662129e-10           -2.873865e-19          -2.593008e-19     
   0.000973       7.998039         4.285586e-10           3.706979e-10           -1.892475e-19          -1.700959e-19     
   0.005125       0.000973         -4.448137e-17          -1.160664e-22          -3.133450e-21          1.688478e-23      
   0.005125       0.005125         -1.861099e-30          -4.067716e-22          4.067716e-22           -2.668779e-42     
   0.005125       0.012579         5.698794e-15           2.474508e-18           4.089593e-19           -1.862963e-26     
   0.005125       0.023314         4.809689e-14           7.202072e-17           3.438618e-18           -1.446350e-25     
   0.005125       0.037292         2.269719e-13           8.716696e-16           1.616836e-17           -5.897620e-25     
   0.005125       0.054469         7.799981e-13           6.400234e-15           5.522866e-17           -1.638437e-19     
   0.005125       0.074787         2.175680e-12           3.367070e-14           1.525503e-16           -8.737273e-19     
   0.005125       0.098178         5.222885e-12           1.391709e-13           3.607947e-16           -3.564852e-18     
   0.005125       0.124565         1.118444e-11           4.784690e-13           7.562961e-16           -1.205792e-17     
   0.005125       0.153859         2.187732e-11           1.421035e-12           1.436897e-15           -3.502966e-17     
   0.005125       0.185965         3.973874e-11           3.743456e-12           2.512526e-15           -8.965424e-17     
   0.005125       0.220775         6.783761e-11           8.916432e-12           4.088157e-15           -2.059091e-16     
   0.005125       0.258173         1.098151e-10           1.948177e-11           6.241663e-15           -4.303064e-16     
   0.005125       0.298036         1.697480e-10           3.948685e-11           9.002041e-15           -8.272810e-16     
   0.005125       0.340231         2.519385e-10           7.491327e-11           1.233490e-14           -1.476428e-15     
   0.005125       0.384617         3.606479e-10           1.340149e-10           1.614001e-14           -2.465116e-15     
   0.005125       0.431047         4.997954e-10           2.274786e-10           2.026363e-14           -3.877022e-15     
   0.005125       0.479368         6.726466e-10           3.683405e-10           2.452055e-14           -5.779400e-15     
   0.005125       0.529418         8.815125e-10           5.716302e-10           2.871975e-14           -8.212136e-15     
   0.005125       0.581031         1.127474e-09           8.537563e-10           3.268663e-14           -1.118110e-14     
   0.005125       0.634036         1.410148e-09           1.231684e-09           3.627698e-14           -1.465697e-14     
   0.005125       0.688256         1.727501e-09           1.721976e-09           3.938835e-14           -1.857691e-14     
