#        q              total               1              \delta U         \delta U^2    

     0.001185        8.468528e+08      8.469972e+08     -1.486875e+05      4.293502e+03   
     0.006239        4.589303e+08      4.590376e+08     -1.088854e+05      1.548926e+03   
     0.015318        1.994830e+08      1.995460e+08     -6.419590e+04      1.228322e+03   
     0.028399        5.522086e+07      5.525195e+07     -3.222138e+04      1.126522e+03   
     0.045447        3.935045e+07      3.937788e+07     -2.852440e+04      1.088864e+03   
     0.066417        2.823127e+07      2.825452e+07     -2.431510e+04      1.069779e+03   
     0.091251        2.050664e+07      2.052610e+07     -2.051547e+04      1.052483e+03   
     0.119882        1.567589e+07      1.569259e+07     -1.772634e+04      1.031665e+03   
     0.152235        1.227939e+07      1.229412e+07     -1.574099e+04      1.005055e+03   
     0.188220        9.518232e+06      9.531131e+06     -1.387100e+04      9.713924e+02   
     0.227742        8.183228e+06      8.194904e+06     -1.260503e+04      9.296711e+02   
     0.270694        6.743233e+06      6.753727e+06     -1.137295e+04      8.790741e+02   
     0.316959        5.745336e+06      5.754696e+06     -1.017872e+04      8.191057e+02   
     0.366414        4.873686e+06      4.881965e+06     -9.028131e+03      7.498264e+02   
     0.418925        4.115168e+06      4.122424e+06     -7.928533e+03      6.721048e+02   
     0.474351        3.616036e+06      3.622652e+06     -7.203815e+03      5.878116e+02   
     0.532541        3.026752e+06      3.032448e+06     -6.195869e+03      4.998871e+02   
     0.593339        2.519790e+06      2.524643e+06     -5.265899e+03      4.123647e+02   
     0.656582        2.294338e+06      2.298648e+06     -4.640748e+03      3.302398e+02   
     0.722098        1.893353e+06      1.896950e+06     -3.856419e+03      2.591916e+02   
     0.789711        1.552570e+06      1.555534e+06     -3.168842e+03      2.049553e+02   
     0.859239        1.330621e+06      1.333026e+06     -2.577875e+03      1.725194e+02   
     0.930495        1.138275e+06      1.140307e+06     -2.196387e+03      1.651006e+02   
     1.003286        9.169083e+05      9.184898e+05     -1.764631e+03      1.831332e+02   
     1.077416        6.908222e+05      6.919300e+05     -1.331362e+03      2.235426e+02   
     1.152685        4.835359e+05      4.842521e+05     -9.958632e+02      2.796883e+02   
     1.228890        3.091341e+05      3.094813e+05     -6.894828e+02      3.421968e+02   
     1.305826        1.370395e+04      1.334081e+04     -3.750990e+01      4.006508e+02   
     1.383286        4.456860e+02      0.000000e+00      0.000000e+00      4.456860e+02   
     1.461060        4.709770e+02      0.000000e+00      0.000000e+00      4.709770e+02   
     1.538940        4.743029e+02      0.000000e+00      0.000000e+00      4.743029e+02   
     1.616714        4.574286e+02      0.000000e+00      0.000000e+00      4.574286e+02   
     1.694174        4.249934e+02      0.000000e+00      0.000000e+00      4.249934e+02   
     1.771110        3.829188e+02      0.000000e+00      0.000000e+00      3.829188e+02   
     1.847315        3.369261e+02      0.000000e+00      0.000000e+00      3.369261e+02   
     1.922584        2.915539e+02      0.000000e+00      0.000000e+00      2.915539e+02   
     1.996714        2.497754e+02      0.000000e+00      0.000000e+00      2.497754e+02   
     2.069505        2.130923e+02      0.000000e+00      0.000000e+00      2.130923e+02   
     2.140761        1.818901e+02      0.000000e+00      0.000000e+00      1.818901e+02   
     2.210289        1.558583e+02      0.000000e+00      0.000000e+00      1.558583e+02   
     2.277902        1.343483e+02      0.000000e+00      0.000000e+00      1.343483e+02   
     2.343418        1.166201e+02      0.000000e+00      0.000000e+00      1.166201e+02   
     2.406661        1.019791e+02      0.000000e+00      0.000000e+00      1.019791e+02   
     2.467459        8.983310e+01      0.000000e+00      0.000000e+00      8.983310e+01   
     2.525649        7.970289e+01      0.000000e+00      0.000000e+00      7.970289e+01   
     2.581075        7.121020e+01      0.000000e+00      0.000000e+00      7.121020e+01   
     2.633586        6.405902e+01      0.000000e+00      0.000000e+00      6.405902e+01   
     2.683041        5.801747e+01      0.000000e+00      0.000000e+00      5.801747e+01   
     2.729306        5.290273e+01      0.000000e+00      0.000000e+00      5.290273e+01   
     2.772258        4.856943e+01      0.000000e+00      0.000000e+00      4.856943e+01   
     2.811780        4.490113e+01      0.000000e+00      0.000000e+00      4.490113e+01   
     2.847765        4.180391e+01      0.000000e+00      0.000000e+00      4.180391e+01   
     2.880118        3.920174e+01      0.000000e+00      0.000000e+00      3.920174e+01   
     2.908749        3.703300e+01      0.000000e+00      0.000000e+00      3.703300e+01   
     2.933583        3.524788e+01      0.000000e+00      0.000000e+00      3.524788e+01   
     2.954553        3.380643e+01      0.000000e+00      0.000000e+00      3.380643e+01   
     2.971601        3.267708e+01      0.000000e+00      0.000000e+00      3.267708e+01   
     2.984682        3.183550e+01      0.000000e+00      0.000000e+00      3.183550e+01   
     2.993761        3.126382e+01      0.000000e+00      0.000000e+00      3.126382e+01   
     2.998815        3.094988e+01      0.000000e+00      0.000000e+00      3.094988e+01   
     3.004739        3.058581e+01      0.000000e+00      0.000000e+00      3.058581e+01   
     3.024957        2.937424e+01      0.000000e+00      0.000000e+00      2.937424e+01   
     3.061273        2.731323e+01      0.000000e+00      0.000000e+00      2.731323e+01   
     3.113597        2.458613e+01      0.000000e+00      0.000000e+00      2.458613e+01   
     3.181789        2.142009e+01      0.000000e+00      0.000000e+00      2.142009e+01   
     3.265666        1.805484e+01      0.000000e+00      0.000000e+00      1.805484e+01   
     3.365002        1.471434e+01      0.000000e+00      0.000000e+00      1.471434e+01   
     3.479529        1.158510e+01      0.000000e+00      0.000000e+00      1.158510e+01   
     3.608938        8.802800e+00      0.000000e+00      0.000000e+00      8.802800e+00   
     3.752880        6.447426e+00      0.000000e+00      0.000000e+00      6.447426e+00   
     3.910968        4.546077e+00      0.000000e+00      0.000000e+00      4.546077e+00   
     4.082775        3.081733e+00      0.000000e+00      0.000000e+00      3.081733e+00   
     4.267838        2.005792e+00      0.000000e+00      0.000000e+00      2.005792e+00   
     4.465657        1.251827e+00      0.000000e+00      0.000000e+00      1.251827e+00   
     4.675701        7.481817e-01      0.000000e+00      0.000000e+00      7.481817e-01   
