#        q                Q               total               1              \delta U         \delta U^2    

     0.001185          0.001762        8.177127e+08      8.177232e+08     -1.077962e+04      3.258752e+02   
     0.001185          0.009274        5.134152e+08      5.134236e+08     -8.723925e+03      3.170275e+02   
     0.001185          0.022740        3.191534e+08      3.191600e+08     -6.944756e+03      2.984642e+02   
     0.001185          0.042083        1.442382e+08      1.442424e+08     -4.474578e+03      2.711879e+02   
     0.001185          0.067187        6.221579e+07      6.221861e+07     -3.079472e+03      2.593475e+02   
     0.001185          0.097901        4.471546e+07      4.471783e+07     -2.616831e+03      2.496258e+02   
     0.001185          0.134040        3.404845e+07      3.405052e+07     -2.308338e+03      2.400657e+02   
     0.001185          0.175388        2.661792e+07      2.661973e+07     -2.040983e+03      2.301323e+02   
     0.001185          0.221694        2.072002e+07      2.072160e+07     -1.795112e+03      2.197198e+02   
     0.001185          0.272682        1.685787e+07      1.685928e+07     -1.624266e+03      2.090136e+02   
     0.001185          0.328043        1.370674e+07      1.370800e+07     -1.464619e+03      1.981049e+02   
     0.001185          0.387446        1.106254e+07      1.106366e+07     -1.315791e+03      1.869957e+02   
     0.001185          0.450533        9.547757e+06      9.548804e+06     -1.222396e+03      1.755374e+02   
     0.001185          0.516924        8.209914e+06      8.210884e+06     -1.133529e+03      1.639770e+02   
     0.001185          0.586221        7.032073e+06      7.032969e+06     -1.049076e+03      1.524910e+02   
     0.001185          0.658006        5.998543e+06      5.999371e+06     -9.689255e+02      1.408048e+02   
     0.001185          0.731848        5.531312e+06      5.532113e+06     -9.304286e+02      1.291996e+02   
     0.001185          0.807302        4.687406e+06      4.688144e+06     -8.565210e+02      1.179596e+02   
     0.001185          0.883916        4.307510e+06      4.308224e+06     -8.210822e+02      1.070949e+02   
     0.001185          0.961228        3.953623e+06      3.954313e+06     -7.866346e+02      9.650738e+01   
     0.001185          1.038772        3.566319e+06      3.566973e+06     -7.411143e+02      8.639271e+01   
     0.001185          1.116084        3.033894e+06      3.034506e+06     -6.890988e+02      7.703139e+01   
     0.001185          1.192698        2.770205e+06      2.770795e+06     -6.584756e+02      6.834710e+01   
     0.001185          1.268152        2.525897e+06      2.526465e+06     -6.287734e+02      6.033687e+01   
     0.001185          1.341994        2.299813e+06      2.300359e+06     -5.999781e+02      5.308610e+01   
     0.001185          1.413779        2.090849e+06      2.091374e+06     -5.720755e+02      4.653365e+01   
     0.001185          1.483076        2.090843e+06      2.091374e+06     -5.720755e+02      4.085757e+01   
     0.001185          1.549467        1.897947e+06      1.898456e+06     -5.450518e+02      3.591873e+01   
     0.001185          1.612554        1.720113e+06      1.720601e+06     -5.188927e+02      3.144169e+01   
     0.001185          1.671957        1.556387e+06      1.556853e+06     -4.935843e+02      2.755634e+01   
     0.001185          1.727318        1.463125e+06      1.463570e+06     -4.691125e+02      2.421505e+01   
     0.001185          1.778306        1.405856e+06      1.406303e+06     -4.691125e+02      2.165806e+01   
     0.001185          1.824612        1.267659e+06      1.268086e+06     -4.454632e+02      1.922242e+01   
     0.001185          1.865960        1.267658e+06      1.268086e+06     -4.454632e+02      1.747741e+01   
     0.001185          1.902099        1.140972e+06      1.141379e+06     -4.226223e+02      1.580022e+01   
     0.001185          1.932813        1.140971e+06      1.141379e+06     -4.226223e+02      1.471076e+01   
     0.001185          1.957917        1.061095e+06      1.061482e+06     -4.005759e+02      1.360138e+01   
     0.001185          1.977260        1.025015e+06      1.025403e+06     -4.005759e+02      1.296296e+01   
     0.001185          1.990726        1.025015e+06      1.025403e+06     -4.005759e+02      1.257800e+01   
     0.001185          1.998238        1.025015e+06      1.025403e+06     -4.005759e+02      1.232487e+01   
     0.006239          0.001762        4.493342e+08      4.493421e+08     -8.184932e+03      2.505940e+02   
     0.006239          0.009274        4.223710e+08      4.223782e+08     -7.474739e+03      2.472839e+02   
     0.006239          0.022740        2.992591e+08      2.992650e+08     -6.211698e+03      2.418991e+02   
     0.006239          0.042083        1.310337e+08      1.310372e+08     -3.727504e+03      2.354953e+02   
     0.006239          0.067187        6.212465e+07      6.212739e+07     -2.964930e+03      2.299171e+02   
     0.006239          0.097901        4.449703e+07      4.449936e+07     -2.549553e+03      2.240673e+02   
     0.006239          0.134040        3.411324e+07      3.411527e+07     -2.252916e+03      2.175149e+02   
     0.006239          0.175388        2.673676e+07      2.673855e+07     -1.998209e+03      2.100824e+02   
     0.006239          0.221694        2.110405e+07      2.110563e+07     -1.779468e+03      2.019050e+02   
     0.006239          0.272682        1.665646e+07      1.665785e+07     -1.584090e+03      1.931524e+02   
     0.006239          0.328043        1.340448e+07      1.340572e+07     -1.422901e+03      1.838961e+02   
     0.006239          0.387446        1.109856e+07      1.109969e+07     -1.307138e+03      1.740361e+02   
     0.006239          0.450533        9.342896e+06      9.343920e+06     -1.188301e+03      1.636515e+02   
     0.006239          0.516924        8.008413e+06      8.009358e+06     -1.098436e+03      1.529897e+02   
     0.006239          0.586221        7.031585e+06      7.032485e+06     -1.042105e+03      1.421609e+02   
     0.006239          0.658006        5.998540e+06      5.999371e+06     -9.625532e+02      1.311055e+02   
     0.006239          0.731848        5.435667e+06      5.436455e+06     -9.083268e+02      1.200636e+02   
     0.006239          0.807302        4.687403e+06      4.688144e+06     -8.508879e+02      1.092544e+02   
     0.006239          0.883916        4.307506e+06      4.308224e+06     -8.156822e+02      9.867553e+01   
     0.006239          0.961228        3.952501e+06      3.953194e+06     -7.812400e+02      8.848179e+01   
     0.006239          1.038772        3.485663e+06      3.486304e+06     -7.195898e+02      7.880850e+01   
     0.006239          1.116084        3.101639e+06      3.102254e+06     -6.845668e+02      6.971296e+01   
     0.006239          1.192698        2.786191e+06      2.786784e+06     -6.541451e+02      6.131615e+01   
     0.006239          1.268152        2.529728e+06      2.530299e+06     -6.246382e+02      5.358462e+01   
     0.006239          1.341994        2.323993e+06      2.324543e+06     -5.960322e+02      4.659091e+01   
     0.006239          1.413779        2.161286e+06      2.161814e+06     -5.683132e+02      4.032160e+01   
     0.006239          1.483076        2.036554e+06      2.037073e+06     -5.535572e+02      3.479535e+01   
     0.006239          1.549467        1.897944e+06      1.898456e+06     -5.414672e+02      2.996309e+01   
     0.006239          1.612554        1.720111e+06      1.720601e+06     -5.154801e+02      2.577291e+01   
     0.006239          1.671957        1.556385e+06      1.556853e+06     -4.903382e+02      2.215903e+01   
     0.006239          1.727318        1.475906e+06      1.476353e+06     -4.660273e+02      1.910220e+01   
     0.006239          1.778306        1.405854e+06      1.406303e+06     -4.660273e+02      1.658383e+01   
