AV18+UX
4He Total momentum distributions for all r     28 May 2022

    pair NNS momentum distribution calculated for
     101 q values from 0.001 to 10.000 fm-1 and
      26 Q values from 0.001 to  5.000 fm-1
    for pairs   1 to   6
    using  64 gauss points in r out to 16.00 fm
    using  32 gauss points in R out to  8.00 fm
    with Euler angle sampling
    integrated over all q.Q
    with partitions r <=  2.50 fm & r >  2.50

    total of     100000 samples in blocks of    100000

QQ(J) =  .001
4*PI*TOTINT(RHOQNP*Q(I)**2:Q(I))/(2*PI)**3 =  512.06
4*PI*TOTINT(RHOQPP*Q(I)**2:Q(I))/(2*PI)**3 =  104.39
 
  Q(I)      RHOQNP        DRHOQNP        RHOQPP       DRHOQPP
 5           .094042    .0022532       .014975    5.9524E-4
 5.1         .076526    .0019178       .012419    5.1311E-4
 5.2         .062081    .0016712       .010261    4.5686E-4
 5.3         .049862    .0014164       .0083555   4.0016E-4
 5.4         .040179    .0014065       .006805    3.8356E-4
 5.5         .033191    .0011601       .0056874   3.2021E-4
 5.6         .02647     .0012741       .004554    3.4718E-4
 5.7         .017929    .0012108       .0030371   3.1165E-4
 5.8         .011266    .0016509       .0018989   3.9874E-4
 5.9         .011204    .001392        .0019909   3.6605E-4
 6           .01346     .0018605       .0023595   4.8221E-4
 
QQ(J) =  1
4*PI*TOTINT(RHOQNP*Q(I)**2:Q(I))/(2*PI)**3 =  56.46
4*PI*TOTINT(RHOQPP*Q(I)**2:Q(I))/(2*PI)**3 =  13.963
 
  Q(I)      RHOQNP       DRHOQNP      RHOQPP       DRHOQPP
 *****  *************  **********  ************  **********
  .001  18532          39.934      4730.9        12.569
  .1    17724          37.003      4523.9        11.778
  .2    15523          31.126      3960.4         9.9534
  .3    12492          24.373      3185.8         7.7705
  .4     9291.7        17.883      2369.1         5.676
  .5     6436.2        12.407      1641.3         3.9123
  .6     4184.9         8.1684     1068.2         2.5553
  .7     2576.4         5.156       658.92        1.5962
  .8     1515.7         3.1578      388.75         .96546
  .9      859.05        1.9553      221.01         .58789
 1        472.45        1.2915      121.74         .3826
 1.1      254.35         .95015      65.254        .28035
 1.2      135.38         .75871      34.099        .22408
 1.3       72.206        .62418      17.337        .18452
 1.4       39.53         .51499       8.5488       .15155
 1.5       23.006        .4218        4.0737       .12302
 1.6       14.746        .34243       1.8687       .098833
 1.7       10.595        .27604        .83178      .078828
 1.8        8.419        .22136        .37962      .062628
 1.9        7.1591       .17713        .20889      .04981
 2          6.3078       .14177        .16471      .039744
 2.1        5.624        .1135         .16833      .031813
 2.2        5.003        .090894       .18217      .0255
 2.3        4.4155       .072731       .19202      .020451
 2.4        3.8661       .058228       .19546      .016445
 2.5        3.3669       .046759       .19424      .013285
 2.6        2.9218       .037718       .18962      .010787
 2.7        2.5269       .030572       .18197      .0087853
 2.8        2.1787       .024914       .17196      .0071655
 2.9        1.8743       .020499       .16052      .0058628
 3          1.6095       .017072       .14831      .0048251
 3.1        1.3798       .014446       .1357       .0040189
 3.2        1.1805       .012442       .123        .0034066
 3.3        1.0079       .010913       .1105       .0029464
 3.4         .8587       .0097125      .098504     .0025945
 3.5         .73018      .0087383      .087223     .0023154
 3.6         .61978      .0079026      .076749     .0020797
 3.7         .52516      .007154       .067174     .0018744
 3.8         .44426      .0064668      .058556     .0016887
 3.9         .37503      .0058249      .050811     .0015166
 4           .31558      .0052204      .043811     .001357
 4.1         .26468      .0046542      .037546     .0012082
 4.2         .22144      .0041216      .032055     .0010698
 4.3         .18479      .0036295      .027266    9.4238E-4
 4.4         .15364      .0031775      .023064    8.2679E-4
 4.5         .1273       .0027669      .019424    7.2193E-4
 4.6         .10525      .0023956      .016346    6.2755E-4
 4.7         .086843     .0020724      .013745    5.469E-4
 4.8         .07148      .0017839      .011516    4.751E-4
 4.9         .058672     .001533       .0096034   4.1113E-4
 5           .047987     .0013128      .0079883   3.5481E-4
 5.1         .039091     .0011402      .0066273   3.1123E-4
 5.2         .031632    9.887E-4       .0054457   2.751E-4
 5.3         .025304    8.8956E-4      .0044058   2.5004E-4
 5.4         .020263    8.0637E-4      .0035769   2.3139E-4
 5.5         .016659    7.0231E-4      .0029926   1.9944E-4
 5.6         .013548    7.586E-4       .0024526   2.1232E-4
 5.7         .0098872   6.4409E-4      .0017605   1.8767E-4
 5.8         .0065656   7.9411E-4      .0011248   2.1335E-4
 5.9         .0052142   7.8045E-4     8.9395E-4   2.2674E-4
 6           .0053582   9.3064E-4     9.7494E-4   2.4942E-4
 
QQ(J) =  1.2
4*PI*TOTINT(RHOQNP*Q(I)**2:Q(I))/(2*PI)**3 =  25.878
4*PI*TOTINT(RHOQPP*Q(I)**2:Q(I))/(2*PI)**3 =  6.7742
 
  Q(I)     RHOQNP       DRHOQNP      RHOQPP      DRHOQPP
 *****  ************  **********  ************  *********
  .001  7366.3        19.074      1927.7        5.8849
  .1    7081.5        17.146      1853.3        5.465
  .2    6293.3        14.182      1647.8        4.6153
  .3    5180.8        11.139      1358.6        3.6319
  .4    3968.4         8.1863     1043.8        2.6723
  .5    2844.8         5.7388      751.72       1.8649
  .6    1919.1         3.8845      510.63       1.2447
  .7    1224.8         2.5576      329.13        .79982
  .8     744.59        1.7182      202.72        .51606
  .9     434.32        1.1974      120.17        .34761
 1       244.32         .89906      68.887       .25816
 1.1     133.36         .7152       38.328       .20591
 1.2      71.364        .57831      20.789       .16796
 1.3      37.887        .46755      11.011       .13612
 1.4      20.319        .37339       5.6885      .10828
 1.5      11.388        .29632       2.8683      .085036
 1.6       6.9723       .23419       1.4175      .066247
 1.7       4.8149       .18477        .6941      .051439
 1.8       3.7403       .14578        .34861     .039964
 1.9       3.1629       .1151         .19505     .031211
 2         2.8026       .091063       .13503     .024558
 2.1       2.5259       .072363       .11605     .019473
 2.2       2.2739       .057523       .1115      .015508
 2.3       2.0321       .045718       .11067     .0124
 2.4       1.8011       .036383       .1099      .0099551
 2.5       1.5821       .028969       .10758     .0080275
 2.6       1.3784       .023071       .10334     .006493
 2.7       1.1939       .018464       .097624    .0052687
 2.8       1.0308       .014846       .091061    .0042813
 2.9        .88835      .012003       .084177    .0034868
 3          .76409      .0098491      .077201    .0028589
 3.1        .65534      .0082305      .070195    .0023677
 3.2        .56026      .0069948      .063231    .0019918
 3.3        .47753      .0060598      .056449    .0017066
 3.4        .40611      .0053638      .050018    .0014911
 3.5        .34494      .0048046      .04406     .0013206
 3.6        .29274      .0043363      .038623    .0011802
 3.7        .24815      .0039334      .033711    .0010611
 3.8        .21         .0035712      .029301   9.5637E-4
 3.9        .17727      .0032364      .025346   8.6135E-4
 4          .1492       .0029237      .02181    7.737E-4
 4.1        .12525      .0026291      .018679   6.9302E-4
 4.2        .10492      .0023519      .015938   6.1835E-4
 4.3        .087711     .0020923      .013552   5.4976E-4
 4.4        .073111     .0018522      .011475   4.87E-4
 4.5        .060717     .0016319      .009673   4.2922E-4
 4.6        .050239     .0014321      .0081273  3.7748E-4
 4.7        .041447     .0012543      .0068135  3.3202E-4
 4.8        .034147     .001098       .0057009  2.9264E-4
 4.9        .02813     9.601E-4       .0047647  2.573E-4
 5          .023137    8.3705E-4      .00398    2.2637E-4
 5.1        .018961    7.5114E-4      .0033113  2.0338E-4
 5.2        .015454    6.5748E-4      .0027263  1.8012E-4
 5.3        .012403    6.1602E-4      .0022077  1.7112E-4
 5.4        .0097061   5.5697E-4      .0017646  1.5209E-4
 5.5        .0076338   5.6539E-4      .0014328  1.4881E-4
 5.6        .0064478   4.7884E-4      .0012236  1.3616E-4
 5.7        .0056588   5.6444E-4      .0010284  1.4153E-4
 5.8        .0042377   6.0875E-4     6.9046E-4  1.4717E-4
 5.9        .0023226   5.7646E-4     3.2828E-4  1.5381E-4
 6          .0015462   6.8475E-4     3.0194E-4  1.6395E-4
 
QQ(J) =  1.4
4*PI*TOTINT(RHOQNP*Q(I)**2:Q(I))/(2*PI)**3 =  11.396
4*PI*TOTINT(RHOQPP*Q(I)**2:Q(I))/(2*PI)**3 =  3.1841
 
  Q(I)     RHOQNP      DRHOQNP      RHOQPP     DRHOQPP
 *****  ************  *********  ***********  *********
  .001  2768.3        8.8222     733.04       2.8038
  .1    2670.9        8.34       707.9        2.6513
  .2    2401.7        7.0842     638.32       2.2552
  .3    2018.3        5.5282     539          1.7609
  .4    1589.7        4.1033     427.82       1.2953
  .5    1178.4        2.9778     320.76        .91765
  .6     826.14       2.1635     228.46        .64103
  .7     549.8        1.6276     155.26        .46017
  .8     348.37       1.2607     101.05        .34539
  .9     211.5         .99654     63.364       .27202
 1       123.72        .78389     38.472       .21596
 1.1      69.9         .61158     22.66        .17139
 1.2      38.429       .48128     12.997       .13667
 1.3      20.827       .37515      7.3025      .1072
 1.4      11.271       .29194      4.0285      .082967
 1.5       6.2299      .22706      2.1851      .063542
 1.6       3.6683      .17741      1.1737      .048634
 1.7       2.3978      .13905       .63139     .037285
 1.8       1.7636      .1094        .3462      .028758
 1.9       1.4329      .086278      .20009     .022355
 2         1.2414      .068083      .12789     .017529
 2.1       1.1114      .053789      .093747    .013835
 2.2       1.0036      .042507      .077632    .010964
 2.3        .90208     .033563      .06938     .0087167
 2.4        .80526     .026491      .064634    .0069527
 2.5        .71239     .020921      .060933    .0055659
 2.6        .62381     .016582      .056999    .0044741
 2.7        .54253     .013219      .052752    .0036068
 2.8        .47017     .010638      .04843     .0029211
 2.9        .40644     .0086652     .044182    .0023814
 3          .35035     .0071783     .040065    .0019585
 3.1        .3009      .0060497     .036081    .0016284
 3.2        .25752     .0051941     .03224     .0013756
 3.3        .21976     .0045371     .028584    .0011842
 3.4        .18711     .004018      .025156    .0010361
 3.5        .15894     .0035882     .021992   9.1669E-4
 3.6        .13473     .0032185     .019118   8.1647E-4
 3.7        .11406     .0028933     .016551   7.3101E-4
 3.8        .096488    .0026018     .014286   6.564E-4
 3.9        .081501    .0023365     .012291   5.898E-4
 4          .068691    .0020942     .010534   5.2929E-4
 4.1        .057771    .0018711     .0090001  4.7412E-4
 4.2        .048508    .0016648     .0076748  4.2351E-4
 4.3        .040663    .0014735     .0065314  3.7714E-4
 4.4        .033985    .0013008     .0055358  3.3463E-4
 4.5        .02828     .0011426     .0046666  2.9523E-4
 4.6        .023478    .0010015     .0039204  2.5995E-4
 4.7        .019496   8.7727E-4     .003291   2.2886E-4
 4.8        .016165   7.7046E-4     .0027603  2.0261E-4
 4.9        .01333    6.7287E-4     .0023095  1.7865E-4
 5          .010942   5.9509E-4     .0019269  1.595E-4
 5.1        .0089957  5.2728E-4     .0016054  1.4263E-4
 5.2        .0074554  4.7359E-4     .001338   1.2991E-4
 5.3        .006136   4.3517E-4     .001103   1.2003E-4
 5.4        .0048302  3.9206E-4    8.789E-4   1.0883E-4
 5.5        .0036952  3.8148E-4    6.9852E-4  1.0592E-4
 5.6        .0031297  3.3958E-4    6.1103E-4  9.4418E-5
 5.7        .0028316  3.7418E-4    5.3137E-4  1.0279E-4
 5.8        .0020508  3.1722E-4    3.3619E-4  9.0883E-5
 5.9        .0011989  4.503E-4     1.6562E-4  1.1779E-4
 6          .0011933  3.457E-4     2.2108E-4  1.0351E-4
 
QQ(J) =  1.6
4*PI*TOTINT(RHOQNP*Q(I)**2:Q(I))/(2*PI)**3 =  5.0411
4*PI*TOTINT(RHOQPP*Q(I)**2:Q(I))/(2*PI)**3 =  1.5225
 
  Q(I)     RHOQNP     DRHOQNP      RHOQPP     DRHOQPP
 *****  ***********  *********  ***********  *********
  .001  999.02       6.055      263.2        1.718
  .1    966.32       5.304      255.2        1.5654
  .2    877.51       4.4668     233.24       1.3267
  .3    752.04       3.5623     201.87       1.0441
  .4    609.39       2.7512     166.01        .7889
  .5    467.57       2.1008     130.14        .5866
  .6    341.44       1.6507      97.837       .44897
  .7    238.66       1.3236      70.916       .35564
  .8    159.87       1.0855      49.625       .29395
  .9    102.85        .88231     33.565       .24277
 1       64.002       .69142     22.037       .19367
 1.1     38.623       .53243     14.06        .15101
 1.2     22.626       .40504      8.7144      .11587
 1.3     13.035       .30923      5.2799      .088652
 1.4      7.5076      .23633      3.1505      .067135
 1.5      4.3642      .18234      1.8541      .050886
 1.6      2.605       .14188      1.079       .03866
 1.7      1.6448      .11137       .62668     .029568
 1.8      1.1212      .087797      .36692     .02279
 1.9       .82917     .069252      .21908     .017719
 2         .65821     .054536      .13577     .013861
 2.1       .55135     .042914      .089819    .010885
 2.2       .479       .03368       .065167    .0085618
 2.3       .42098     .026407      .051465    .0067572
 2.4       .36981     .020783      .043185    .0053585
 2.5       .32539     .016431      .037901    .0042722
 2.6       .28611     .013058      .034055    .0034261
 2.7       .2507      .010499      .030765    .0027652
 2.8       .21882     .0085534     .027754    .0022497
 2.9       .1902      .0070486     .02494     .0018442
 3         .16475     .0058994     .022312    .0015259
 3.1       .14227     .0050227     .01987     .0012787
 3.2       .12246     .0043336     .017596    .0010879
 3.3       .1051      .003791      .015477   9.4004E-4
 3.4       .08991     .0033538     .013512   8.2391E-4
 3.5       .076563    .0029853     .011704   7.2909E-4
 3.6       .064884    .0026629     .010059   6.4854E-4
 3.7       .054834    .002379      .0085954  5.7858E-4
 3.8       .046316    .0021227     .0073256  5.1677E-4
 3.9       .039112    .0018906     .006238   4.6161E-4
 4         .032988    .0016794     .0053046  4.121E-4
 4.1       .027787    .001486      .0045089  3.6714E-4
 4.2       .023408    .0013094     .0038394  3.259E-4
 4.3       .019708    .0011491     .0032698  2.8827E-4
 4.4       .01653     .0010037     .0027723  2.5384E-4
 4.5       .013801   8.7331E-4     .0023396  2.2245E-4
 4.6       .011513   7.5777E-4     .0019714  1.9428E-4
 4.7       .0096287  6.58E-4       .0016595  1.6998E-4
 4.8       .0080284  5.7252E-4     .0013924  1.4918E-4
 4.9       .0066344  4.9992E-4     .001166   1.3154E-4
 5         .0054704  4.3783E-4    9.7796E-4  1.1661E-4
 5.1       .0045506  3.8978E-4    8.238E-4   1.0482E-4
 5.2       .0037917  3.5355E-4    6.921E-4   9.592E-5
 5.3       .0031151  3.1481E-4    5.7088E-4  8.6956E-5
 5.4       .0025514  3.0691E-4    4.6879E-4  8.3122E-5
 5.5       .0021672  2.8496E-4    4.0552E-4  7.4682E-5
 5.6       .001772   2.8296E-4    3.379E-4   7.9087E-5
 5.7       .0011183  2.5997E-4    2.1122E-4  6.7374E-5
 5.8      6.9692E-4  3.7031E-4    1.3255E-4  8.9617E-5
 5.9       .0010966  2.5065E-4    2.1636E-4  7.1428E-5
 6         .0013473  4.3915E-4    2.5404E-4  1.11E-4
 
QQ(J) =  1.8
4*PI*TOTINT(RHOQNP*Q(I)**2:Q(I))/(2*PI)**3 =  2.3994
4*PI*TOTINT(RHOQPP*Q(I)**2:Q(I))/(2*PI)**3 =  .78937
 
  Q(I)     RHOQNP     DRHOQNP     RHOQPP     DRHOQPP
 *****  ***********  *********  **********  *********
  .001  348.08       3.8979     89.305      1.1342
  .1    338.44       3.6711     87.149      1.0704
  .2    311.58       3.1769     81.11        .92341
  .3    272.7        2.6219     72.301       .75189
  .4    227.83       2.0806     62.037       .58694
  .5    182.04       1.6561     51.409       .45973
  .6    139.46       1.3127     41.297       .36233
  .7    103.35       1.0675     32.372       .29597
  .8     74.567       .87704    24.814       .24638
  .9     52.167       .71365    18.491       .2042
 1       35.458       .57222    13.365       .16584
 1.1     23.579       .44081     9.3806      .12912
 1.2     15.315       .33514     6.3781      .098668
 1.3      9.7479      .25215     4.2033      .074106
 1.4      6.1737      .19136     2.7073      .055667
 1.5      3.921       .14722     1.714       .04195
 1.6      2.4927      .11422     1.0667      .031834
 1.7      1.6019      .089424     .65564     .024325
 1.8      1.0558      .070449     .40126     .018738
 1.9       .7185      .055485     .24574     .014516
 2         .50794     .043559     .1516      .011278
 2.1       .37515     .034057     .095629    .0087762
 2.2       .29265     .026531     .06353     .0068291
 2.3       .2394      .020681     .04536     .0053345
 2.4       .19976     .016177     .034437    .0041936
 2.5       .16952     .012766     .027661    .003331
 2.6       .14693     .010192     .023458    .0026746
 2.7       .12866     .0082612    .020533    .0021739
 2.8       .11292     .00679      .01817     .0017853
 2.9       .099176    .0056535    .016123    .0014781
 3         .087127    .0047667    .014312    .0012349
 3.1       .076372    .0040655    .012673    .0010406
 3.2       .066494    .0034997    .011138   8.8651E-4
 3.3       .057458    .0030409    .0096938  7.6323E-4
 3.4       .049424    .0026669    .0083771  6.6361E-4
 3.5       .042369    .0023499    .0071994  5.8115E-4
 3.6       .036133    .0020782    .0061409  5.12E-4
 3.7       .030612    .0018415    .0051905  4.5276E-4
 3.8       .025807    .0016332    .0043592  4.0125E-4
 3.9       .021724    .0014448    .0036571  3.5583E-4
 4         .01829     .0012762    .0030763  3.1569E-4
 4.1       .015417    .0011243    .0025991  2.7967E-4
 4.2       .013027   9.8595E-4    .0022055  2.4691E-4
 4.3       .011007   8.6099E-4    .0018733  2.1704E-4
 4.4       .0092725  7.4902E-4    .0015885  1.8992E-4
 4.5       .0078134  6.4806E-4    .001349   1.6541E-4
 4.6       .0065916  5.5833E-4    .0011465  1.4375E-4
 4.7       .005519   4.8303E-4   9.6378E-4  1.2523E-4
 4.8       .0045562  4.1816E-4   7.9787E-4  1.0928E-4
 4.9       .0037733  3.656E-4    6.673E-4   9.6397E-5
 5         .0032281  3.1875E-4   5.8047E-4  8.4716E-5
 5.1       .0028018  2.8981E-4   5.0852E-4  7.7921E-5
 5.2       .0022892  2.537E-4    4.1693E-4  6.9175E-5
 5.3       .0017498  2.4228E-4   3.2492E-4  6.7102E-5
 5.4       .0014851  2.1895E-4   2.8638E-4  5.9916E-5
 5.5       .0014397  2.28E-4     2.7815E-4  6.2673E-5
 5.6       .0010809  2.0127E-4   1.9793E-4  5.6252E-5
 5.7      5.0612E-4  2.4825E-4   8.435E-5   6.591E-5
 5.8      6.3656E-4  2.33E-4     1.2687E-4  6.3594E-5
 5.9       .0012102  3.1829E-4   2.5337E-4  8.2712E-5
 6        7.2577E-4  2.7823E-4   1.4775E-4  7.7101E-5
 
QQ(J) =  2
4*PI*TOTINT(RHOQNP*Q(I)**2:Q(I))/(2*PI)**3 =  1.3267
4*PI*TOTINT(RHOQPP*Q(I)**2:Q(I))/(2*PI)**3 =  .46834
 
  Q(I)     RHOQNP     DRHOQNP     RHOQPP     DRHOQPP
 *****  ***********  *********  **********  *********
  .001  119.58       2.7968     28.754       .81627
  .1    117.52       2.5972     28.408       .76892
  .2    110.78       2.2806     27.267       .6751
  .3     99.538      1.9118     25.339       .56103
  .4     85.898      1.5592     22.954       .45194
  .5     71.899      1.2443     20.419       .35798
  .6     58.461       .99484    17.835       .28549
  .7     46.43        .80213    15.32        .23189
  .8     36.531       .65549    12.986       .19184
  .9     28.416       .53805    10.776       .15984
 1       21.6         .43576     8.6438      .13133
 1.1     16.085       .34796     6.6857      .10578
 1.2     11.737       .26879     4.9822      .081938
 1.3      8.3226      .20336     3.5643      .061906
 1.4      5.7517      .15315     2.4559      .046106
 1.5      3.9231      .11657     1.6458      .034481
 1.6      2.6468      .090277    1.0781      .026102
 1.7      1.7637      .070486     .6913      .019927
 1.8      1.169       .055413     .4363      .015342
 1.9       .77484     .043523     .27253     .011854
 2         .51743     .034056     .16941     .009156
 2.1       .35243     .026562     .1058      .0070734
 2.2       .24801     .0206       .067458    .0054546
 2.3       .18399     .015955     .045099    .0042115
 2.4       .14293     .012417     .031976    .0032737
 2.5       .11409     .0097394    .023885    .0025786
 2.6       .094424    .0077572    .018941    .0020659
 2.7       .080969    .0062932    .015892    .0016846
 2.8       .070635    .0051907    .013724    .0013945
 2.9       .062166    .0043374    .011988    .0011664
 3         .055155    .0036751    .010563   9.8463E-4
 3.1       .04905     .0031411    .0093351  8.3582E-4
 3.2       .043301    .002698     .0081836  7.1269E-4
 3.3       .037817    .0023286    .0070881  6.1012E-4
 3.4       .032807    .0020216    .0060922  5.2477E-4
 3.5       .02835     .0017602    .0052123  4.5271E-4
 3.6       .024326    .0015361    .0044288  3.9201E-4
 3.7       .020654    .0013449    .0037244  3.4113E-4
 3.8       .017398    .001181     .0031033  2.9822E-4
 3.9       .014632    .0010368    .002579   2.6168E-4
 4         .012336   9.0981E-4    .0021555  2.3014E-4
 4.1       .010435   7.9751E-4    .0018162  2.0251E-4
 4.2       .0088356  6.9782E-4    .0015355  1.7807E-4
 4.3       .0074645  6.0891E-4    .0012986  1.5603E-4
 4.4       .0063026  5.2957E-4    .0011018  1.3624E-4
 4.5       .0053562  4.5808E-4   9.4047E-4  1.1855E-4
 4.6       .0045789  3.957E-4    8.0326E-4  1.0316E-4
 4.7       .0038566  3.4176E-4   6.7418E-4  8.9866E-5
 4.8       .0031628  2.9726E-4   5.5247E-4  7.8793E-5
 4.9       .0026222  2.6133E-4   4.6297E-4  6.9388E-5
 5         .0022996  2.3017E-4   4.1655E-4  6.1578E-5
 5.1       .0020103  2.1038E-4   3.7004E-4  5.6656E-5
 5.2       .0015866  1.8714E-4   2.8943E-4  5.0837E-5
 5.3       .0012303  1.8251E-4   2.2649E-4  5.0658E-5
 5.4       .0011632  1.6293E-4   2.2494E-4  4.5229E-5
 5.5       .0010455  1.8301E-4   2.0225E-4  4.9677E-5
 5.6      6.072E-4   1.6932E-4   1.1023E-4  4.6646E-5
 5.7      4.4616E-4  1.8857E-4   8.4141E-5  5.1021E-5
 5.8      8.3088E-4  2.5258E-4   1.6945E-4  6.516E-5
 5.9      8.0559E-4  2.0941E-4   1.622E-4   5.2742E-5
 6        1.3248E-4  3.5316E-4   2.3579E-5  9.7308E-5
 
QQ(J) =  2.2
4*PI*TOTINT(RHOQNP*Q(I)**2:Q(I))/(2*PI)**3 =  .87382
4*PI*TOTINT(RHOQPP*Q(I)**2:Q(I))/(2*PI)**3 =  .3188
 
  Q(I)    RHOQNP     DRHOQNP     RHOQPP    DRHOQPP
 *****  **********  *********  *********  *********
  .001  44.153      1.9463     9.2596      .58453
  .1    43.701      1.8246     9.2813      .55288
  .2    42.062      1.5981     9.2773      .48671
  .3    38.936      1.3577     9.137       .41104
  .4    34.712      1.1151     8.8594      .33531
  .5    30.31        .89948    8.5375      .26865
  .6    26.279       .71811    8.1922      .21429
  .7    22.587       .57119    7.7582      .17141
  .8    19.385       .4643     7.2312      .14078
  .9    16.738       .37839    6.6109      .11654
 1      14.265       .31468    5.8388      .097989
 1.1    11.816       .25986    4.9294      .081434
 1.2     9.5051      .2088     3.9763      .065671
 1.3     7.3734      .16171    3.0595      .050711
 1.4     5.4795      .12172    2.2425      .03792
 1.5     3.9349      .092127   1.5769      .028173
 1.6     2.7627      .070273   1.0748      .021056
 1.7     1.8982      .054324    .71308     .015971
 1.8     1.2797      .042329    .46209     .01225
 1.9      .85279     .033164    .29442     .0094674
 2        .5657      .025968    .18568     .0073261
 2.1      .37766     .020292    .11682     .0056668
 2.2      .25519     .015805    .073898    .0043723
 2.3      .17713     .012288    .047816    .0033729
 2.4      .12906     .0095534   .032426    .0026084
 2.5      .097683    .0074891   .023092    .0020397
 2.6      .076489    .0059431   .017277    .0016209
 2.7      .06276     .0047939   .013733    .0013137
 2.8      .053288    .0039303   .011432    .0010849
 2.9      .046093    .0032695   .0097488  9.0949E-4
 3        .040551    .0027625   .0084634  7.7117E-4
 3.1      .036103    .0023581   .0074304  6.5783E-4
 3.2      .032182    .0020231   .0065188  5.623E-4
 3.3      .028477    .0017394   .0056715  4.8028E-4
 3.4      .024937    .0014995   .0048843  4.1011E-4
 3.5      .021617    .0012948   .0041691  3.5015E-4
 3.6      .018544    .0011189   .0035298  2.9921E-4
 3.7      .015753   9.6924E-4   .0029636  2.5641E-4
 3.8      .013306   8.4176E-4   .0024705  2.2074E-4
 3.9      .011224   7.3249E-4   .0020544  1.9113E-4
 4        .0094906  6.3848E-4   .0017162  1.6634E-4
 4.1      .0080482  5.5762E-4   .001444   1.4538E-4
 4.2      .0068174  4.8703E-4   .0012185  1.2722E-4
 4.3      .005763   4.2562E-4   .00103    1.1136E-4
 4.4      .0048776  3.7208E-4  8.7433E-4  9.751E-5
 4.5      .0041429  3.2451E-4  7.4404E-4  8.5239E-5
 4.6      .0035275  2.8261E-4  6.3033E-4  7.4647E-5
 4.7      .0029776  2.4652E-4  5.2738E-4  6.551E-5
 4.8      .002477   2.175E-4   4.3784E-4  5.7972E-5
 4.9      .0020793  1.9165E-4  3.7272E-4  5.1175E-5
 5        .001783   1.7288E-4  3.283E-4   4.6208E-5
 5.1      .0014749  1.5716E-4  2.7726E-4  4.1634E-5
 5.2      .0011607  1.4611E-4  2.1839E-4  3.9374E-5
 5.3      .001021   1.3153E-4  1.93E-4    3.6143E-5
 5.4     9.8738E-4  1.379E-4   1.8938E-4  3.6713E-5
 5.5     7.2574E-4  1.2316E-4  1.3753E-4  3.3977E-5
 5.6     4.2773E-4  1.4661E-4  8.0825E-5  3.8077E-5
 5.7     5.5386E-4  1.5303E-4  1.1611E-4  4.2029E-5
 5.8     6.2658E-4  1.79E-4    1.3763E-4  4.2243E-5
 5.9     1.7244E-4  2.3787E-4  3.9756E-5  6.5898E-5
 6       6.8883E-5  2.0074E-4  1.0197E-5  4.7738E-5
 
QQ(J) =  2.4
4*PI*TOTINT(RHOQNP*Q(I)**2:Q(I))/(2*PI)**3 =  .64951
4*PI*TOTINT(RHOQPP*Q(I)**2:Q(I))/(2*PI)**3 =  .23763
 
  Q(I)    RHOQNP     DRHOQNP     RHOQPP    DRHOQPP
 *****  **********  *********  *********  *********
  .001  18.532      1.2898     3.2723      .40255
  .1    18.336      1.2383     3.3141      .38667
  .2    17.79       1.1065     3.4376      .34538
  .3    16.897       .94357    3.6103      .29368
  .4    15.617       .78266    3.7774      .24224
  .5    14.192       .63536    3.9352      .19579
  .6    13.036       .50714    4.1089      .15585
  .7    12.147       .40374    4.2494      .12409
  .8    11.305       .32024    4.285       .099388
  .9    10.548       .26074    4.206       .08203
 1       9.795       .21514    3.996       .068626
 1.1     8.828       .18304    3.6257      .058771
 1.2     7.641       .1552     3.124       .04979
 1.3     6.3428      .12558    2.5576      .040195
 1.4     5.0199      .097224   1.987       .030896
 1.5     3.7845      .072975   1.4672      .022954
 1.6     2.7489      .054864   1.0392      .016971
 1.7     1.9424      .041547    .71245     .012619
 1.8     1.3407      .03189     .4752      .0095447
 1.9      .91043     .02478     .3102      .0073455
 2        .61089     .019475    .19926     .0057316
 2.1      .40752     .015403    .12675     .0044945
 2.2      .27345     .012202    .080627    .0035274
 2.3      .18555     .0096217   .051771    .0027578
 2.4      .12941     .0076071   .034118    .0021591
 2.5      .094001    .0060182   .02346     .001693
 2.6      .070271    .0047938   .016807    .0013398
 2.7      .054259    .0038537   .012588    .0010748
 2.8      .043917    .0031302   .0099587  8.7629E-4
 2.9      .037077    .0025722   .008252   7.2637E-4
 3        .03216     .0021419   .0070283  6.1047E-4
 3.1      .028367    .0018064   .0060853  5.1816E-4
 3.2      .025236    .0015389   .005318   4.4209E-4
 3.3      .022382    .0013185   .0046368  3.7759E-4
 3.4      .019637    .0011333   .0039997  3.223E-4
 3.5      .017033   9.7754E-4   .0034144  2.7508E-4
 3.6      .014644   8.4514E-4   .0028926  2.3491E-4
 3.7      .012504   7.3217E-4   .0024342  2.0073E-4
 3.8      .01061    6.3502E-4   .0020367  1.7186E-4
 3.9      .0089638  5.5172E-4   .0016998  1.4781E-4
 4        .007571   4.8016E-4   .0014207  1.2775E-4
 4.1      .0064029  4.1877E-4   .001192   1.1103E-4
 4.2      .0054133  3.661E-4    .0010044  9.6939E-5
 4.3      .0045782  3.2124E-4  8.4886E-4  8.4902E-5
 4.4      .0038804  2.8272E-4  7.1933E-4  7.4567E-5
 4.5      .0032853  2.4921E-4  6.0966E-4  6.5621E-5
 4.6      .0027554  2.1983E-4  5.1157E-4  5.7893E-5
 4.7      .0022957  1.9448E-4  4.2467E-4  5.1361E-5
