AV18+UX
4He Total momentum distributions for all r     28 May 2022

    pair NNS momentum distribution calculated for
     101 q values from 0.001 to 10.000 fm-1 and
      26 Q values from 0.001 to  5.000 fm-1
    for pairs   1 to   6
    using  64 gauss points in r out to 16.00 fm
    using  32 gauss points in R out to  8.00 fm
    with Euler angle sampling
    integrated over all q.Q
    with partitions r <=  2.50 fm & r >  2.50

    total of     100000 samples in blocks of    100000

QQ(J) =  .001
4*PI*TOTINT(RHOQNP*Q(I)**2:Q(I))/(2*PI)**3 =  512.06
4*PI*TOTINT(RHOQPP*Q(I)**2:Q(I))/(2*PI)**3 =  104.39
 
  Q(I)      RHOQNP        DRHOQNP        RHOQPP       DRHOQPP
 2.1        49.64         1.0114          .70446       .20357
 2.2        42.469         .83445         .84464       .16632
 2.3        36.45          .67028         .95463       .13283
 2.4        31.301         .5466         1.0213        .10733
 2.5        26.866         .44355        1.0518        .086944
 2.6        23.06          .35302        1.057         .069859
 2.7        19.831         .28493        1.0467        .05654
 2.8        17.113         .23222        1.0246        .045942
 2.9        14.795         .18755         .98775       .0374
 3          12.764         .15367         .93142       .030762
 3.1        10.958         .12943         .85867       .025784
 3.2         9.3698        .1097          .77845       .021857
 3.3         7.9962        .09448         .69921       .018884
 3.4         6.8213        .083645        .62531       .016648
 3.5         5.8151        .075162        .55652       .014888
 3.6         4.9471        .067984        .49117       .013405
 3.7         4.1956        .061811        .42979       .012122
 3.8         3.5508        .056141        .37485       .01094
 3.9         2.9976        .050892        .32626       .0098726
 4           2.5211        .045914        .28229       .0088582
 4.1         2.1107        .041275        .24232       .0079824
 4.2         1.7638        .036604        .20719       .0070194
 4.3         1.4693        .03244         .17611       .0062188
 4.4         1.2194        .02868         .1486        .0055218
 4.5         1.0093        .024852        .12535       .0047556
 4.6          .83776       .021323        .10694       .0040268
 4.7          .69469       .018605        .091322      .0036107
 4.8          .57323       .015994        .076801      .0031617
 4.9          .46746       .013497        .063152      .0026723
 5            .37956       .011414        .051738      .0022795
 5.1          .31089       .010101        .043228      .0020922
 5.2          .26015       .0092013       .037152      .0019953
 5.3          .21225       .0082065       .031036      .0019143
 5.4          .16128       .010211        .023897      .0022928
 5.5          .11693       .0093014       .017302      .0019789
 5.6          .09312       .012234        .013346      .0029238
 5.7          .08514       .01251         .011774      .0027145
 5.8          .083421      .019518        .011947      .0039649
 5.9          .070193      .017696        .011102      .0041901
 6            .028823      .020527        .0049639     .0045972
 
QQ(J) =  .2
4*PI*TOTINT(RHOQNP*Q(I)**2:Q(I))/(2*PI)**3 =  460.58
4*PI*TOTINT(RHOQPP*Q(I)**2:Q(I))/(2*PI)**3 =  95.04
 
  Q(I)      RHOQNP       DRHOQNP        RHOQPP       DRHOQPP
 *****  *************  ***********  *************  ***********
  .001  228757         913.22       50805          245.19
  .1    214109         757.31       47544          206.34
  .2    176600         505.79       39177          138.87
  .3    130263         317.26       28821           86.349
  .4     87479         186.45       19261           50.028
  .5     54483         107.78       11909           28.334
  .6     32035          62.729       6932           16.148
  .7     18061          36.935       3855            9.3206
  .8      9893.4        21.721       2072.4          5.3807
  .9      5328.3        12.64        1086.3          3.0707
 1        2850.8         7.4255       557.88         1.7819
 1.1      1532.2         4.7085       281.18         1.1327
 1.2       838.21        3.4279       138.87          .83613
 1.3       473.88        2.8454        66.723         .69819
 1.4       282.05        2.5649        30.756         .61831
 1.5       180.06        2.3065        13.268         .54069
 1.6       124.91        2.0114         5.1646        .46136
 1.7        94.274       1.7486         1.7994        .3925
 1.8        75.977       1.5129          .67973       .33171
 1.9        63.509       1.2802          .46591       .27585
 2          53.87        1.0664          .53667       .22685
 2.1        45.974        .89366         .67287       .18788
 2.2        39.393        .73518         .80602       .15326
 2.3        33.827        .59163         .90635       .12265
 2.4        29.049        .48054         .96529       .098909
 2.5        24.937        .38914         .99159       .07994
 2.6        21.413        .31134         .99559       .0644
 2.7        18.421        .25198         .9849        .052175
 2.8        15.894        .20552         .96258       .042374
 2.9        13.735        .16728         .92618       .03456
 3          11.843        .13811         .8724        .028491
 3.1        10.167        .11685         .80426       .0239
 3.2         8.6957       .099742        .72965       .020307
 3.3         7.4235       .086469        .6559        .017586
 3.4         6.3338       .076731        .58679       .015523
 3.5         5.3994       .068958        .52221       .013891
 3.6         4.5928       .062284        .46085       .012507
 3.7         3.895        .05646         .40333       .011305
 3.8         3.2962       .051095        .35181       .01019
 3.9         2.7826       .046123        .30616       .009181
 4           2.3398       .041446        .26479       .0082304
 4.1         1.959        .037095        .22726       .0073948
 4.2         1.637        .032794        .19429       .0065039
 4.3         1.364        .028958        .16522       .0057513
 4.4         1.1322       .025473        .13947       .0050859
 4.5          .93713      .022026        .11764       .0043828
 4.6          .77728      .018868        .1002        .003715
 4.7          .6443       .016384        .085481      .0033101
 4.8          .53154      .014075        .071895      .002897
 4.9          .4339       .011861        .059235      .0024505
 5            .35248      .009997        .048589      .0020814
 5.1          .28855      .0088019       .040565      .0018943
 5.2          .2405       .0079506       .034706      .0017925
 5.3          .19602      .0071044       .02895       .0017046
 5.4          .14993      .0085929       .022441      .001994
 5.5          .11039      .0075512       .016516      .0016835
 5.6          .087718     .010289        .012756      .0025105
 5.7          .077715     .010085        .010901      .0022649
 5.8          .073529     .015717        .010627      .0033185
 5.9          .062546     .014476        .0099613     .0035102
 6            .02953      .016853        .0050286     .0038986
 
QQ(J) =  .3
4*PI*TOTINT(RHOQNP*Q(I)**2:Q(I))/(2*PI)**3 =  404.63
4*PI*TOTINT(RHOQPP*Q(I)**2:Q(I))/(2*PI)**3 =  84.691
 
  Q(I)      RHOQNP       DRHOQNP        RHOQPP       DRHOQPP
 *****  *************  ***********  *************  ***********
  .001  195319         666.27       43937          184.25
  .1    183181         571.95       41199          160.08
  .2    151881         403          34125          113.65
  .3    112798         259.79       25278           72.631
  .4     76303         156.28       17021           43.057
  .5     47858          91.942      10602           24.835
  .6     28317          54.198       6213.1         14.357
  .7     16047          32.15        3476.1          8.3602
  .8      8824.4        18.982       1878.3          4.849
  .9      4763.7        11.073        988.65         2.7752
 1        2550.7         6.5145       509.48         1.6099
 1.1      1369.6         4.1016       257.51         1.0164
 1.2       747.11        2.9675       127.46          .74747
 1.3       420.59        2.4638        61.372         .62532
 1.4       249.12        2.197         28.372         .55097
 1.5       158.35        1.9614        12.304         .48092
 1.6       109.52        1.7138         4.8418        .41137
 1.7        82.494       1.4832         1.7135        .34919
 1.8        66.451       1.2714          .64764       .29367
 1.9        55.626       1.0725          .43069       .24421
 2          47.33         .89267         .49307       .20108
 2.1        40.535        .74124         .62195       .16566
 2.2        34.819        .60712         .74419       .13477
 2.3        29.928        .48945         .83105       .10813
 2.4        25.707        .39554         .87936       .086958
 2.5        22.075        .31932         .89996       .070097
 2.6        18.968        .25706         .90213       .056633
 2.7        16.326        .20893         .891         .045947
 2.8        14.084        .17084         .86853       .037311
 2.9        12.161        .14045         .83329       .030507
 3          10.479        .11728         .78359       .02521
 3.1         8.9947       .099812        .72237       .021164
 3.2         7.6957       .08598         .65602       .018046
 3.3         6.5728       .075188        .59037       .015676
 3.4         5.6093       .066906        .52843       .013861
 3.5         4.7816       .060134        .47024       .01241
 3.6         4.0665       .054229        .41492       .011177
 3.7         3.4483       .048964        .36322       .010089
 3.8         2.918        .044109        .31687       .0090855
 3.9         2.4631       .039618        .2757        .0081728
 4           2.0708       .035414        .23832       .007316
 4.1         1.7338       .031505        .20447       .006549
 4.2         1.4487       .027742        .17479       .0057612
 4.3         1.2077       .024364        .14873       .0050814
 4.4         1.0026       .021291        .12562       .0044692
 4.5          .82982      .018352        .10593       .0038536
 4.6          .68762      .015674        .09004       .003271
 4.7          .5697       .013528        .076693      .0028914
 4.8          .46987      .011591        .064512      .0025261
 4.9          .38401      .0097418       .053292      .0021395
 5            .31216      .0081845       .043791      .001809
 5.1          .25534      .0071294       .036518      .0016232
 5.2          .21164      .0063691       .031043      .0015183
 5.3          .17217      .0056776       .025827      .0014212
 5.4          .13296      .0065142       .020214      .0015975
 5.5          .10009      .0054148       .015232      .0013085
 5.6          .079376     .0077396       .011802      .0019587
 5.7          .067067     .0070061       .0096167     .001677
 5.8          .059944     .010995        .0087896     .0024963
 5.9          .05201      .0103          .0083799     .0026028
 6            .029888     .01224         .005043      .0029915
 
QQ(J) =  .4
4*PI*TOTINT(RHOQNP*Q(I)**2:Q(I))/(2*PI)**3 =  339.23
4*PI*TOTINT(RHOQPP*Q(I)**2:Q(I))/(2*PI)**3 =  72.325
 
  Q(I)      RHOQNP       DRHOQNP        RHOQPP       DRHOQPP
 *****  *************  ***********  *************  ***********
  .001  157652         453.01       36047          129.63
  .1    148229         404.19       33885          116.43
  .2    123723         301.82       28254           87.354
  .3     92710         201.37       21119           57.833
  .4     63328         124.76       14363           35.31
  .5     40099          75.121       9036.3         20.854
  .6     23928          45.068       5345.1         12.276
  .7     13657          27.019       3015.3          7.2302
  .8      7550.3        16.043       1640.8          4.2177
  .9      4089.4         9.3903       868.66         2.4229
 1        2192.5         5.5305       449.82         1.4071
 1.1      1176.1         3.4669       228.27          .88453
 1.2       639.2         2.4964       113.35          .64875
 1.3       357.8         2.065         54.749         .54236
 1.4       210.5         1.8216        25.412         .47538
 1.5       132.97        1.6138        11.098         .41386
 1.6        91.553       1.4084         4.4284        .35411
 1.7        68.779       1.2113         1.6004        .29957
 1.8        55.369       1.0286          .60845       .25073
