Argonne v18 + Urbana X
12C Total momentum distributions for all r     18 May 2021

QQ(J) =  .001
4*PI*TOTINT(RHOQNP*Q(I)**2:Q(I))/(2*PI)**3 =  1569.9
4*PI*TOTINT(RHOQPP*Q(I)**2:Q(I))/(2*PI)**3 =  603.87
 
  Q(I)     RHOQNP       DRHOQNP       RHOQPP       DRHOQPP
 *****  ************  ***********  ************  ***********
  .001  196447        3631.4       42417         2096.2
  .1    200362        3350.8       50921         1905.8
  .2    208526        2643.1       70097         1433.5
  .3    211908        1802.9       86311          897.01
  .4    201324        1091.2       89224          484.7
  .5    173758         626.52      77778          264.46
  .6    134461         382.37      58151          173.02
  .7     93111         257.83      37938          118.7
  .8     57991         177.31      21949           76.249
  .9     32802         117.91      11441           47.445
 1       17078          76.316      5461.5         30.388
 1.1      8332.6        49.601      2429           20.473
 1.2      3904.7        33.637      1023.6         14.516
 1.3      1818.4        24.687       414.4         10.565
 1.4       879.66       19.586       162.21         7.7099
 1.5       463.24       16.088        60.889        5.7552
 1.6       275.52       13.292        21.258        4.4615
 1.7       188.86       11.08          6.7757       3.5128
 1.8       148.88        9.3528        2.7383       2.7895
 1.9       130.33        7.9136        2.867        2.2607
 2         119.71        6.6536        4.1587       1.855
 2.1       110.03        5.5595        5.2117       1.5156
 2.2        98.849       4.6178        5.6078       1.2334
 2.3        86.52        3.8191        5.4457       1.0092
 2.4        74.308       3.1681        4.9602        .83351
 2.5        63.267       2.6339        4.3429        .68975
 2.6        53.853       2.1629        3.7224        .5651
 2.7        46.001       1.7459        3.1755        .45815
 2.8        39.377       1.4089        2.727         .37207
 2.9        33.643       1.1542        2.3614        .30497
 3          28.602        .95689       2.0511        .25191
 3.1        24.2          .79853       1.7793        .20937
 3.2        20.437        .67258       1.5434        .17496
 3.3        17.28         .57204       1.3442        .14668
 3.4        14.648        .48999       1.177         .12343
 3.5        12.43         .42272       1.0322        .10494
 3.6        10.529        .3675         .90164       .09073
 3.7         8.8859       .32101        .78217       .079756
 3.8         7.4715       .28075        .67409       .070913
 3.9         6.2668       .24565        .57833       .063505
 4           5.2531       .21507        .49558       .057086
 4.1         4.4073       .18799        .42597       .051256
 4.2         3.7015       .16397        .36814       .04585
 4.3         3.1046       .14347        .31857       .040979
 4.4         2.5901       .12581        .27352       .036522
 4.5         2.1418       .10959        .23135       .032259
 4.6         1.7541       .095369       .19287       .028583
 4.7         1.4246       .084321       .15926       .025899
 4.8         1.1504       .074683       .13081       .0236
 4.9          .92831      .064389       .10749       .020978
 5            .75534      .055064       .089764      .018454
 5.1          .62537      .048967       .077442      .016831
 5.2          .52549      .045154       .067862      .015949
 5.3          .43578      .041726       .056477      .015047
 5.4          .34114      .038113       .041599      .013953
 5.5          .24712      .035196       .028496      .012838
 5.6          .18052      .034668       .024953      .012131
 5.7          .15934      .034734       .029453      .012429
 5.8          .1681       .033844       .029639      .01228
 5.9          .17768      .043005       .019606      .013245
 6            .18058      .051683       .012331      .016078
 
QQ(J) =  .1
4*PI*TOTINT(RHOQNP*Q(I)**2:Q(I))/(2*PI)**3 =  1545.4
4*PI*TOTINT(RHOQPP*Q(I)**2:Q(I))/(2*PI)**3 =  596.55
 
  Q(I)     RHOQNP       DRHOQNP       RHOQPP       DRHOQPP
 *****  ************  ***********  ************  ***********
  .001  195997        3538         42486         2054
  .1    199584        3265.1       50813         1867.7
  .2    206958        2577.3       69584         1404.9
  .3    209544        1759.2       85422          879.05
  .4    198552        1065.6       88180          474.98
  .5    171096         611.84      76818          259.38
  .6    132296         373.29      57418          170
  .7     91582         251.81      37458          116.71
  .8     57037         173.32      21673           74.945
  .9     32264         115.35      11298           46.608
 1       16798          74.694      5394.3         29.851
 1.1      8194.6        48.552      2399.4         20.123
 1.2      3837.5        32.926      1011           14.285
 1.3      1784.6        24.163       409.09        10.405
 1.4       861.22       19.16        159.97         7.5889
 1.5       452.2        15.73         59.962        5.6601
 1.6       268.29       12.99         20.908        4.3859
 1.7       183.71       10.822         6.6797       3.4522
 1.8       144.88        9.1339        2.7311       2.7399
 1.9       126.95        7.7282        2.8615       2.2199
 2         116.71        6.499         4.1217       1.8214
 2.1       107.35        5.43          5.1445       1.4877
 2.2        96.491       4.51          5.5252       1.2102
 2.3        84.485       3.7301        5.3613        .99013
 2.4        72.577       3.0941        4.8813        .81758
 2.5        61.799       2.5717        4.2723        .67635
 2.6        52.603       2.111         3.6601        .55396
 2.7        44.929       1.7036        3.1205        .44906
 2.8        38.455       1.3744        2.6782        .36462
 2.9        32.853       1.1256        2.3181        .29882
 3          27.93         .93301       2.0132        .24683
 3.1        23.633        .77874       1.7466        .20516
 3.2        19.959        .65585       1.5154        .17147
 3.3        16.878        .55785       1.32          .14375
 3.4        14.308        .47785       1.1558        .12097
 3.5        12.141        .41236       1.0135        .10285
 3.6        10.285        .35858        .8852        .088931
 3.7         8.6802       .31337        .76784       .078198
 3.8         7.2987       .27416        .66165       .069552
 3.9         6.1218       .23992        .56756       .062304
 4           5.1315       .21009        .48625       .05602
 4.1         4.3053       .18367        .41787       .050303
 4.2         3.6157       .16023        .36107       .044998
 4.3         3.0326       .1402         .31241       .040211
 4.4         2.5299       .12294        .26818       .035827
 4.5         2.0917       .10709        .22677       .03164
 4.6         1.7128       .093188       .18896       .028031
 4.7         1.3906       .082385       .15594       .025393
 4.8         1.1227       .072961       .12803       .023136
 4.9          .90591      .062911       .10521       .02057
 5            .73724      .053808       .087902      .018101
 5.1          .61047      .047841       .075845      .016511
 5.2          .51284      .044111       .066424      .015644
 5.3          .42507      .040762       .055243      .014759
 5.4          .33268      .037233       .040696      .013685
 5.5          .24117      .034357       .027922      .01259
 5.6          .17642      .033792       .024465      .011891
 5.7          .15561      .033859       .028834      .012177
 5.8          .16371      .033016       .028999      .012025
 5.9          .17285      .041809       .019187      .012955
 6            .17592      .050143       .01197       .015709
 
QQ(J) =  .2
4*PI*TOTINT(RHOQNP*Q(I)**2:Q(I))/(2*PI)**3 =  1475.3
4*PI*TOTINT(RHOQPP*Q(I)**2:Q(I))/(2*PI)**3 =  575.28
 
  Q(I)     RHOQNP       DRHOQNP       RHOQPP       DRHOQPP
 *****  ************  ***********  ************  ***********
  .001  194961        3273.9       42715         1933.8
