# 10B(3+) -- AV18+UX -- 07-Sep-20

#    nucleon  momentum distribution calculated
#    for 101 q values from 0.001 to 10.000 fm-1
#    using 250 gauss points in r out to 25.00 fm
#    with Euler angle sampling of particles inside r = 50.00 fm

#    total of      16000 samples in blocks of      1000

# K = momentum in 1/fm
# RHOKP = proton momentum distribution in fm**3
# DRHOKP = Monte Carlo error bar (1 sigma)

# Normalization
# 4*PI*TOTINT(RHOKP*K**2:K)/(2*PI)**3 =  4.9999

# number above K = 1.4 fm**-1
# 4*PI*TOTINT(RHOKP(I)*K(I)**2:K(I))/(2*PI)**3 =  .65861

# Kinetic energy
# .5*(HC**2/MN)*4*PI*TOTINT(RHOKN*K**4:K)/(2*PI)**3 =  152.11
# .5*(HC**2/MP)*4*PI*TOTINT(RHOKP*K**4:K)/(2*PI)**3 =  152.32
#                                                   =  304.43

# Kinetic energy above K =  1.4 fm**-1
# .5*(HC**2/MN)*4*PI*TOTINT(RHOKN(I)*K(I)**4:K(I))/(2*PI)**3 =  91.685
# .5*(HC**2/MP)*4*PI*TOTINT(RHOKP(I)*K(I)**4:K(I))/(2*PI)**3 =  91.812
#                                                            = 183.5
 
#    K       RHOKP       DRHOKP
# ******  ***********  *********
   .001  316.61       2.5942
   .1    329.07       2.4492
   .2    356.61       2.0619
   .3    377.93       1.5548
   .4    375.85       1.0708
   .5    345.75        .70806
   .6    294.13        .49332
   .7    232.64        .38052
   .8    172.33        .30301
   .9    120.49        .23095
  1       80.159       .16369
  1.1     51.156       .10772
  1.2     31.6         .068367
  1.3     19.094       .048576
  1.4     11.437       .044709
  1.5      6.9126      .046408
  1.6      4.3071      .047423
  1.7      2.8283      .046416
  1.8      1.9886      .043639
  1.9      1.5014      .039599
  2        1.2052      .034763
  2.1      1.0126      .029575
  2.2       .87693     .02447
  2.3       .77259     .019825
  2.4       .68631     .015881
  2.5       .61156     .0127
  2.6       .54496     .010195
  2.7       .48457     .0082188
  2.8       .42957     .0066508
  2.9       .37976     .0054188
  3         .33496     .004475
  3.1       .2948      .0037671
  3.2       .25882     .003233
  3.3       .22655     .0028157
  3.4       .19765     .0024752
  3.5       .17187     .0021884
  3.6       .14901     .0019421
  3.7       .12889     .0017284
  3.8       .11125     .0015422
  3.9       .095818    .0013794
  4         .08235     .0012367
  4.1       .070611    .0011104
  4.2       .060389   9.9704E-4
  4.3       .051497   8.9348E-4
  4.4       .043783   7.9735E-4
  4.5       .037118   7.0729E-4
  4.6       .031387   6.229E-4
  4.7       .026477   5.4448E-4
  4.8       .022288   4.7242E-4
  4.9       .018719   4.0676E-4
  5         .015675   3.4711E-4
  5.1       .01307    2.9297E-4
  5.2       .01084    2.4413E-4
  5.3       .0089409  2.0061E-4
  5.4       .007336   1.6251E-4
  5.5       .0059905  1.2986E-4
  5.6       .0048709  1.0255E-4
  5.7       .0039463  8.038E-5
  5.8       .0031874  6.2992E-5
  5.9       .0025666  4.9906E-5
  6         .0020598  4.0526E-5
  6.1       .0016474  3.4192E-5
  6.2       .0013125  3.0213E-5
  6.3       .0010408  2.7892E-5
  6.4      8.2137E-4  2.6564E-5
  6.5      6.4505E-4  2.5675E-5
  6.6      5.0391E-4  2.4843E-5
  6.7      3.9132E-4  2.3857E-5
  6.8      3.0233E-4  2.2647E-5
  6.9      2.3292E-4  2.1231E-5
  7        1.7927E-4  1.9668E-5
  7.1      1.3808E-4  1.8022E-5
  7.2      1.0664E-4  1.6348E-5
  7.3      8.2638E-5  1.4689E-5
  7.4      6.4147E-5  1.3071E-5
  7.5      4.9957E-5  1.1511E-5
  7.6      3.9379E-5  1.0026E-5
  7.7      3.17E-5    8.6367E-6
  7.8      2.6149E-5  7.3695E-6
  7.9      2.2223E-5  6.2544E-6
  8        1.9618E-5  5.3084E-6
  8.1      1.7945E-5  4.5208E-6
  8.2      1.6815E-5  3.8502E-6
  8.3      1.6019E-5  3.244E-6
  8.4      1.5389E-5  2.6679E-6
  8.5      1.4702E-5  2.1337E-6
  8.6      1.3876E-5  1.7039E-6
  8.7      1.3041E-5  1.4688E-6
  8.8      1.2287E-5  1.4494E-6
  8.9      1.159E-5   1.5315E-6
  9        1.1009E-5  1.5774E-6
  9.1      1.0676E-5  1.5163E-6
  9.2      1.057E-5   1.3448E-6
  9.3      1.0534E-5  1.1191E-6
  9.4      1.0505E-5  9.559E-7
  9.5      1.0487E-5  9.7107E-7
  9.6      1.0377E-5  1.1224E-6
  9.7      1.0015E-5  1.2669E-6
  9.8      9.3302E-6  1.3102E-6
  9.9      8.3088E-6  1.2178E-6
 10        6.9728E-6  1.0062E-6
