# 40Ca(0+) -- AV18+UIX -- 16-Mar-17

# CVMC  8M samples using 200 gauss points in r out to 20.00 fm

# K = momentum in 1/fm
# RHOKP = proton momentum distribution in fm**3
# DRHOKP = Monte Carlo error bar (1 sigma)

# Normalization
# 4*PI*TOTINT(RHOKP*K**2:K)/(2*PI)**3 = 20
# 4*PI*TOTINT(DRHOKP*K**2:K)/(2*PI)**3 =  .17568

# number above K =  2 fm**-1
# 4*PI*TOTINT(RHOKP(I)*K(I)**2:K(I))/(2*PI)**3 =  1.453
# 4*PI*TOTINT(DRHOKP(I)*K(I)**2:K(I))/(2*PI)**3 =  .089762

# Kinetic energy
# HSQON2M*4*PI*TOTINT((RHOKP+RHOKN)*K**4:K)/(2*PI)**3 = 1212.6
# HSQON2M*4*PI*TOTINT((DRHOKP+DRHOKN)*K**4:K)/(2*PI)**3 =  64.126

# Kinetic energy above K =  2 fm**-1
# HSQON2M*4*PI*TOTINT((RHOKP(I)+RHOKN(I))*K(I)**4:K(I))/(2*PI)**3 =  628.72
# HSQON2M*4*PI*TOTINT((DRHOKP(I)+DRHOKN(I))*K(I)**4:K(I))/(2*PI)**3 =  58.416
 
#   K       RHOKP        DRHOKP
# *****   **********   **********
 0.000   0.2085E+04   0.1700E+02
 0.100   0.1963E+04   0.1451E+02
 0.200   0.1683E+04   0.9696E+01
 0.300   0.1416E+04   0.6691E+01
 0.400   0.1259E+04   0.5063E+01
 0.500   0.1189E+04   0.3676E+01
 0.600   0.1119E+04   0.2673E+01
 0.700   0.9846E+03   0.1866E+01
 0.800   0.7883E+03   0.1390E+01
 0.900   0.5699E+03   0.8858E+00
 1.000   0.3731E+03   0.7571E+00
 1.100   0.2223E+03   0.6141E+00
 1.200   0.1214E+03   0.6129E+00
 1.300   0.6141E+02   0.5958E+00
 1.400   0.2976E+02   0.5752E+00
 1.500   0.1483E+02   0.5337E+00
 1.600   0.8567E+01   0.4766E+00
 1.700   0.6265E+01   0.4124E+00
 1.800   0.5409E+01   0.3441E+00
 1.900   0.4904E+01   0.2706E+00
 2.000   0.4453E+01   0.1947E+00
 2.100   0.4009E+01   0.1310E+00
 2.200   0.3586E+01   0.1023E+00
 2.300   0.3215E+01   0.1293E+00
 2.400   0.2867E+01   0.1666E+00
 2.500   0.2524E+01   0.1822E+00
 2.600   0.2216E+01   0.1704E+00
 2.700   0.1954E+01   0.1383E+00
 2.800   0.1741E+01   0.1002E+00
 2.900   0.1583E+01   0.7323E-01
 3.000   0.1436E+01   0.6634E-01
 3.100   0.1264E+01   0.6351E-01
 3.200   0.1087E+01   0.5590E-01
 3.300   0.9183E+00   0.4436E-01
 3.400   0.7568E+00   0.3702E-01
 3.500   0.6298E+00   0.3683E-01
 3.600   0.5495E+00   0.3754E-01
 3.700   0.4934E+00   0.3342E-01
 3.800   0.4503E+00   0.2555E-01
 3.900   0.4162E+00   0.1880E-01
 4.000   0.3759E+00   0.1633E-01
 4.100   0.3297E+00   0.1663E-01
 4.200   0.2859E+00   0.1702E-01
 4.300   0.2392E+00   0.1626E-01
 4.400   0.1933E+00   0.1415E-01
 4.500   0.1580E+00   0.1114E-01
 4.600   0.1272E+00   0.8687E-02
 4.700   0.9978E-01   0.7695E-02
 4.800   0.8344E-01   0.7983E-02
 4.900   0.7183E-01   0.8198E-02
 5.000   0.5860E-01   0.7436E-02
 5.100   0.4916E-01   0.5778E-02
 5.200   0.4262E-01   0.4165E-02
 5.300   0.3568E-01   0.3940E-02
 5.400   0.3291E-01   0.4322E-02
 5.500   0.3269E-01   0.4510E-02
 5.600   0.2714E-01   0.3627E-02
 5.700   0.2077E-01   0.2976E-02
 5.800   0.1757E-01   0.2216E-02
 5.900   0.1138E-01   0.2121E-02
 6.000   0.6636E-02   0.2212E-02
 6.100   0.5783E-02   0.2160E-02
 6.200   0.4821E-02   0.1967E-02
 6.300   0.3671E-02   0.1699E-02
 6.400   0.4093E-02   0.1479E-02
 6.500   0.3241E-02   0.1171E-02
 6.600   0.2346E-02   0.1170E-02
 6.700   0.1419E-02   0.1259E-02
 6.800   0.1301E-02   0.1249E-02
 6.900   0.3352E-02   0.1292E-02
 7.000   0.2994E-02   0.9131E-03
 7.100   0.3088E-02   0.9835E-03
 7.200   0.1073E-02   0.8472E-03
 7.300   0.5943E-03   0.9004E-03
 7.400   0.9388E-03   0.8998E-03
 7.500  -0.1769E-03   0.7043E-03
 7.600  -0.5106E-03   0.5831E-03
 7.700   0.1160E-03   0.6208E-03
 7.800  -0.4602E-03   0.6473E-03
 7.900  -0.4111E-03   0.6590E-03
 8.000   0.5747E-03   0.6231E-03
 8.100   0.8751E-03   0.4227E-03
 8.200  -0.2183E-05   0.4681E-03
 8.300   0.6366E-03   0.5043E-03
 8.400   0.2212E-03   0.4649E-03
 8.500  -0.4324E-03   0.5070E-03
 8.600   0.1180E-02   0.3757E-03
 8.700  -0.9387E-05   0.3270E-03
 8.800  -0.4909E-03   0.4106E-03
 8.900   0.1382E-03   0.3494E-03
 9.000   0.3300E-03   0.3455E-03
 9.100  -0.1652E-03   0.3160E-03
 9.200   0.2594E-04   0.1623E-03
 9.300   0.2675E-03   0.2746E-03
 9.400  -0.3194E-03   0.3009E-03
 9.500  -0.2101E-03   0.2520E-03
 9.600   0.3037E-03   0.2981E-03
 9.700  -0.9042E-04   0.2028E-03
 9.800   0.1075E-03   0.1530E-03
 9.900   0.1095E-02   0.2360E-03
10.000   0.1569E-03   0.1622E-03
