# 11B(3/2-) -- AV18+UX -- 06-Aug-21

#    nucleon  momentum distribution calculated
#    for 101 q values from 0.001 to 10.000 fm-1
#    using 200 gauss points in r out to 20.00 fm
#    with Euler angle sampling of particles inside r = 50.00 fm

#    total of       5000 samples in blocks of       500

# K = momentum in 1/fm
# RHOKN = neutron momentum distribution in fm**3
# DRHOKN = Monte Carlo error bar (1 sigma)
# RHOKP = proton momentum distribution in fm**3
# DRHOKP = Monte Carlo error bar (1 sigma)

# Normalization
# 4*PI*TOTINT(RHOKN*K**2:K)/(2*PI)**3 =  5.9999
# 4*PI*TOTINT(RHOKP*K**2:K)/(2*PI)**3 =  4.9999

# number above K = 1.4 fm**-1
# 4*PI*TOTINT(RHOKN(I)*K(I)**2:K(I))/(2*PI)**3 =  .78904
# 4*PI*TOTINT(RHOKP(I)*K(I)**2:K(I))/(2*PI)**3 =  .72337

# Kinetic energy
# .5*(HC**2/MN)*4*PI*TOTINT(RHOKN*K**4:K)/(2*PI)**3 =  178.56
# .5*(HC**2/MP)*4*PI*TOTINT(RHOKP*K**4:K)/(2*PI)**3 =  158.46
#                                                   =  337.02

# Kinetic energy above K =  1.4 fm**-1
# .5*(HC**2/MN)*4*PI*TOTINT(RHOKN(I)*K(I)**4:K(I))/(2*PI)**3 =  106.35
# .5*(HC**2/MP)*4*PI*TOTINT(RHOKP(I)*K(I)**4:K(I))/(2*PI)**3 =   98.808
#                                                            =  205.16


#    K       RHOKN       DRHOKN      RHOKP       DRHOKP
# ******  ***********  *********  ***********  *********
  3.6       .16902     .0031857     .15793     .0028664
  3.7       .1458      .0029127     .13617     .0026256
  3.8       .12532     .0026536     .11699     .0023923
  3.9       .10735     .0024008     .10014     .0021626
  4         .091671    .0021537     .085404    .0019383
  4.1       .078033    .0019142     .072571    .0017227
  4.2       .066189    .0016844     .061441    .0015186
  4.3       .05592     .0014669     .051828    .0013277
  4.4       .047047    .0012659     .043566    .0011519
  4.5       .039437    .0010861     .036507   9.9294E-4
  4.6       .032971   9.3002E-4     .030515   8.5143E-4
  4.7       .027528   7.9567E-4     .025458   7.2635E-4
  4.8       .022971   6.774E-4      .021209   6.1525E-4
  4.9       .01916    5.7E-4        .017648   5.1584E-4
  5         .015974   4.7193E-4     .014669   4.2725E-4
  5.1       .013307   3.8523E-4     .01218    3.5014E-4
  5.2       .01107    3.1276E-4     .010099   2.8545E-4
  5.3       .0091806  2.5527E-4     .0083576  2.3307E-4
  5.4       .0075805  2.1052E-4     .0069004  1.9147E-4
  5.5       .0062326  1.7513E-4     .0056844  1.5845E-4
  5.6       .0051101  1.4672E-4     .0046753  1.3229E-4
  5.7       .0041858  1.2445E-4     .0038428  1.1199E-4
  5.8       .0034308  1.0793E-4     .0031592  9.6819E-5
  5.9       .0028181  9.6018E-5     .0025996  8.5697E-5
  6         .0023223  8.6938E-5     .0021418  7.7224E-5
  6.1       .0019187  7.9081E-5     .001766   7.0153E-5
  6.2       .0015855  7.162E-5      .0014551  6.3732E-5
  6.3       .0013067  6.4423E-5     .0011964  5.767E-5
