# 4He(0+)		AV18+UX		11-Sep-13

#     PAIR     momentum distribution calculated for 101 q values
#     from 0.00 to 10.00 fm-1
#     using 200 gauss points in R out to 20.00 fm

# P = total pair momentum in fm-1
# RHOPNP = neutron-proton pair momentum distribution in fm**3
# DRHOPNP = Monte Carlo error bar (1 sigma)
# 4*PI*TOTINT(RHOPNP*P**2:P)/(2*PI)**3 =  3.9999
# RHOPPP = proton-proton pair momentum distribution in fm**3
# DRHOPPP = Monte Carlo error bar (1 sigma)
# 4*PI*TOTINT(RHOPPP*P**2:P)/(2*PI)**3 =  .99999
 
#    P      RHOPNP     DRHOPNP      RHOPPP     DRHOPPP
# ****  ***********  *********  ***********  *********
  0    511.8         .42663    104.29        .099738
   .1  498.4         .41127    101.88        .096819
   .2  460.49        .37029     94.987       .088728
   .3  404.7         .315       84.67        .077187
   .4  339.4         .25635     72.332       .064194
   .5  272.92        .20145     59.409       .051418
   .6  211.23        .15314     47.084       .039848
   .7  158.12        .11232     36.14        .029916
   .8  114.99        .078769    26.957       .021663
   .9   81.53        .051906    19.626       .015001
  1     56.58        .031417    13.988       .0097787
  1.1   38.546       .017393     9.803       .0059055
  1.2   25.881       .011332     6.78        .0034263
  1.3   17.188       .012552     4.6496      .0025887
  1.4   11.344       .015127     3.1784      .0029156
  1.5    7.485       .016595     2.1804      .0033784
  1.6    4.979       .016786     1.5136      .0036247
  1.7    3.3726      .015999     1.0715      .0036367
  1.8    2.3529      .01456       .7808      .0034664
  1.9    1.7084      .012772      .5894      .0031763
  2      1.2986      .010873      .4621      .0028195
  2.1    1.0349      .0090066     .37557     .0024368
  2.2     .85866     .0072925     .31474     .002059
  2.3     .73482     .0057949     .26998     .0017061
  2.4     .64214     .0045451     .23522     .0013901
  2.5     .56795     .0035507     .20691     .001116
  2.6     .50512     .0028028     .18276    8.8842E-4
  2.7     .44983     .00227       .16177    7.0411E-4
  2.8     .40003     .0019099     .14299    5.6048E-4
  2.9     .35471     .0016682     .12621    4.5237E-4
  3       .31344     .0014948     .11107    3.7364E-4
  3.1     .27607     .0013556     .09745    3.1734E-4
  3.2     .24229     .0012279     .08523    2.7674E-4
  3.3     .2119      .0011043     .07432    2.4615E-4
  3.4     .18478    9.8359E-4     .06461    2.2141E-4
  3.5     .1606     8.6664E-4     .05602    1.9991E-4
  3.6     .1393     7.5661E-4     .04843    1.804E-4
  3.7     .12043    6.5578E-4     .04176    1.6231E-4
  3.8     .10393    5.6618E-4     .03592    1.455E-4
  3.9     .08948    4.8844E-4     .03083    1.2983E-4
  4       .0769     4.2268E-4     .0264     1.1547E-4
  4.1     .06595    3.6782E-4     .02256    1.0243E-4
  4.2     .05645    3.2235E-4     .019235   9.0684E-5
  4.3     .048234   2.8443E-4     .016367   8.015E-5
  4.4     .041136   2.5238E-4     .0139     7.0728E-5
  4.5     .035013   2.2444E-4     .01178    6.2313E-5
  4.6     .029751   1.9961E-4     .009964   5.4781E-5
  4.7     .025241   1.769E-4      .008413   4.8021E-5
  4.8     .021361   1.5599E-4     .007089   4.1942E-5
  4.9     .018041   1.3648E-4     .005962   3.6471E-5
  5       .015212   1.1845E-4     .005003   3.1555E-5
  5.1     .012794   1.0186E-4     .00419    2.7147E-5
  5.2     .010735   8.6726E-5     .003502   2.3213E-5
  5.3     .008986   7.3108E-5     .00292    1.9726E-5
  5.4     .007502   6.1043E-5     .002429   1.666E-5
  5.5     .006247   5.0505E-5     .0020165  1.398E-5
  5.6     .005186   4.1479E-5     .0016694  1.1663E-5
  5.7     .0042951  3.3909E-5     .0013791  9.688E-6
  5.8     .0035466  2.7715E-5     .0011365  8.026E-6
  5.9     .0029202  2.2792E-5    9.345E-4   6.6525E-6
  6       .0023974  1.9018E-5    7.665E-4   5.5396E-6
  6.1     .0019633  1.6223E-5    6.274E-4   4.658E-6
  6.2     .0016033  1.4214E-5    5.125E-4   3.9758E-6
  6.3     .0013071  1.278E-5     4.178E-4   3.4584E-6
  6.4     .001063   1.1718E-5    3.401E-4   3.0682E-6
  6.5    8.634E-4   1.087E-5     2.764E-4   2.7695E-6
  6.6    7.005E-4   1.0128E-5    2.246E-4   2.5314E-6
  6.7    5.68E-4    9.4204E-6    1.8226E-4  2.3303E-6
  6.8    4.6049E-4  8.7177E-6    1.4794E-4  2.1506E-6
  6.9    3.736E-4   8.0116E-6    1.2013E-4  1.9832E-6
  7      3.0343E-4  7.3028E-6    9.765E-5   1.8201E-6
  7.1    2.4715E-4  6.5992E-6    7.952E-5   1.6617E-6
  7.2    2.019E-4   5.9104E-6    6.496E-5   1.5064E-6
  7.3    1.6586E-4  5.2474E-6    5.325E-5   1.3562E-6
  7.4    1.3714E-4  4.6174E-6    4.387E-5   1.2105E-6
  7.5    1.1431E-4  4.0289E-6    3.636E-5   1.0719E-6
  7.6    9.61E-5    3.4858E-6    3.034E-5   9.4208E-7
  7.7    8.16E-5    2.9916E-6    2.55E-5    8.2146E-7
  7.8    7.002E-5   2.5481E-6    2.1631E-5  7.1091E-7
  7.9    6.07E-5    2.1548E-6    1.8496E-5  6.1092E-7
  8      5.3144E-5  1.8115E-6    1.5952E-5  5.2149E-7
  8.1    4.691E-5   1.5143E-6    1.3867E-5  4.4258E-7
  8.2    4.1697E-5  1.2613E-6    1.2143E-5  3.7377E-7
  8.3    3.7297E-5  1.0504E-6    1.0705E-5  3.1452E-7
  8.4    3.3533E-5  8.7758E-7    9.494E-6   2.6443E-7
  8.5    3.0286E-5  7.3986E-7    8.461E-6   2.2293E-7
  8.6    2.7422E-5  6.3338E-7    7.571E-6   1.8938E-7
  8.7    2.4895E-5  5.5277E-7    6.796E-6   1.6308E-7
  8.8    2.2645E-5  4.9402E-7    6.116E-6   1.4314E-7
  8.9    2.0668E-5  4.5121E-7    5.52E-6    1.2845E-7
  9      1.8897E-5  4.1863E-7    4.994E-6   1.1772E-7
  9.1    1.7294E-5  3.9407E-7    4.524E-6   1.0973E-7
  9.2    1.581E-5   3.7316E-7    4.1E-6     1.0347E-7
  9.3    1.4412E-5  3.5365E-7    3.714E-6   9.8067E-8
  9.4    1.3089E-5  3.3606E-7    3.36E-6    9.3119E-8
  9.5    1.1854E-5  3.1878E-7    3.0365E-6  8.8473E-8
  9.6    1.0692E-5  3.0199E-7    2.7382E-6  8.4294E-8
  9.7    9.585E-6   2.8851E-7    2.4605E-6  8.1002E-8
  9.8    8.523E-6   2.7714E-7    2.2004E-6  7.8721E-8
  9.9    7.514E-6   2.6824E-7    1.9571E-6  7.7355E-8
 10      6.586E-6   2.6259E-7    1.7319E-6  7.6608E-8
