# 4He(0+)         AV18+UX         19-Aug-13

#    pair P = 0.75 momentum distribution calculated for 101 q values
#    from 0.00 to 10.00 fm-1 with P not parallel to q
#    using  72 gauss points in r out to 12.00 fm
#    using  48 gauss points in R out to  8.00 fm

# K = momentum in fm-1
# RHOQNP = neutron-proton pair momentum distribution in fm**3
# DRHOQNP = Monte Carlo error bar (1 sigma)
# 4*PI*TOTINT(RHOQNP(I)*K(I)**2:K(I))/(2*PI)**3 =  135.13
# RHOQPP = proton-proton pair momentum distribution in fm**3
# DRHOQPP = Monte Carlo error bar (1 sigma)
# 4*PI*TOTINT(RHOQPP(I)*K(I)**2:K(I))/(2*PI)**3 =  31.265

# H2M*TOTINT(RHOQNP(I)*K(I)**4:K(I))/TOTINT(RHOQNP(I)*K(I)**2:K... =  28.847
# H2M*TOTINT(RHOQPP(I)*K(I)**4:K(I))/TOTINT(RHOQPP(I)*K(I)**2:K... =  20.818
 
# K(I)   RHOQNP(I)   DRHOQNP(I)    RHOQPP(I)   DRHOQPP(I)
# ****  ***********  **********  ************  **********
 0     51840        77.619      12671         23.795
  .1   49250        73.347      12037         22.444
  .2   42300        62.366      10323         18.962
  .3   33040        48.529       8052.9       14.587
  .4   23696        35.144       5759.9       10.422
  .5   15772        23.989       3820.6        7.0028
  .6    9858        15.52        2377.8        4.4589
  .7    5857         9.4849      1405.4        2.6803
  .8    3343.5       5.4366       797.16       1.5079
  .9    1851.6       2.9304       437.19        .80326
 1      1003.4       1.6272       233.18        .46346
 1.1     537.1       1.2041       121.13        .37003
 1.2     286.81      1.1453        61.274       .35384
 1.3     155.16      1.0993        29.975       .33111
 1.4      86.96      1.0015        14.018       .29291
 1.5      52.071      .8699         6.131       .24744
 1.6      34.329      .72771        2.4228      .20172
 1.7      25.212      .59082         .8234      .16002
 1.8      20.309      .46817         .2423      .12438
 1.9      17.342      .3629          .11566     .095068
 2        15.252      .27569         .16303     .071593
 2.1      13.535      .20586         .25536     .053478
 2.2      12.015      .15199         .34051     .040002
 2.3      10.612      .11269         .40152     .030572
 2.4       9.3139     .086716        .43576     .024632
 2.5       8.1232     .07205         .44678     .021239
 2.6       7.0467     .065296        .44048     .019378
 2.7       6.0906     .062507        .42348     .018204
 2.8       5.2529     .06063         .40056     .017147
 2.9       4.5238     .058243        .37396     .015982
 3         3.8872     .054934        .34468     .014644
 3.1       3.3329     .050731        .31358     .013168
 3.2       2.8495     .045888        .28229     .011606
 3.3       2.4331     .04071         .25215     .010045
 3.4       2.0725     .035466        .22379     .008535
 3.5       1.7629     .030403        .19745     .0071312
 3.6       1.4962     .025695        .17323     .005874
 3.7       1.2666     .021463        .15124     .0047841
 3.8       1.0696     .017767        .13135     .0038683
 3.9        .9009     .014616        .11364     .0031207
 4          .75685    .011987        .097922    .0025278
 4.1        .63424    .0098319       .084058    .0020661
 4.2        .53034    .0080882       .071938    .0017125
 4.3        .44274    .0066889       .061465    .0014404
 4.4        .36883    .0055663       .052399    .0012285
 4.5        .30661    .0046617       .044541    .0010544
 4.6        .25432    .0039259       .037733   9.0815E-4
 4.7        .21034    .0033233       .031819   7.8193E-4
 4.8        .17362    .0028258       .026778   6.7264E-4
 4.9        .14303    .0024154       .022478   5.7933E-4
 5          .1174     .0020795       .01879    5.0151E-4
