#       k             kp                 O11                    O12                    O21                    O22          
   0.001947       0.001947              nan                    nan                    nan                    nan          
   0.001947       0.010250              nan                    nan                    nan                    nan          
   0.001947       0.025159              nan                    nan                    nan                    nan          
   0.001947       0.046627              nan                    nan                    nan                    nan          
   0.001947       0.074585              nan                    nan                    nan                    nan          
   0.001947       0.108938              nan                    nan                    nan                    nan          
   0.001947       0.149573              nan                    nan                    nan                    nan          
   0.001947       0.196355              nan                    nan                    nan                    nan          
   0.001947       0.249129              nan                    nan                    nan                    nan          
   0.001947       0.307719              nan                    nan                    nan                    nan          
   0.001947       0.371930              nan                    nan                    nan                    nan          
   0.001947       0.441550              nan                    nan                    nan                    nan          
   0.001947       0.516347              nan                    nan                    nan                    nan          
   0.001947       0.596072              nan                    nan                    nan                    nan          
   0.001947       0.680461              nan                    nan                    nan                    nan          
   0.001947       0.769234              nan                    nan                    nan                    nan          
   0.001947       0.862094              nan                    nan                    nan                    nan          
   0.001947       0.958735              nan                    nan                    nan                    nan          
   0.001947       1.058835              nan                    nan                    nan                    nan          
   0.001947       1.162061              nan                    nan                    nan                    nan          
   0.001947       1.268071              nan                    nan                    nan                    nan          
   0.001947       1.376513              nan                    nan                    nan                    nan          
   0.001947       1.487025              nan                    nan                    nan                    nan          
   0.001947       1.599241              nan                    nan                    nan                    nan          
   0.001947       1.712789              nan                    nan                    nan                    nan          
   0.001947       1.827291              nan                    nan                    nan                    nan          
   0.001947       1.942367              nan                    nan                    nan                    nan          
   0.001947       2.057633              nan                    nan                    nan                    nan          
   0.001947       2.172709              nan                    nan                    nan                    nan          
   0.001947       2.287211              nan                    nan                    nan                    nan          
   0.001947       2.400759              nan                    nan                    nan                    nan          
   0.001947       2.512975              nan                    nan                    nan                    nan          
   0.001947       2.623487              nan                    nan                    nan                    nan          
   0.001947       2.731929              nan                    nan                    nan                    nan          
   0.001947       2.837939              nan                    nan                    nan                    nan          
   0.001947       2.941165              nan                    nan                    nan                    nan          
   0.001947       3.041265              nan                    nan                    nan                    nan          
   0.001947       3.137906              nan                    nan                    nan                    nan          
   0.001947       3.230766              nan                    nan                    nan                    nan          
   0.001947       3.319539              nan                    nan                    nan                    nan          
   0.001947       3.403928              nan                    nan                    nan                    nan          
   0.001947       3.483653              nan                    nan                    nan                    nan          
   0.001947       3.558450              nan                    nan                    nan                    nan          
   0.001947       3.628070              nan                    nan                    nan                    nan          
   0.001947       3.692281              nan                    nan                    nan                    nan          
   0.001947       3.750871              nan                    nan                    nan                    nan          
   0.001947       3.803645              nan                    nan                    nan                    nan          
   0.001947       3.850427              nan                    nan                    nan                    nan          
   0.001947       3.891062              nan                    nan                    nan                    nan          
   0.001947       3.925415              nan                    nan                    nan                    nan          
   0.001947       3.953373              nan                    nan                    nan                    nan          
   0.001947       3.974841              nan                    nan                    nan                    nan          
   0.001947       3.989750              nan                    nan                    nan                    nan          
   0.001947       3.998053              nan                    nan                    nan                    nan          
   0.001947       4.008499              nan                    nan                    nan                    nan          
   0.001947       4.044761              nan                    nan                    nan                    nan          
   0.001947       4.109915              nan                    nan                    nan                    nan          
   0.001947       4.203828              nan                    nan                    nan                    nan          
   0.001947       4.326294              nan                    nan                    nan                    nan          
   0.001947       4.477040              nan                    nan                    nan                    nan          
   0.001947       4.655730              nan                    nan                    nan                    nan          
   0.001947       4.861964              nan                    nan                    nan                    nan          
