   1      1s1/2   -50.59094678
   2      1p3/2   -44.76916742
   3      1p1/2   -44.11301415
   4      1d5/2   -36.75888800
   5      1d3/2   -35.13066196
   6      2s1/2   -32.79787339
   7      1f7/2   -27.91856365
   8      1f5/2   -24.90569276
   9      2p3/2   -21.45565974
  10      2p1/2   -20.47784998
  11      1g9/2   -18.62919584
  12      1g7/2   -13.96666850
  13      2d5/2   -11.26365846
  14      2d3/2    -9.29932672
  15     1h11/2    -9.16764486
  16      3s1/2    -8.27512848
  17      1h9/2    -2.30544782
  18      2f7/2    -0.83216799
  19     1i13/2     0.58278365
  20      2f5/2     2.09671144
  21      3p3/2     3.70701483
  22      3p1/2     4.59668431
  23     1i11/2     9.39727863
  24      2g9/2     9.76461318
  25     1j15/2    10.27011052
  26      2g7/2    13.41618249
  27      3d5/2    14.27303669
  28      3d3/2    15.44250242
  29      4s1/2    18.83505210
  30     1k17/2    20.10254682
  31     2h11/2    20.28972167
  32     1j13/2    21.19493608
  33      4p3/2    23.14079436
  34      4p1/2    23.15720732
  35      2h9/2    24.40553830
  36      3f7/2    24.60760597
  37      3f5/2    24.71300748
  38      4f7/2    25.06813563
  39      4f5/2    26.82641070
  40      3h9/2    26.96423203
  41     2j15/2    28.86700494
  42     2j13/2    28.90328514
  43      5p3/2    29.84312178
  44     1l19/2    30.16911248
  45     2i13/2    30.21109854
  46      5p1/2    30.64890396
  47      5s1/2    31.37623986
  48      4d5/2    31.54080341
  49      4d3/2    31.62230005
  50     1k15/2    32.85005711
  51     2l19/2    33.52758027
  52     1l17/2    33.56127170
  53      3g9/2    33.80833649
  54      3g7/2    33.97129112
  55     3h11/2    34.42433943
  56     2i11/2    34.81932947
  57      6s1/2    35.19215616
  58      5d5/2    35.20521802
  59      4g9/2    35.23599414
  60     3i13/2    35.28844045
  61     3i11/2    35.37598190
  62      5d3/2    35.62150595
  63     2k17/2    35.82345719
  64     2k15/2    35.96383631
  65      5g9/2    37.02209974
  66      4g7/2    37.11104847
  67      5g7/2    37.56680517
  68     1m21/2    37.78373251
  69     1m19/2    37.87946405
  70     4i13/2    38.15433890
  71     4i11/2    38.35728225
  72      6d5/2    38.41356563
  73      6d3/2    39.01544999
  74      6p3/2    39.40449439
  75      6p1/2    39.48893878
  76     1n23/2    39.87956392
  77     3j15/2    39.96142937
