#       k             kp                 O11                    O12                    O21                    O22          
   0.001947       0.001947         -1.065787e-22          -1.268978e-15          1.268978e-15           2.420243e-37      
   0.001947       0.010250         1.750432e-11           -2.823566e-13          1.018865e-14           -2.527565e-22     
   0.001947       0.025159         3.341041e-10           -5.221578e-12          3.133434e-14           -2.899849e-20     
   0.001947       0.046627         2.487777e-09           -3.861519e-11          6.784734e-14           -7.366497e-19     
   0.001947       0.074585         1.142508e-08           -1.761542e-10          1.224485e-13           -8.528732e-18     
   0.001947       0.108938         3.894369e-08           -5.940413e-10          1.978424e-13           -6.034981e-17     
   0.001947       0.149573         1.082732e-07           -1.623764e-09          2.968468e-13           -3.025286e-16     
   0.001947       0.196355         2.593017e-07           -3.792593e-09          4.220340e-13           -1.168298e-15     
   0.001947       0.249129         5.535546e-07           -7.823427e-09          5.746731e-13           -3.660907e-15     
   0.001947       0.307719         1.077627e-06           -1.457579e-08          7.531180e-13           -9.639662e-15     
   0.001947       0.371930         1.943468e-06           -2.493701e-08          9.513323e-13           -2.188700e-14     
   0.001947       0.441550         3.283874e-06           -3.970845e-08          1.158465e-12           -4.375499e-14     
   0.001947       0.516347         5.241903e-06           -5.955152e-08          1.359914e-12           -7.842164e-14     
   0.001947       0.596072         7.953839e-06           -8.504085e-08          1.539445e-12           -1.280660e-13     
   0.001947       0.680461         1.152674e-05           -1.168232e-07          1.681426e-12           -1.933325e-13     
   0.001947       0.769234         1.601336e-05           -1.558268e-07          1.772501e-12           -2.732504e-13     
   0.001947       0.862094         2.138899e-05           -2.034327e-07          1.802563e-12           -3.655091e-13     
   0.001947       0.958735         2.753562e-05           -2.615173e-07          1.765239e-12           -4.668741e-13     
   0.001947       1.058835         3.423873e-05           -3.322970e-07          1.658084e-12           -5.735657e-13     
   0.001947       1.162061         4.120006e-05           -4.179448e-07          1.482549e-12           -6.815347e-13     
   0.001947       1.268071         4.806654e-05           -5.200027e-07          1.243671e-12           -7.866438e-13     
   0.001947       1.376513         5.447143e-05           -6.386684e-07          9.494708e-13           -8.848032e-13     
   0.001947       1.487025         6.008022e-05           -7.720901e-07          6.101223e-13           -9.721019e-13     
   0.001947       1.599241         6.463224e-05           -9.158317e-07          2.370260e-13           -1.044961e-12     
   0.001947       1.712789         6.796929e-05           -1.062665e-06          -1.580275e-13          -1.100313e-12     
   0.001947       1.827291         7.004599e-05           -1.202795e-06          -5.634765e-13          -1.135800e-12     
   0.001947       1.942367         7.092119e-05           -1.324539e-06          -9.683351e-13          -1.149962e-12     
   0.001947       2.057633         7.073416e-05           -1.415393e-06          -1.362316e-12          -1.142390e-12     
   0.001947       2.172709         6.967268e-05           -1.463303e-06          -1.735847e-12          -1.113807e-12     
   0.001947       2.287211         6.794065e-05           -1.457969e-06          -2.080110e-12          -1.066065e-12     
   0.001947       2.400759         6.573163e-05           -1.391954e-06          -2.387203e-12          -1.002026e-12     
   0.001947       2.512975         6.321151e-05           -1.261470e-06          -2.650449e-12          -9.253474e-13     
   0.001947       2.623487         6.051096e-05           -1.066740e-06          -2.864786e-12          -8.401808e-13     
   0.001947       2.731929         5.772556e-05           -8.119488e-07          -3.027152e-12          -7.508205e-13     
   0.001947       2.837939         5.492084e-05           -5.048197e-07          -3.136730e-12          -6.613531e-13     
   0.001947       2.941165         5.213930e-05           -1.559176e-07          -3.194992e-12          -5.753488e-13     
   0.001947       3.041265         4.940724e-05           2.222176e-07           -3.205483e-12          -4.956355e-13     
   0.001947       3.137906         4.674032e-05           6.159939e-07           -3.173407e-12          -4.241772e-13     
   0.001947       3.230766         4.414741e-05           1.011646e-06           -3.105063e-12          -3.620588e-13     
   0.001947       3.319539         4.163286e-05           1.395989e-06           -3.007235e-12          -3.095633e-13     
   0.001947       3.403928         3.919776e-05           1.757001e-06           -2.886631e-12          -2.663142e-13     
   0.001947       3.483653         3.684035e-05           2.084198e-06           -2.749417e-12          -2.314512e-13     
   0.001947       3.558450         3.455615e-05           2.368814e-06           -2.600900e-12          -2.038087e-13     
   0.001947       3.628070         3.233782e-05           2.603813e-06           -2.445339e-12          -1.820767e-13     
   0.001947       3.692281         3.017497e-05           2.783746e-06           -2.285879e-12          -1.649270e-13     
   0.001947       3.750871         2.805372e-05           2.904517e-06           -2.124555e-12          -1.511034e-13     
   0.001947       3.803645         2.595614e-05           2.963054e-06           -1.962336e-12          -1.394735e-13     
   0.001947       3.850427         2.385897e-05           2.956893e-06           -1.799154e-12          -1.290499e-13     
   0.001947       3.891062         2.173155e-05           2.883642e-06           -1.633865e-12          -1.189833e-13     
   0.001947       3.925415         1.953158e-05           2.740167e-06           -1.464049e-12          -1.085305e-13     
   0.001947       3.953373         1.719652e-05           2.521159e-06           -1.285459e-12          -9.698922e-14     
   0.001947       3.974841         1.462333e-05           2.215952e-06           -1.090596e-12          -8.356251e-14     
   0.001947       3.989750         1.160926e-05           1.799391e-06           -8.643488e-13          -6.699811e-14     
   0.001947       3.998053         7.588409e-06           1.190906e-06           -5.644350e-13          -4.404716e-14     
   0.001947       4.008499         1.578864e-05           2.516615e-06           -1.172910e-12          -9.233900e-14     
   0.001947       4.044761         2.372227e-05           3.986350e-06           -1.754214e-12          -1.427282e-13     
   0.001947       4.109915         2.892916e-05           5.324353e-06           -2.119801e-12          -1.845300e-13     
   0.001947       4.203828         3.247476e-05           6.759565e-06           -2.344509e-12          -2.282573e-13     
   0.001947       4.326294         3.473096e-05           8.382245e-06           -2.453722e-12          -2.807588e-13     
   0.001947       4.477040         3.591501e-05           1.023178e-05           -2.465189e-12          -3.470280e-13     
   0.001947       4.655730         3.620091e-05           1.231812e-05           -2.397864e-12          -4.295182e-13     
   0.001947       4.861964         3.574553e-05           1.463330e-05           -2.272436e-12          -5.278227e-13     
   0.001947       5.095283         3.469010e-05           1.716098e-05           -2.108838e-12          -6.394125e-13     
   0.001947       5.355166         3.315807e-05           1.988325e-05           -1.923888e-12          -7.609813e-13     
   0.001947       5.641033         3.125508e-05           2.278278e-05           -1.730423e-12          -8.894990e-13     
   0.001947       5.952247         2.906711e-05           2.583919e-05           -1.537357e-12          -1.022524e-12     
   0.001947       6.288112         2.665195e-05           2.901709e-05           -1.349771e-12          -1.157816e-12     
   0.001947       6.647880         2.402466e-05           3.224039e-05           -1.168860e-12          -1.292260e-12     
   0.001947       7.030747         2.114413e-05           3.534789e-05           -9.920479e-13          -1.420004e-12     
   0.001947       7.435859         1.791901e-05           3.803531e-05           -8.139583e-13          -1.530130e-12     
   0.001947       7.862313         1.426365e-05           3.981641e-05           -6.294018e-13          -1.605288e-12     
   0.001947       8.309157         1.021969e-05           4.007032e-05           -4.387315e-13          -1.623828e-12     
   0.001947       8.775393         6.086740e-06           3.824871e-05           -2.529326e-13          -1.567756e-12     
   0.001947       9.259982         2.427291e-06           3.431233e-05           -9.316608e-14          -1.439260e-12     
   0.001947       9.761842         -1.758246e-07          2.942538e-05           1.943545e-14           -1.289888e-12     
   0.001947       10.279853        -1.606645e-06          2.675265e-05           8.427531e-14           -1.267796e-12     
   0.001947       10.812859        -2.433876e-06          3.093210e-05           1.312237e-13           -1.630257e-12     
   0.001947       11.359671        -5.658526e-07          8.006354e-06           3.142963e-14           -4.392682e-13     
