#       k             kp                  U           
   0.001185       0.001185         1.000000e+00      
   0.001185       0.006239         -1.334338e-11     
   0.001185       0.015318         -4.102473e-11     
   0.001185       0.028399         -8.869749e-11     
   0.001185       0.045447         -1.594904e-10     
   0.001185       0.066417         -2.559700e-10     
   0.001185       0.091251         -3.802930e-10     
   0.001185       0.119882         -5.343100e-10     
   0.001185       0.152235         -7.196489e-10     
   0.001185       0.188220         -9.377855e-10     
   0.001185       0.227742         -1.190105e-09     
   0.001185       0.270694         -1.477944e-09     
   0.001185       0.316959         -1.802622e-09     
   0.001185       0.366414         -2.165428e-09     
   0.001185       0.418925         -2.567587e-09     
   0.001185       0.474351         -3.010174e-09     
   0.001185       0.532541         -3.493986e-09     
   0.001185       0.593339         -4.019365e-09     
   0.001185       0.656582         -4.585981e-09     
   0.001185       0.722098         -5.192581e-09     
   0.001185       0.789711         -5.836724e-09     
   0.001185       0.859239         -6.514525e-09     
   0.001185       0.930495         -7.220429e-09     
   0.001185       1.003286         -7.947053e-09     
   0.001185       1.077416         -8.685112e-09     
   0.001185       1.152685         -9.423467e-09     
   0.001185       1.228890         -1.014930e-08     
   0.001185       1.305826         -1.084844e-08     
   0.001185       1.383286         -1.150581e-08     
   0.001185       1.461060         -1.210601e-08     
   0.001185       1.538940         -1.263400e-08     
   0.001185       1.616714         -1.307578e-08     
   0.001185       1.694174         -1.341913e-08     
   0.001185       1.771110         -1.365431e-08     
   0.001185       1.847315         -1.377453e-08     
   0.001185       1.922584         -1.377642e-08     
   0.001185       1.996714         -1.366015e-08     
   0.001185       2.069505         1.628247e-07      
   0.001185       2.140761         1.014406e-07      
   0.001185       2.210289         4.150300e-08      
   0.001185       2.277902         -1.532448e-08     
   0.001185       2.343418         -6.768224e-08     
   0.001185       2.406661         -1.145533e-07     
   0.001185       2.467459         -1.552684e-07     
   0.001185       2.525649         -1.894844e-07     
   0.001185       2.581075         -2.171420e-07     
   0.001185       2.633586         -2.384100e-07     
   0.001185       2.683041         -2.536250e-07     
   0.001185       2.729306         -2.632311e-07     
   0.001185       2.772258         -2.677253e-07     
   0.001185       2.811780         -2.676095e-07     
   0.001185       2.847765         -2.633504e-07     
   0.001185       2.880118         -2.553461e-07     
   0.001185       2.908749         -2.438948e-07     
   0.001185       2.933583         -2.291603e-07     
   0.001185       2.954553         -2.111209e-07     
   0.001185       2.971601         -1.894745e-07     
   0.001185       2.984682         -1.634147e-07     
   0.001185       2.993761         -1.309738e-07     
   0.001185       2.998815         -8.605780e-08     
   0.001185       3.004739         -1.724887e-07     
   0.001185       3.024957         -2.647857e-07     
   0.001185       3.061273         -3.347025e-07     
   0.001185       3.113597         -3.934283e-07     
   0.001185       3.181789         -4.427037e-07     
   0.001185       3.265666         -4.811692e-07     
   0.001185       3.365002         -5.063543e-07     
   0.001185       3.479529         -5.159387e-07     
   0.001185       3.608938         -5.086621e-07     
   0.001185       3.752880         -4.847994e-07     
   0.001185       3.910968         -4.461647e-07     
   0.001185       4.082775         -3.957984e-07     
   0.001185       4.267838         -3.375563e-07     
   0.001185       4.465657         -2.756983e-07     
   0.001185       4.675701         -2.144447e-07     
   0.001185       4.897402         -1.575036e-07     
   0.001185       5.130163         -1.076761e-07     
   0.001185       5.373356         -6.664580e-08     
   0.001185       5.626327         -3.497462e-08     
   0.001185       5.888392         -1.226382e-08     
   0.001185       6.158845         2.583788e-09      
   0.001185       6.436958         1.106643e-08      
   0.001185       6.721980         1.480665e-08      
   0.001185       7.013143         1.533333e-08      
   0.001185       7.309662         1.394011e-08      
   0.001185       7.610739         1.161855e-08      
   0.001185       7.915560         9.054347e-09      
   0.001185       8.223305         6.664383e-09      
   0.001185       8.533144         4.656843e-09      
   0.001185       8.844241         3.094596e-09      
   0.001185       9.155759         1.953126e-09      
   0.001185       9.466856         1.164615e-09      
   0.001185       9.776695         6.482157e-10      
   0.001185       10.084440        3.279053e-10      
   0.001185       10.389261        1.407844e-10      
   0.001185       10.690338        3.922356e-11      
   0.001185       10.986857        -1.040401e-11     
