   0.00    1.3377  0.0000   1.3377   -0.6973  0.0000   0.6973   -0.2456 -0.0000   0.2456    0.1906 -0.0000   0.1906   -0.1064 -0.0000   0.1064
   2.00    1.2506  0.3762   1.3060   -0.7027 -0.0822   0.7075   -0.2495 -0.0207   0.2503    0.1854  0.0381   0.1893   -0.1091 -0.0081   0.1094
   4.00    1.1752  0.5071   1.2799   -0.7044 -0.1227   0.7150   -0.2521 -0.0321   0.2541    0.1802  0.0536   0.1880   -0.1109 -0.0133   0.1117
   6.00    1.1069  0.5954   1.2569   -0.7030 -0.1565   0.7202   -0.2534 -0.0421   0.2569    0.1746  0.0652   0.1864   -0.1119 -0.0182   0.1134
   8.00    1.0438  0.6614   1.2357   -0.6994 -0.1862   0.7238   -0.2538 -0.0512   0.2589    0.1688  0.0743   0.1844   -0.1122 -0.0226   0.1145
  10.00    0.9849  0.7130   1.2159   -0.6942 -0.2129   0.7261   -0.2535 -0.0594   0.2604    0.1629  0.0817   0.1823   -0.1121 -0.0267   0.1152
  12.00    0.9295  0.7544   1.1971   -0.6878 -0.2370   0.7275   -0.2528 -0.0670   0.2615    0.1572  0.0879   0.1801   -0.1117 -0.0303   0.1158
  14.00    0.8773  0.7880   1.1792   -0.6805 -0.2590   0.7282   -0.2516 -0.0740   0.2623    0.1516  0.0930   0.1779   -0.1112 -0.0337   0.1162
  16.00    0.8279  0.8156   1.1621   -0.6726 -0.2792   0.7283   -0.2503 -0.0805   0.2629    0.1462  0.0973   0.1756   -0.1105 -0.0368   0.1164
  18.00    0.7810  0.8383   1.1457   -0.6642 -0.2979   0.7279   -0.2487 -0.0865   0.2633    0.1410  0.1010   0.1734   -0.1096 -0.0397   0.1166
  20.00    0.7364  0.8569   1.1298   -0.6554 -0.3151   0.7272   -0.2470 -0.0921   0.2636    0.1360  0.1041   0.1712   -0.1088 -0.0424   0.1167
  22.00    0.6939  0.8721   1.1145   -0.6464 -0.3311   0.7262   -0.2452 -0.0974   0.2638    0.1312  0.1067   0.1691   -0.1078 -0.0449   0.1168
  24.00    0.6534  0.8844   1.0996   -0.6371 -0.3460   0.7250   -0.2433 -0.1023   0.2639    0.1266  0.1090   0.1670   -0.1069 -0.0473   0.1169
  26.00    0.6148  0.8942   1.0852   -0.6278 -0.3599   0.7237   -0.2413 -0.1070   0.2640    0.1222  0.1108   0.1650   -0.1058 -0.0495   0.1168
  28.00    0.5779  0.9018   1.0711   -0.6184 -0.3729   0.7221   -0.2393 -0.1115   0.2640    0.1179  0.1125   0.1630   -0.1048 -0.0517   0.1169
  30.00    0.5426  0.9076   1.0575   -0.6089 -0.3850   0.7205   -0.2373 -0.1157   0.2640    0.1138  0.1139   0.1610   -0.1038 -0.0537   0.1169
  32.00    0.5089  0.9118   1.0442   -0.5995 -0.3964   0.7187   -0.2353 -0.1197   0.2640    0.1099  0.1150   0.1591   -0.1027 -0.0556   0.1168
  34.00    0.4765  0.9145   1.0312   -0.5901 -0.4071   0.7169   -0.2333 -0.1235   0.2639    0.1061  0.1160   0.1572   -0.1016 -0.0575   0.1168
  36.00    0.4456  0.9159   1.0185   -0.5807 -0.4172   0.7150   -0.2312 -0.1272   0.2639    0.1026  0.1167   0.1554   -0.1005 -0.0592   0.1166
  38.00    0.4159  0.9162   1.0061   -0.5714 -0.4267   0.7131   -0.2292 -0.1307   0.2638    0.0991  0.1174   0.1536   -0.0994 -0.0609   0.1166
  40.00    0.3874  0.9154   0.9940   -0.5621 -0.4356   0.7111   -0.2271 -0.1341   0.2638    0.0957  0.1179   0.1519   -0.0983 -0.0626   0.1165
  42.00    0.3602  0.9138   0.9822   -0.5530 -0.4440   0.7092   -0.2251 -0.1373   0.2637    0.0925  0.1182   0.1501   -0.0971 -0.0641   0.1163
  44.00    0.3339  0.9114   0.9706   -0.5439 -0.4520   0.7072   -0.2231 -0.1405   0.2636    0.0894  0.1185   0.1485   -0.0960 -0.0656   0.1163
  46.00    0.3088  0.9082   0.9593   -0.5348 -0.4595   0.7051   -0.2210 -0.1436   0.2636    0.0864  0.1187   0.1469   -0.0949 -0.0671   0.1162
  48.00    0.2847  0.9044   0.9481   -0.5259 -0.4666   0.7031   -0.2190 -0.1465   0.2635    0.0835  0.1189   0.1453   -0.0937 -0.0685   0.1161
  50.00    0.2615  0.9001   0.9373   -0.5172 -0.4734   0.7011   -0.2170 -0.1493   0.2634    0.0808  0.1188   0.1437   -0.0925 -0.0698   0.1159
  52.00    0.2392  0.8952   0.9266   -0.5084 -0.4798   0.6991   -0.2150 -0.1521   0.2634    0.0782  0.1188   0.1422   -0.0914 -0.0711   0.1158
