   0.00    1.3377  0.0000   1.3377   -0.6973  0.0000   0.6973   -0.2456 -0.0000   0.2456    0.1906 -0.0000   0.1906   -0.1064 -0.0000   0.1064
  54.00    0.2178  0.8898   0.9161   -0.4998 -0.4858   0.6970   -0.2129 -0.1549   0.2633    0.0756  0.1187   0.1407   -0.0902 -0.0724   0.1157
  56.00    0.1973  0.8841   0.9058   -0.4914 -0.4916   0.6951   -0.2109 -0.1574   0.2632    0.0731  0.1184   0.1391   -0.0889 -0.0736   0.1154
  58.00    0.1775  0.8779   0.8957   -0.4830 -0.4971   0.6931   -0.2090 -0.1600   0.2632    0.0708  0.1182   0.1378   -0.0878 -0.0747   0.1153
  60.00    0.1586  0.8715   0.8858   -0.4747 -0.5023   0.6911   -0.2070 -0.1625   0.2632    0.0685  0.1180   0.1364   -0.0866 -0.0759   0.1151
  62.00    0.1403  0.8647   0.8760   -0.4665 -0.5072   0.6891   -0.2050 -0.1650   0.2631    0.0662  0.1177   0.1350   -0.0855 -0.0770   0.1150
  64.00    0.1228  0.8577   0.8665   -0.4585 -0.5120   0.6873   -0.2030 -0.1672   0.2630    0.0641  0.1172   0.1336   -0.0841 -0.0780   0.1147
  66.00    0.1060  0.8505   0.8570   -0.4505 -0.5165   0.6853   -0.2011 -0.1696   0.2630    0.0620  0.1168   0.1323   -0.0830 -0.0790   0.1145
  68.00    0.0897  0.8430   0.8478   -0.4426 -0.5208   0.6834   -0.1991 -0.1719   0.2630    0.0600  0.1164   0.1310   -0.0818 -0.0799   0.1144
  70.00    0.0742  0.8354   0.8386   -0.4348 -0.5248   0.6816   -0.1971 -0.1741   0.2630    0.0581  0.1160   0.1298   -0.0807 -0.0809   0.1143
  72.00    0.0592  0.8276   0.8297   -0.4272 -0.5287   0.6798   -0.1951 -0.1762   0.2629    0.0562  0.1154   0.1284   -0.0793 -0.0819   0.1140
  74.00    0.0448  0.8197   0.8209   -0.4196 -0.5325   0.6780   -0.1932 -0.1784   0.2629    0.0544  0.1149   0.1272   -0.0781 -0.0827   0.1137
  76.00    0.0310  0.8116   0.8122   -0.4121 -0.5360   0.6762   -0.1912 -0.1805   0.2630    0.0527  0.1145   0.1260   -0.0770 -0.0834   0.1135
  78.00    0.0177  0.8035   0.8037   -0.4047 -0.5394   0.6744   -0.1892 -0.1826   0.2630    0.0510  0.1140   0.1249   -0.0758 -0.0842   0.1133
  80.00    0.0050  0.7953   0.7953   -0.3975 -0.5427   0.6727   -0.1872 -0.1845   0.2628    0.0493  0.1133   0.1236   -0.0744 -0.0852   0.1131
  82.00   -0.0073  0.7870   0.7870   -0.3902 -0.5458   0.6710   -0.1853 -0.1865   0.2629    0.0478  0.1127   0.1225   -0.0732 -0.0858   0.1128
  84.00   -0.0191  0.7786   0.7789   -0.3831 -0.5488   0.6693   -0.1833 -0.1884   0.2629    0.0463  0.1122   0.1214   -0.0721 -0.0864   0.1125
  86.00   -0.0304  0.7702   0.7708   -0.3760 -0.5516   0.6676   -0.1814 -0.1904   0.2630    0.0449  0.1117   0.1203   -0.0709 -0.0871   0.1123
  88.00   -0.0413  0.7618   0.7629   -0.3690 -0.5543   0.6659   -0.1794 -0.1923   0.2630    0.0434  0.1111   0.1193   -0.0698 -0.0877   0.1121
  90.00   -0.0517  0.7534   0.7551   -0.3622 -0.5569   0.6643   -0.1773 -0.1940   0.2628    0.0419  0.1104   0.1181   -0.0684 -0.0885   0.1119
  92.00   -0.0618  0.7449   0.7475   -0.3553 -0.5595   0.6628   -0.1754 -0.1958   0.2629    0.0407  0.1097   0.1170   -0.0672 -0.0890   0.1115
  94.00   -0.0714  0.7365   0.7399   -0.3485 -0.5619   0.6612   -0.1734 -0.1976   0.2629    0.0394  0.1092   0.1161   -0.0660 -0.0895   0.1112
  96.00   -0.0807  0.7280   0.7325   -0.3418 -0.5641   0.6596   -0.1714 -0.1994   0.2630    0.0382  0.1086   0.1151   -0.0649 -0.0900   0.1110
  98.00   -0.0896  0.7196   0.7251   -0.3352 -0.5663   0.6581   -0.1694 -0.2012   0.2630    0.0370  0.1080   0.1142   -0.0639 -0.0905   0.1108
 100.00   -0.0980  0.7112   0.7179   -0.3287 -0.5684   0.6566   -0.1673 -0.2027   0.2628    0.0357  0.1072   0.1130   -0.0625 -0.0912   0.1105
 102.00   -0.1062  0.7028   0.7108   -0.3222 -0.5705   0.6552   -0.1653 -0.2044   0.2629    0.0346  0.1066   0.1121   -0.0613 -0.0915   0.1102
 104.00   -0.1141  0.6945   0.7038   -0.3158 -0.5724   0.6537   -0.1633 -0.2060   0.2629    0.0336  0.1060   0.1112   -0.0601 -0.0919   0.1098
 106.00   -0.1216  0.6862   0.6969   -0.3094 -0.5742   0.6523   -0.1613 -0.2077   0.2630    0.0325  0.1054   0.1103   -0.0590 -0.0922   0.1095
 108.00   -0.1288  0.6779   0.6900   -0.3030 -0.5760   0.6508   -0.1592 -0.2093   0.2630    0.0315  0.1048   0.1095   -0.0580 -0.0925   0.1092
 110.00   -0.1356  0.6697   0.6833   -0.2968 -0.5777   0.6495   -0.1571 -0.2107   0.2628    0.0303  0.1041   0.1084   -0.0567 -0.0932   0.1091
 112.00   -0.1423  0.6615   0.6767   -0.2906 -0.5793   0.6481   -0.1551 -0.2122   0.2628    0.0294  0.1034   0.1075   -0.0555 -0.0935   0.1087
 114.00   -0.1486  0.6534   0.6701   -0.2844 -0.5808   0.6467   -0.1531 -0.2137   0.2629    0.0285  0.1028   0.1067   -0.0544 -0.0937   0.1083
 116.00   -0.1547  0.6454   0.6637   -0.2783 -0.5823   0.6454   -0.1510 -0.2152   0.2629    0.0277  0.1022   0.1059   -0.0533 -0.0938   0.1079
 118.00   -0.1605  0.6374   0.6573   -0.2722 -0.5837   0.6441   -0.1489 -0.2167   0.2629    0.0268  0.1016   0.1051   -0.0523 -0.0941   0.1076
 120.00   -0.1660  0.6295   0.6510   -0.2663 -0.5850   0.6428   -0.1467 -0.2179   0.2627    0.0258  0.1010   0.1042   -0.0512 -0.0946   0.1076
 122.00   -0.1713  0.6217   0.6448   -0.2603 -0.5863   0.6415   -0.1446 -0.2193   0.2627    0.0250  0.1003   0.1034   -0.0500 -0.0948   0.1072
 124.00   -0.2544 -0.5875   0.6402   -0.1764  0.6139   0.6387   -0.1426 -0.2206   0.2627    0.0242  0.0997   0.1026   -0.0488 -0.0949   0.1068
 126.00   -0.2484 -0.5887   0.6390   -0.1813  0.6062   0.6327   -0.1405 -0.2220   0.2627   -0.0478 -0.0950   0.1063    0.0235  0.0991   0.1018
 128.00   -0.2426 -0.5898   0.6377   -0.1859  0.5986   0.6268   -0.1384 -0.2233   0.2627   -0.0467 -0.0951   0.1060    0.0228  0.0985   0.1011
 130.00   -0.2367 -0.5908   0.6364   -0.1903  0.5910   0.6209   -0.1362 -0.2246   0.2627   -0.0459 -0.0952   0.1057    0.0221  0.0979   0.1004
 132.00   -0.2310 -0.5917   0.6352   -0.1945  0.5836   0.6152   -0.1340 -0.2257   0.2624   -0.0447 -0.0957   0.1056    0.0212  0.0973   0.0996
 134.00   -0.2253 -0.5927   0.6340   -0.1986  0.5762   0.6095   -0.1319 -0.2268   0.2624   -0.0436 -0.0957   0.1052    0.0205  0.0967   0.0988
 136.00   -0.2196 -0.5935   0.6328   -0.2024  0.5689   0.6039   -0.1298 -0.2280   0.2624   -0.0425 -0.0958   0.1048    0.0199  0.0961   0.0981
 138.00   -0.2139 -0.5943   0.6316   -0.2061  0.5617   0.5983   -0.1277 -0.2291   0.2623   -0.0415 -0.0957   0.1043    0.0193  0.0955   0.0974
 140.00   -0.2082 -0.5951   0.6305   -0.2096  0.5546   0.5929   -0.1255 -0.2303   0.2623   -0.0405 -0.0957   0.1039    0.0187  0.0949   0.0968
 142.00   -0.2027 -0.5957   0.6293   -0.2128  0.5475   0.5874   -0.1232 -0.2313   0.2621   -0.0397 -0.0960   0.1039    0.0179  0.0944   0.0961
 144.00   -0.1971 -0.5964   0.6281   -0.2160  0.5406   0.5821   -0.1211 -0.2323   0.2620   -0.0386 -0.0961   0.1036    0.0173  0.0938   0.0954
 146.00   -0.1915 -0.5970   0.6270   -0.2190  0.5337   0.5769   -0.1189 -0.2333   0.2619   -0.0376 -0.0961   0.1032    0.0168  0.0932   0.0947
 148.00   -0.1860 -0.5975   0.6258   -0.2218  0.5269   0.5717   -0.1168 -0.2343   0.2618   -0.0365 -0.0960   0.1027    0.0162  0.0926   0.0940
 150.00   -0.1805 -0.5980   0.6247   -0.2245  0.5202   0.5666   -0.1146 -0.2353   0.2617   -0.0356 -0.0959   0.1023    0.0157  0.0921   0.0934
