#       k             kp                  U           
   0.001185       0.001185         1.000000e+00      
   0.001185       0.006239         -1.762479e-11     
   0.001185       0.015318         -5.418560e-11     
   0.001185       0.028399         -1.171363e-10     
   0.001185       0.045447         -2.105654e-10     
   0.001185       0.066417         -3.377564e-10     
   0.001185       0.091251         -5.013453e-10     
   0.001185       0.119882         -7.034008e-10     
   0.001185       0.152235         -9.454702e-10     
   0.001185       0.188220         -1.228604e-09     
   0.001185       0.227742         -1.553370e-09     
   0.001185       0.270694         -1.919853e-09     
   0.001185       0.316959         -2.327653e-09     
   0.001185       0.366414         -2.775863e-09     
   0.001185       0.418925         -3.263053e-09     
   0.001185       0.474351         -3.787226e-09     
   0.001185       0.532541         -4.345784e-09     
   0.001185       0.593339         -4.935476e-09     
   0.001185       0.656582         -5.552355e-09     
   0.001185       0.722098         -6.191736e-09     
   0.001185       0.789711         -6.848173e-09     
   0.001185       0.859239         -7.515467e-09     
   0.001185       0.930495         -8.186706e-09     
   0.001185       1.003286         -8.854359e-09     
   0.001185       1.077416         -9.510426e-09     
   0.001185       1.152685         -1.014665e-08     
   0.001185       1.228890         -1.075481e-08     
   0.001185       1.305826         -1.132698e-08     
   0.001185       1.383286         -1.185598e-08     
   0.001185       1.461060         -1.233559e-08     
   0.001185       1.538940         4.595526e-07      
   0.001185       1.616714         4.429527e-07      
   0.001185       1.694174         4.163841e-07      
   0.001185       1.771110         3.805149e-07      
   0.001185       1.847315         3.364680e-07      
   0.001185       1.922584         2.857472e-07      
   0.001185       1.996714         2.301333e-07      
   0.001185       2.069505         1.715622e-07      
   0.001185       2.140761         1.119963e-07      
   0.001185       2.210289         5.330427e-08      
   0.001185       2.277902         -2.842256e-09     
   0.001185       2.343418         -5.504350e-08     
   0.001185       2.406661         -1.022172e-07     
   0.001185       2.467459         -1.436118e-07     
   0.001185       2.525649         -1.787939e-07     
   0.001185       2.581075         -2.076132e-07     
   0.001185       2.633586         -2.301530e-07     
   0.001185       2.683041         -2.466750e-07     
   0.001185       2.729306         -2.575611e-07     
   0.001185       2.772258         -2.632598e-07     
   0.001185       2.811780         -2.642383e-07     
   0.001185       2.847765         -2.609407e-07     
   0.001185       2.880118         -2.537527e-07     
   0.001185       2.908749         -2.429685e-07     
   0.001185       2.933583         -2.287542e-07     
   0.001185       2.954553         -2.110948e-07     
   0.001185       2.971601         -1.896973e-07     
   0.001185       2.984682         -1.637660e-07     
   0.001185       2.993761         -1.313424e-07     
   0.001185       2.998815         -8.633145e-08     
   0.001185       3.004739         -1.731106e-07     
   0.001185       3.024957         -2.661166e-07     
   0.001185       3.061273         -3.372024e-07     
   0.001185       3.113597         -3.976580e-07     
   0.001185       3.181789         -4.491793e-07     
   0.001185       3.265666         -4.902157e-07     
   0.001185       3.365002         -5.179652e-07     
   0.001185       3.479529         -5.296901e-07     
   0.001185       3.608938         -5.237394e-07     
   0.001185       3.752880         -5.001601e-07     
   0.001185       3.910968         -4.607906e-07     
   0.001185       4.082775         -4.089231e-07     
   0.001185       4.267838         -3.487658e-07     
   0.001185       4.465657         -2.848897e-07     
   0.001185       4.675701         -2.217165e-07     
   0.001185       4.897402         -1.630574e-07     
   0.001185       5.130163         -1.117582e-07     
   0.001185       5.373356         -6.951554e-08     
   0.001185       5.626327         -3.688404e-08     
   0.001185       5.888392         -1.344352e-08     
   0.001185       6.158845         1.933595e-09      
   0.001185       6.436958         1.078016e-08      
   0.001185       6.721980         1.475369e-08      
   0.001185       7.013143         1.541568e-08      
   0.001185       7.309662         1.408823e-08      
   0.001185       7.610739         1.178641e-08      
   0.001185       7.915560         9.214236e-09      
   0.001185       8.223305         6.802015e-09      
   0.001185       8.533144         4.767065e-09      
   0.001185       8.844241         3.177890e-09      
   0.001185       9.155759         2.012962e-09      
   0.001185       9.466856         1.205625e-09      
