#       k             kp                 O11                    O12                    O21                    O22          
   0.000973       0.000973         -9.690467e-33          -1.756480e-25          1.756480e-25           -3.699426e-48     
   0.000973       0.005125         4.201173e-17           3.131457e-21           1.169646e-22           -2.168535e-23     
   0.000973       0.012579         7.996961e-16           3.693130e-19           2.203045e-21           -1.081140e-28     
   0.000973       0.023314         5.939374e-15           9.463947e-18           1.631565e-20           -7.993775e-28     
   0.000973       0.037292         2.721583e-14           1.112433e-16           7.450906e-20           -3.567531e-27     
   0.000973       0.054469         9.261522e-14           8.088914e-16           2.520749e-19           -1.149039e-26     
   0.000973       0.074787         2.572845e-13           4.238554e-15           6.936244e-19           -2.891092e-26     
   0.000973       0.098178         6.163795e-13           1.748682e-14           1.637807e-18           -5.798107e-26     
   0.000973       0.124565         1.318310e-12           6.006411e-14           3.430890e-18           -8.889338e-26     
   0.000973       0.153859         2.576258e-12           1.783052e-13           6.517404e-18           -7.907135e-26     
   0.000973       0.185965         4.675469e-12           4.696135e-13           1.139812e-17           8.310110e-26      
   0.000973       0.220775         7.973817e-12           1.118506e-12           1.855367e-17           6.318037e-25      
   0.000973       0.258173         1.289376e-11           2.444023e-12           2.834524e-17           1.989546e-24      
   0.000973       0.298036         1.990491e-11           4.954505e-12           4.091675e-17           4.828208e-24      
   0.000973       0.340231         2.949801e-11           9.401867e-12           5.613000e-17           1.009130e-23      
   0.000973       0.384617         4.215227e-11           1.682485e-11           7.355263e-17           -1.109828e-17     
   0.000973       0.431047         5.829924e-11           2.857038e-11           9.251652e-17           -1.745877e-17     
   0.000973       0.479368         7.828600e-11           4.628476e-11           1.122146e-16           -2.603343e-17     
   0.000973       0.529418         1.023406e-10           7.187095e-11           1.318179e-16           -3.700668e-17     
   0.000973       0.581031         1.305413e-10           1.074136e-10           1.505782e-16           -5.041112e-17     
   0.000973       0.634036         1.627919e-10           1.550781e-10           1.678753e-16           -6.612776e-17     
   0.000973       0.688256         1.988037e-10           2.169918e-10           1.832990e-16           -8.388359e-17     
   0.000973       0.743512         2.380861e-10           2.951184e-10           1.966127e-16           -1.032924e-16     
   0.000973       0.799621         2.799475e-10           3.911331e-10           2.077284e-16           -1.238929e-16     
   0.000973       0.856395         3.235082e-10           5.063074e-10           2.166320e-16           -1.452015e-16     
   0.000973       0.913645         3.677252e-10           6.414094e-10           2.234962e-16           -6.220301e-22     
   0.000973       0.971183         4.114294e-10           7.966247e-10           2.284780e-16           -1.218984e-21     
   0.000973       1.028817         4.533746e-10           9.715012e-10           -1.831242e-22          -2.104771e-21     
   0.000973       1.086355         4.922938e-10           1.164920e-09           -6.195944e-22          -3.352315e-21     
   0.000973       1.143605         5.269609e-10           1.375093e-09           -1.126417e-21          -5.034437e-21     
   0.000973       1.200379         5.562527e-10           1.599585e-09           -1.685369e-21          -7.218438e-21     
   0.000973       1.256488         5.792068e-10           1.835369e-09           -2.271469e-21          -9.960215e-21     
   0.000973       1.311744         5.950715e-10           2.078887e-09           -2.854275e-21          -1.329840e-20     
   0.000973       1.365964         6.033438e-10           2.326148e-09           -3.399805e-21          -1.724903e-20     
   0.000973       1.418969         6.037934e-10           2.572825e-09           -3.872945e-21          -2.180108e-20     
   0.000973       1.470582         5.964709e-10           2.814367e-09           -4.240140e-21          -2.691336e-20     
   0.000973       1.520632         5.817010e-10           3.046109e-09           -4.472132e-21          -3.251294e-20     
   0.000973       1.568953         5.600609e-10           3.263384e-09           -4.546490e-21          -3.849519e-20     
   0.000973       1.615383         5.323465e-10           3.461622e-09           -4.449704e-21          -4.472552e-20     
   0.000973       1.659769         4.995294e-10           3.636437e-09           -4.178639e-21          -5.104274e-20     
   0.000973       1.701964         4.627064e-10           3.783695e-09           -3.741219e-21          -5.726368e-20     
   0.000973       1.741827         4.230471e-10           3.899565e-09           -3.156279e-21          -6.318884e-20     
   0.000973       1.779225         3.817400e-10           3.980538e-09           -2.452587e-21          -6.860872e-20     
   0.000973       1.814035         3.399412e-10           4.023422e-09           -1.667158e-21          -7.331021e-20     
   0.000973       1.846141         2.987269e-10           4.025295e-09           -8.429654e-22          -7.708263e-20     
   0.000973       1.875435         2.590513e-10           3.983422e-09           -2.629376e-23          -7.972284e-20     
   0.000973       1.901822         2.217091e-10           3.895101e-09           7.360795e-22           -8.103843e-20     
   0.000973       1.925213         1.873029e-10           3.757408e-09           1.399605e-21           -8.084802e-20     
   0.000973       1.945531         1.562113e-10           3.566770e-09           1.924324e-21           -7.897666e-20     
   0.000973       1.962708         1.285546e-10           3.318185e-09           2.276555e-21           -7.524180e-20     
   0.000973       1.976686         1.041391e-10           3.003663e-09           2.429341e-21           -6.941991e-20     
   0.000973       1.987421         8.234624e-11           2.608579e-09           2.360361e-21           -6.116284e-20     
   0.000973       1.994875         6.181659e-11           2.101039e-09           2.042446e-21           -4.974774e-20     
   0.000973       1.999027         3.906982e-11           1.384194e-09           1.396897e-21           -3.294702e-20     
   0.000973       2.001961         5.404370e-11           1.972112e-09           2.047027e-21           -4.714336e-20     
   0.000973       2.010330         7.615455e-11           3.038385e-09           3.406541e-21           -7.352093e-20     
   0.000973       2.025365         8.080266e-11           3.873111e-09           4.927009e-21           -9.570770e-20     
   0.000973       2.047037         6.877727e-11           4.630107e-09           6.931691e-21           -1.178388e-19     
   0.000973       2.075299         3.821224e-11           5.367445e-09           9.688148e-21           -1.418281e-19     
