#       k             kp                 O11                    O12                    O21                    O22          
   0.000973       0.000973         -9.454940e-28          -3.491409e-19          3.491409e-19           -5.394632e-43     
   0.000973       0.005125         4.182037e-14           -1.154977e-16          2.873740e-18           -1.108852e-20     
   0.000973       0.012579         7.948262e-13           -1.945022e-15          9.960088e-18           -6.786435e-23     
   0.000973       0.023314         5.894499e-12           -1.033556e-14          2.858064e-17           -4.994110e-22     
   0.000973       0.037292         2.697556e-11           -6.214872e-15          7.890630e-17           -2.253369e-21     
   0.000973       0.054469         9.170752e-11           2.399064e-13           2.071998e-16           -7.438906e-21     
   0.000973       0.074787         2.546249e-10           1.875410e-12           5.014940e-16           -1.957166e-20     
   0.000973       0.098178         6.100359e-10           8.945581e-12           1.106272e-15           -4.278669e-20     
   0.000973       0.124565         1.305777e-09           3.289483e-11           2.230237e-15           -7.869602e-20     
   0.000973       0.153859         2.556108e-09           1.012699e-10           4.140100e-15           -1.191260e-19     
   0.000973       0.185965         4.651712e-09           2.723811e-10           7.134643e-15           -1.329634e-19     
   0.000973       0.220775         7.964680e-09           6.570638e-10           1.149822e-14           -4.628593e-20     
   0.000973       0.258173         1.294665e-08           1.447188e-09           1.744067e-14           2.825871e-19      
   0.000973       0.298036         2.011887e-08           2.948315e-09           2.503847e-14           1.087118e-18      
   0.000973       0.340231         3.005384e-08           5.611506e-09           3.419593e-14           2.703426e-18      
   0.000973       0.384617         4.334913e-08           1.005754e-08           4.463804e-14           -6.861352e-15     
   0.000973       0.431047         6.059449e-08           1.708659e-08           5.594558e-14           -1.078856e-14     
   0.000973       0.479368         8.233389e-08           2.766793e-08           6.761283e-14           -1.607744e-14     
   0.000973       0.529418         1.090241e-07           4.290701e-08           7.911744e-14           -2.283607e-14     
   0.000973       0.581031         1.409917e-07           6.399080e-08           8.998156e-14           -3.107565e-14     
   0.000973       0.634036         1.783907e-07           9.211503e-08           9.980012e-14           -4.071022e-14     
   0.000973       0.688256         2.211633e-07           1.283990e-07           1.082906e-13           -5.155475e-14     
   0.000973       0.743512         2.690078e-07           1.737949e-07           1.152727e-13           -6.335057e-14     
   0.000973       0.799621         3.213573e-07           2.289984e-07           1.206549e-13           -7.578947e-14     
   0.000973       0.856395         3.773737e-07           2.943671e-07           1.243927e-13           -8.854759e-14     
   0.000973       0.913645         4.359593e-07           3.698543e-07           1.265586e-13           -1.970736e-16     
   0.000973       0.971183         4.957896e-07           4.549619e-07           1.272249e-13           -3.883767e-16     
   0.000973       1.028817         5.553665e-07           5.487196e-07           -1.028460e-15          -6.685646e-16     
   0.000973       1.086355         6.130897e-07           6.496924e-07           -1.585387e-15          -1.056347e-15     
   0.000973       1.143605         6.673410e-07           7.560188e-07           -2.216807e-15          -1.567905e-15     
   0.000973       1.200379         7.165760e-07           8.654790e-07           -2.909396e-15          -2.214788e-15     
   0.000973       1.256488         7.594136e-07           9.755899e-07           -3.644911e-15          -3.001967e-15     
   0.000973       1.311744         7.947154e-07           1.083720e-06           -4.401140e-15          -3.926303e-15     
   0.000973       1.365964         8.216471e-07           1.187217e-06           -5.153299e-15          -4.975694e-15     
   0.000973       1.418969         8.397164e-07           1.283536e-06           -5.875721e-15          -6.129020e-15     
   0.000973       1.470582         8.487842e-07           1.370359e-06           -6.543667e-15          -7.356968e-15     
   0.000973       1.520632         8.490486e-07           1.445696e-06           -7.135027e-15          -8.623630e-15     
   0.000973       1.568953         8.410060e-07           1.507957e-06           -7.631738e-15          -9.888716e-15     
   0.000973       1.615383         8.253932e-07           1.555990e-06           -8.020746e-15          -1.111010e-14     
   0.000973       1.659769         8.031177e-07           1.589088e-06           -8.294453e-15          -1.224638e-14     
   0.000973       1.701964         7.751846e-07           1.606958e-06           -8.450625e-15          -1.325926e-14     
