#        q                Q               total               1              \delta U         \delta U^2    

     0.001185          0.001762        2.768698e+08      2.768698e+08     -3.781291e+01      4.450720e+01   
     0.001185          0.009274        1.073616e+08      1.073616e+08     -2.413130e+01      3.889479e+01   
     0.001185          0.022740        5.145174e+07      5.145173e+07     -1.706674e+01      3.001018e+01   
     0.001185          0.042083        2.970233e+07      2.970232e+07     -1.320878e+01      2.370633e+01   
     0.001185          0.067187        1.904412e+07      1.904412e+07     -1.073314e+01      1.937503e+01   
     0.001185          0.097901        1.307361e+07      1.307360e+07     -8.958062e+00      1.625276e+01   
     0.001185          0.134040        9.478250e+06      9.478244e+06     -7.687921e+00      1.394980e+01   
     0.001185          0.175388        7.205438e+06      7.205433e+06     -6.818441e+00      1.220771e+01   
     0.001185          0.221694        5.504512e+06      5.504508e+06     -6.017120e+00      1.084789e+01   
     0.001185          0.272682        4.284864e+06      4.284860e+06     -5.281176e+00      9.712253e+00   
     0.001185          0.328043        3.455030e+06      3.455026e+06     -4.825494e+00      8.803955e+00   
     0.001185          0.387446        2.887690e+06      2.887686e+06     -4.396807e+00      8.066550e+00   
     0.001185          0.450533        2.400186e+06      2.400182e+06     -3.994292e+00      7.387465e+00   
     0.001185          0.516924        2.084958e+06      2.084955e+06     -3.802591e+00      7.006432e+00   
     0.001185          0.586221        1.714968e+06      1.714965e+06     -3.437788e+00      6.434549e+00   
     0.001185          0.658006        1.477118e+06      1.477115e+06     -3.264479e+00      6.134303e+00   
     0.001185          0.731848        1.263491e+06      1.263488e+06     -2.935532e+00      5.675130e+00   
     0.001185          0.807302        1.079772e+06      1.079769e+06     -2.779689e+00      5.406989e+00   
     0.001185          0.883916        9.690431e+05      9.690406e+05     -2.629460e+00      5.185884e+00   
     0.001185          0.961228        8.679419e+05      8.679395e+05     -2.484744e+00      4.968246e+00   
     0.001185          1.038772        7.757866e+05      7.757842e+05     -2.345438e+00      4.733002e+00   
     0.001185          1.116084        6.919323e+05      6.919300e+05     -2.211438e+00      4.510655e+00   
     0.001185          1.192698        6.157701e+05      6.157679e+05     -2.082641e+00      4.307582e+00   
     0.001185          1.268152        5.467247e+05      5.467226e+05     -1.958945e+00      4.112231e+00   
     0.001185          1.341994        4.842541e+05      4.842521e+05     -1.840246e+00      3.921944e+00   
     0.001185          1.413779        4.278477e+05      4.278457e+05     -1.726441e+00      3.710352e+00   
     0.001185          1.483076        3.770250e+05      3.770231e+05     -1.617428e+00      3.516851e+00   
     0.001185          1.549467        3.751890e+05      3.751872e+05     -1.617428e+00      3.449109e+00   
     0.001185          1.612554        3.313351e+05      3.313333e+05     -1.513103e+00      3.243219e+00   
     0.001185          1.671957        2.903546e+05      2.903530e+05     -1.413363e+00      3.025756e+00   
     0.001185          1.727318        2.607832e+05      2.607816e+05     -1.318105e+00      2.838010e+00   
     0.001185          1.778306        2.536869e+05      2.536855e+05     -1.318105e+00      2.760382e+00   
