#        A               a_2        

        4              2.753676     
        9              3.577880     
        12             3.671174     
        16             3.588913     
        27             4.425423     
        40             4.136388     
        48             4.290994     
        56             4.509630     
        63             4.401497     
       197             4.726661     
       208             4.712873     
