       # p        I+\delta U^\dagger        I          \delta U^\dagger 
   3.348513e-01      4.618565e+03      5.054446e+03     -4.358809e+02   
   3.512751e-01      4.619347e+03      5.054446e+03     -4.350989e+02   
   3.679698e-01      4.444612e+03      4.877109e+03     -4.324973e+02   
   3.849242e-01      4.445533e+03      4.877109e+03     -4.315757e+02   
   4.021267e-01      4.275250e+03      4.703970e+03     -4.287199e+02   
   4.195657e-01      4.109494e+03      4.534977e+03     -4.254829e+02   
   4.372292e-01      4.110551e+03      4.534977e+03     -4.244258e+02   
   4.551053e-01      3.949374e+03      4.370081e+03     -4.207068e+02   
   4.731819e-01      3.950604e+03      4.370081e+03     -4.194766e+02   
   4.914466e-01      3.793799e+03      4.209232e+03     -4.154328e+02   
   5.098871e-01      3.795244e+03      4.209232e+03     -4.139874e+02   
   5.284907e-01      3.642942e+03      4.052378e+03     -4.094362e+02   
   5.472449e-01      3.644404e+03      4.052378e+03     -4.079741e+02   
   5.661369e-01      3.496673e+03      3.899470e+03     -4.027979e+02   
   5.851539e-01      3.498158e+03      3.899470e+03     -4.013128e+02   
   6.042829e-01      3.354871e+03      3.750458e+03     -3.955876e+02   
   6.235109e-01      3.356514e+03      3.750458e+03     -3.939448e+02   
   6.428249e-01      3.217550e+03      3.605292e+03     -3.877421e+02   
   6.622118e-01      3.219292e+03      3.605292e+03     -3.859994e+02   
   6.816583e-01      3.084747e+03      3.463920e+03     -3.791733e+02   
   7.011513e-01      3.086460e+03      3.463920e+03     -3.774605e+02   
   7.206775e-01      2.956265e+03      3.326293e+03     -3.700283e+02   
   7.402236e-01      2.958068e+03      3.326293e+03     -3.682249e+02   
   7.597764e-01      2.832031e+03      3.192361e+03     -3.603296e+02   
   7.793225e-01      2.833903e+03      3.192361e+03     -3.584579e+02   
   7.988487e-01      2.712063e+03      3.062073e+03     -3.500096e+02   
   8.183417e-01      2.713891e+03      3.062073e+03     -3.481813e+02   
   8.377882e-01      2.596146e+03      2.935379e+03     -3.392322e+02   
   8.571751e-01      2.598008e+03      2.935379e+03     -3.373709e+02   
   8.764891e-01      2.484185e+03      2.812228e+03     -3.280433e+02   
   8.957171e-01      2.486047e+03      2.812228e+03     -3.261812e+02   
   9.148461e-01      2.376120e+03      2.692571e+03     -3.164512e+02   
   9.338631e-01      2.269964e+03      2.576357e+03     -3.063931e+02   
   9.527551e-01      2.271747e+03      2.576357e+03     -3.046104e+02   
   9.715093e-01      2.169258e+03      2.463536e+03     -2.942784e+02   
   9.901129e-01      2.170986e+03      2.463536e+03     -2.925506e+02   
   1.008553e+00      2.072007e+03      2.354058e+03     -2.820508e+02   
   1.026818e+00      1.976509e+03      2.247872e+03     -2.713633e+02   
   1.044895e+00      1.978124e+03      2.247872e+03     -2.697486e+02   
   1.062771e+00      1.885896e+03      2.144929e+03     -2.590323e+02   
   1.080434e+00      1.796932e+03      2.045177e+03     -2.482445e+02   
   1.097873e+00      1.711096e+03      1.948567e+03     -2.374708e+02   
   1.115076e+00      1.628284e+03      1.855048e+03     -2.267640e+02   
   1.132030e+00      1.548415e+03      1.764570e+03     -2.161547e+02   
   1.148725e+00      1.549690e+03      1.764570e+03     -2.148798e+02   
   1.165149e+00      1.397094e+03      1.592536e+03     -1.954421e+02   
   1.181290e+00      1.325476e+03      1.510880e+03     -1.854041e+02   
   1.197139e+00      1.256444e+03      1.432064e+03     -1.756196e+02   
   1.212683e+00      1.026877e+03      1.171186e+03     -1.443085e+02   
   1.227913e+00      2.933785e+02      3.348938e+02     -4.151531e+01   
   1.242818e+00      1.116350e+01      1.271717e+01     -1.553665e+00   
   1.257389e+00      6.312052e+00      7.162831e+00     -8.507788e-01   
   1.271614e+00      4.528630e+00      5.127079e+00     -5.984489e-01   
   1.285485e+00      3.114961e+00      3.518584e+00     -4.036232e-01   
   1.298992e+00      1.228102e+00      1.382301e+00     -1.541985e-01   
   1.312126e+00      6.711295e-01      7.539822e-01     -8.285276e-02   
   1.324877e+00      1.121297e-01      1.256637e-01     -1.353404e-02   
   1.337238e+00      0.000000e+00      0.000000e+00      0.000000e+00   
   1.349200e+00      0.000000e+00      0.000000e+00      0.000000e+00   
   1.360755e+00      0.000000e+00      0.000000e+00      0.000000e+00   
   1.371894e+00      0.000000e+00      0.000000e+00      0.000000e+00   
   1.382611e+00      0.000000e+00      0.000000e+00      0.000000e+00   
   1.392898e+00      0.000000e+00      0.000000e+00      0.000000e+00   
   1.402748e+00      0.000000e+00      0.000000e+00      0.000000e+00   
   1.412154e+00      0.000000e+00      0.000000e+00      0.000000e+00   
