       # p        I+\delta U^\dagger        I          \delta U^\dagger 
   1.493508e-04      3.933801e+04      3.936943e+04     -3.142366e+01   
   7.868087e-04      2.222537e+04      2.225678e+04     -3.140653e+01   
   1.933190e-03      1.536854e+04      1.539996e+04     -3.142598e+01   
   3.587970e-03      1.189658e+04      1.192800e+04     -3.142122e+01   
   5.750055e-03      9.528558e+03      9.559992e+03     -3.143367e+01   
   8.417983e-03      7.974580e+03      8.006010e+03     -3.142914e+01   
   1.158994e-02      6.816206e+03      6.847642e+03     -3.143599e+01   
   1.526378e-02      5.974415e+03      6.005846e+03     -3.143071e+01   
   1.943700e-02      5.204594e+03      5.236030e+03     -3.143525e+01   
   2.410676e-02      4.672540e+03      4.703970e+03     -3.142986e+01   
   2.926990e-02      4.177800e+03      4.209232e+03     -3.143184e+01   
   3.492289e-02      3.719033e+03      3.750458e+03     -3.142522e+01   
   4.106191e-02      3.432495e+03      3.463920e+03     -3.142550e+01   
   4.768277e-02      3.160943e+03      3.192361e+03     -3.141787e+01   
   5.478098e-02      2.903965e+03      2.935379e+03     -3.141397e+01   
   6.235172e-02      2.661166e+03      2.692571e+03     -3.140479e+01   
   7.038983e-02      2.432142e+03      2.463536e+03     -3.139481e+01   
   7.888985e-02      2.216491e+03      2.247872e+03     -3.138164e+01   
   8.784601e-02      2.113561e+03      2.144929e+03     -3.136733e+01   
   9.725222e-02      1.917217e+03      1.948567e+03     -3.134937e+01   
   1.071021e-01      1.823722e+03      1.855048e+03     -3.132597e+01   
   1.173889e-01      1.733262e+03      1.764570e+03     -3.130801e+01   
   1.281057e-01      1.645805e+03      1.677083e+03     -3.127726e+01   
   1.392452e-01      1.561285e+03      1.592536e+03     -3.125105e+01   
   1.507998e-01      1.400871e+03      1.432064e+03     -3.119284e+01   
   1.627616e-01      1.324883e+03      1.356037e+03     -3.115360e+01   
   1.751226e-01      1.251653e+03      1.282750e+03     -3.109730e+01   
   1.878744e-01      1.181112e+03      1.212152e+03     -3.104052e+01   
   2.010081e-01      1.181145e+03      1.212152e+03     -3.100678e+01   
   2.145151e-01      1.113258e+03      1.144193e+03     -3.093504e+01   
