#   K       RHOKS         RHOKD         RHOK
# ****  *************  **********  *************
 11.4     1.9609E-8   3.1471E-9      2.2756E-8
 11.5     1.6341E-8   2.4539E-9      1.8795E-8
 11.6     1.3552E-8   1.8887E-9      1.544E-8
 11.7     1.1183E-8   1.4324E-9      1.2615E-8
 11.8     9.1815E-9   1.0676E-9      1.0249E-8
 11.9     7.4985E-9   7.7957E-10     8.2781E-9
 12       6.0906E-9   5.5518E-10     6.6457E-9
 12.1     4.9187E-9   3.8325E-10     5.3019E-9
 12.2     3.9485E-9   2.5416E-10     4.2026E-9
 12.3     3.1495E-9   1.597E-10      3.3092E-9
 12.4     2.4953E-9   9.2943E-11     2.5882E-9
 12.5     1.9627E-9   4.8055E-11     2.0108E-9
 12.6     1.5318E-9   2.0181E-11     1.552E-9
 12.7     1.1854E-9   5.3007E-12     1.1908E-9
 12.8     9.0895E-10  1.1848E-13     9.0907E-10
 12.9     6.8985E-10  1.9577E-12     6.9181E-10
 13       5.1763E-10  8.6678E-12     5.263E-10
 13.1     3.8344E-10  1.8542E-11     4.0198E-10
 13.2     2.799E-10   3.0247E-11     3.1014E-10
 13.3     2.0086E-10  4.2758E-11     2.4362E-10
 13.4     1.4128E-10  5.5304E-11     1.9658E-10
 13.5     9.7E-11     6.7324E-11     1.6432E-10
 13.6     6.4645E-11  7.8424E-11     1.4307E-10
 13.7     4.1483E-11  8.8347E-11     1.2983E-10
 13.8     2.5323E-11  9.694E-11      1.2226E-10
 13.9     1.4421E-11  1.0413E-10     1.1855E-10
 14       7.4023E-12  1.0992E-10     1.1732E-10
 14.1     3.193E-12   1.1433E-10     1.1753E-10
 14.2     9.6472E-13  1.1745E-10     1.1842E-10
 14.3     8.6342E-14  1.1937E-10     1.1946E-10
 14.4     8.4154E-14  1.2019E-10     1.2028E-10
 14.5     6.0927E-13  1.2004E-10     1.2065E-10
 14.6     1.4105E-12  1.1903E-10     1.2044E-10
 14.7     2.3122E-12  1.1727E-10     1.1958E-10
 14.8     3.1967E-12  1.1489E-10     1.1808E-10
 14.9     3.9897E-12  1.1198E-10     1.1597E-10
 15       4.6489E-12  1.0864E-10     1.1329E-10
 15.1     5.155E-12   1.0497E-10     1.1013E-10
 15.2     5.5051E-12  1.0105E-10     1.0656E-10
 15.3     5.7068E-12  9.6946E-11     1.0265E-10
 15.4     5.7744E-12  9.2724E-11     9.8499E-11
 15.5     5.7259E-12  8.8439E-11     9.4165E-11
 15.6     5.5809E-12  8.414E-11      8.9721E-11
 15.7     5.359E-12   7.9866E-11     8.5226E-11
 15.8     5.0787E-12  7.5653E-11     8.0732E-11
 15.9     4.757E-12   7.1526E-11     7.6283E-11
 16       4.4085E-12  6.7509E-11     7.1918E-11
 16.1     4.0463E-12  6.362E-11      6.7666E-11
 16.2     3.6807E-12  5.9872E-11     6.3552E-11
 16.3     3.3204E-12  5.6274E-11     5.9594E-11
 16.4     2.972E-12   5.2833E-11     5.5805E-11
 16.5     2.6405E-12  4.9554E-11     5.2194E-11
 16.6     2.3295E-12  4.6437E-11     4.8767E-11
 16.7     2.0411E-12  4.3483E-11     4.5524E-11
 16.8     1.7766E-12  4.0689E-11     4.2466E-11
 16.9     1.5364E-12  3.8053E-11     3.959E-11
 17       1.3203E-12  3.5571E-11     3.6891E-11
 17.1     1.1275E-12  3.3237E-11     3.4365E-11
 17.2     9.5683E-13  3.1046E-11     3.2003E-11
 17.3     8.0688E-13  2.8992E-11     2.9799E-11
 17.4     6.7612E-13  2.7069E-11     2.7745E-11
 17.5     5.6288E-13  2.527E-11      2.5833E-11
 17.6     4.6549E-13  2.359E-11      2.4056E-11
 17.7     3.8231E-13  2.2021E-11     2.2403E-11
 17.8     3.1175E-13  2.0558E-11     2.0869E-11
 17.9     2.5231E-13  1.9193E-11     1.9445E-11
 18       2.0258E-13  1.7922E-11     1.8124E-11
 18.1     1.6127E-13  1.6738E-11     1.6899E-11
 18.2     1.2721E-13  1.5635E-11     1.5762E-11
 18.3     9.9341E-14  1.4609E-11     1.4708E-11
 18.4     7.6727E-14  1.3654E-11     1.3731E-11
 18.5     5.8534E-14  1.2766E-11     1.2824E-11
 18.6     4.404E-14   1.1939E-11     1.1983E-11
 18.7     3.2611E-14  1.1171E-11     1.1203E-11
 18.8     2.3703E-14  1.0455E-11     1.0479E-11
 18.9     1.685E-14   9.7899E-12     9.8067E-12
 19       1.166E-14   9.1706E-12     9.1823E-12
 19.1     7.802E-15   8.5943E-12     8.6021E-12
 19.2     4.9964E-15  8.0578E-12     8.0628E-12
 19.3     3.015E-15   7.5584E-12     7.5614E-12
 19.4     1.6694E-15  7.0932E-12     7.0948E-12
 19.5     8.0661E-16  6.6598E-12     6.6606E-12
 19.6     3.0303E-16  6.2558E-12     6.2561E-12
 19.7     6.0065E-17  5.8792E-12     5.8793E-12
 19.8     4.6359E-19  5.528E-12      5.528E-12
 19.9     6.3939E-17  5.2003E-12     5.2003E-12
 20       2.0441E-16  4.8943E-12     4.8945E-12
