#       k             kp                 O11                    O12                    O21                    O22          
   0.001947       7.030747         2.121031e-05           3.539358e-05           -9.999457e-13          -1.429507e-12     
   0.001947       7.435859         1.798134e-05           3.808969e-05           -8.209032e-13          -1.540747e-12     
   0.001947       7.862313         1.431902e-05           3.987815e-05           -6.351663e-13          -1.616717e-12     
   0.001947       8.309157         1.026487e-05           4.013721e-05           -4.430977e-13          -1.635594e-12     
   0.001947       8.775393         6.118917e-06           3.832075e-05           -2.557713e-13          -1.579392e-12     
   0.001947       9.259982         2.444304e-06           3.439818e-05           -9.449195e-14          -1.450758e-12     
   0.001947       9.761842         -1.745360e-07          2.954483e-05           1.943260e-14           -1.302156e-12     
   0.001947       10.279853        -1.605086e-06          2.679665e-05           8.454496e-14           -1.275739e-12     
   0.001947       10.812859        -2.435653e-06          3.098102e-05           1.318197e-13           -1.639239e-12     
   0.001947       11.359671        -5.718477e-07          8.092764e-06           3.188134e-14           -4.457437e-13     
   0.001947       11.919069        -1.797822e-09          4.498227e-08           1.124543e-16           -2.415611e-15     
   0.001947       12.489804        3.635026e-12           1.692144e-10           -3.793386e-20          -8.262140e-18     
   0.001947       13.070603        1.451655e-14           2.923955e-13           -4.326272e-22          -1.348104e-20     
   0.001947       13.660171        3.641091e-18           5.789605e-17           -1.204721e-25          -2.574462e-24     
   0.001947       14.257191        3.748204e-23           5.395177e-22           -1.289395e-30          -2.339108e-29     
   0.001947       14.860331        6.269532e-30           8.625112e-29           -2.200034e-37          -3.669466e-36     
   0.001947       15.468245        5.146403e-39           6.947120e-38           -1.827489e-46          -2.912317e-45     
   0.001947       16.079578        4.737237e-51           6.363686e-50           -1.695410e-58          -2.636231e-57     
   0.001947       16.692964        8.233956e-67           1.109457e-65           -2.963181e-74          -4.551238e-73     
   0.001947       17.307036        3.268179e-87           4.436977e-86           -1.180976e-94          -1.805231e-93     
   0.001947       17.920422        2.523604e-113          3.460845e-112         -9.148300e-121         -1.398248e-119     
   0.001947       18.531755        2.254976e-146          3.127942e-145         -8.195392e-154         -1.256143e-152     
   0.001947       19.139669        9.734288e-188          1.366552e-186         -3.545226e-195         -5.459191e-194     
   0.001947       19.742809        6.086138e-239          8.647936e-238         -2.220486e-246         -3.438900e-245     
   0.001947       20.339829        1.239773e-301          1.782685e-300         -4.530065e-309         -7.060315e-308     
   0.001947       20.929397        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.001947       21.510196        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.001947       22.080931        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.001947       22.640329        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.001947       23.187141        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.001947       23.720147        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.001947       24.238158        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.001947       24.740018        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.001947       25.224607        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.001947       25.690843        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.001947       26.137687        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
