#       k             kp                  U           
   0.006239       1.922584         6.070201e-06      
   0.006239       1.996714         3.780204e-06      
   0.006239       2.069505         1.800830e-06      
   0.006239       2.140761         1.162273e-07      
   0.006239       2.210289         -1.298104e-06     
   0.006239       2.277902         -2.469113e-06     
   0.006239       2.343418         -3.423273e-06     
   0.006239       2.406661         -4.185467e-06     
   0.006239       2.467459         -4.778648e-06     
   0.006239       2.525649         -5.223738e-06     
   0.006239       2.581075         -5.539596e-06     
   0.006239       2.633586         -5.743003e-06     
   0.006239       2.683041         -5.848676e-06     
   0.006239       2.729306         -5.869298e-06     
   0.006239       2.772258         -5.815563e-06     
   0.006239       2.811780         -5.696214e-06     
   0.006239       2.847765         -5.518044e-06     
   0.006239       2.880118         -5.285847e-06     
   0.006239       2.908749         -5.002238e-06     
   0.006239       2.933583         -4.667263e-06     
   0.006239       2.954553         -4.277560e-06     
   0.006239       2.971601         -3.824526e-06     
   0.006239       2.984682         -3.289857e-06     
   0.006239       2.993761         -2.632305e-06     
   0.006239       2.998815         -1.728038e-06     
   0.006239       3.004739         -3.460080e-06     
   0.006239       3.024957         -5.295038e-06     
   0.006239       3.061273         -6.664053e-06     
   0.006239       3.113597         -7.804221e-06     
   0.006239       3.181789         -8.775089e-06     
   0.006239       3.265666         -9.581883e-06     
   0.006239       3.365002         -1.020752e-05     
   0.006239       3.479529         -1.062779e-05     
   0.006239       3.608938         -1.082121e-05     
   0.006239       3.752880         -1.077562e-05     
   0.006239       3.910968         -1.049226e-05     
   0.006239       4.082775         -9.987112e-06     
   0.006239       4.267838         -9.290000e-06     
   0.006239       4.465657         -8.441704e-06     
   0.006239       4.675701         -7.489897e-06     
   0.006239       4.897402         -6.484543e-06     
   0.006239       5.130163         -5.473494e-06     
   0.006239       5.373356         -4.498825e-06     
   0.006239       5.626327         -3.594266e-06     
   0.006239       5.888392         -2.783887e-06     
   0.006239       6.158845         -2.081937e-06     
   0.006239       6.436958         -1.493671e-06     
   0.006239       6.721980         -1.016829e-06     
   0.006239       7.013143         -6.434892e-07     
   0.006239       7.309662         -3.619754e-07     
   0.006239       7.610739         -1.586277e-07     
   0.006239       7.915560         -1.927217e-08     
   0.006239       8.223305         6.966982e-08      
   0.006239       8.533144         1.204402e-07      
   0.006239       8.844241         1.435337e-07      
   0.006239       9.155759         1.475535e-07      
   0.006239       9.466856         1.392621e-07      
   0.006239       9.776695         1.237579e-07      
   0.006239       10.084440        1.047188e-07      
   0.006239       10.389261        8.466788e-08      
   0.006239       10.690338        6.523089e-08      
   0.006239       10.986857        4.736538e-08      
   0.006239       11.278020        3.155385e-08      
   0.006239       11.563042        1.795792e-08      
   0.006239       11.841155        6.535982e-09      
   0.006239       12.111608        -2.870753e-09     
   0.006239       12.373673        -1.047838e-08     
   0.006239       12.626644        -1.652068e-08     
   0.006239       12.869837        -2.122481e-08     
   0.006239       13.102598        -2.479770e-08     
   0.006239       13.324299        -2.741991e-08     
   0.006239       13.534343        -2.924414e-08     
   0.006239       13.732162        -3.039643e-08     
   0.006239       13.917225        -3.097874e-08     
   0.006239       14.089032        -3.107196e-08     
   0.006239       14.247120        -3.073871e-08     
   0.006239       14.391062        -3.002568e-08     
   0.006239       14.520471        -2.896507e-08     
   0.006239       14.634998        -2.757499e-08     
   0.006239       14.734334        -2.585824e-08     
   0.006239       14.818211        -2.379825e-08     
   0.006239       14.886403        -2.134926e-08     
   0.006239       14.938727        -1.841160e-08     
   0.006239       14.975043        -1.475765e-08     
   0.006239       14.995261        -9.697503e-09     
   0.015318       0.001185         -1.614754e-09     
   0.015318       0.006239         -1.295373e-08     
   0.015318       0.015318         1.000000e+00      
   0.015318       0.028399         -8.440699e-08     
   0.015318       0.045447         -1.468116e-07     
   0.015318       0.066417         -2.209299e-07     
   0.015318       0.091251         -2.922760e-07     
   0.015318       0.119882         -3.339634e-07     
   0.015318       0.152235         -3.026656e-07     
   0.015318       0.188220         -1.349817e-07     
   0.015318       0.227742         2.550327e-07      
   0.015318       0.270694         9.763484e-07      
   0.015318       0.316959         2.158688e-06      
   0.015318       0.366414         3.946876e-06      
   0.015318       0.418925         6.491394e-06      
   0.015318       0.474351         9.934873e-06      
   0.015318       0.532541         1.439441e-05      
   0.015318       0.593339         1.993983e-05      
   0.015318       0.656582         2.656872e-05      
   0.015318       0.722098         3.418007e-05      
   0.015318       0.789711         4.255060e-05      
   0.015318       0.859239         5.131956e-05      
   0.015318       0.930495         5.999006e-05      
   0.015318       1.003286         6.795477e-05      
   0.015318       1.077416         7.455139e-05      
   0.015318       1.152685         7.914641e-05      
   0.015318       1.228890         8.123604e-05      
   0.015318       1.305826         8.054271e-05      
   0.015318       1.383286         7.707999e-05      
   0.015318       1.461060         7.116200e-05      
   0.015318       1.538940         6.334842e-05      
   0.015318       1.616714         5.433750e-05      
   0.015318       1.694174         4.483826e-05      
   0.015318       1.771110         3.545977e-05      
   0.015318       1.847315         2.664561e-05      
   0.015318       1.922584         1.866104e-05      
   0.015318       1.996714         1.162084e-05      
   0.015318       2.069505         5.535586e-06      
   0.015318       2.140761         3.565701e-07      
   0.015318       2.210289         -3.991531e-06     
   0.015318       2.277902         -7.591569e-06     
   0.015318       2.343418         -1.052494e-05     
   0.015318       2.406661         -1.286813e-05     
   0.015318       2.467459         -1.469173e-05     
   0.015318       2.525649         -1.606004e-05     
   0.015318       2.581075         -1.703105e-05     
   0.015318       2.633586         -1.765636e-05     
   0.015318       2.683041         -1.798119e-05     
   0.015318       2.729306         -1.804456e-05     
   0.015318       2.772258         -1.787933e-05     
   0.015318       2.811780         -1.751238e-05     
   0.015318       2.847765         -1.696460e-05     
   0.015318       2.880118         -1.625072e-05     
   0.015318       2.908749         -1.537878e-05     
   0.015318       2.933583         -1.434893e-05     
   0.015318       2.954553         -1.315083e-05     
   0.015318       2.971601         -1.175803e-05     
   0.015318       2.984682         -1.011425e-05     
   0.015318       2.993761         -8.092692e-06     
   0.015318       2.998815         -5.312635e-06     
   0.015318       3.004739         -1.063758e-05     
   0.015318       3.024957         -1.627892e-05     
   0.015318       3.061273         -2.048777e-05     
   0.015318       3.113597         -2.399305e-05     
   0.015318       3.181789         -2.697782e-05     
   0.015318       3.265666         -2.945817e-05     
   0.015318       3.365002         -3.138155e-05     
   0.015318       3.479529         -3.267360e-05     
   0.015318       3.608938         -3.326818e-05     
   0.015318       3.752880         -3.312800e-05     
   0.015318       3.910968         -3.225680e-05     
   0.015318       4.082775         -3.070379e-05     
   0.015318       4.267838         -2.856060e-05     
   0.015318       4.465657         -2.595263e-05     
   0.015318       4.675701         -2.302644e-05     
   0.015318       4.897402         -1.993563e-05     
   0.015318       5.130163         -1.682732e-05     
   0.015318       5.373356         -1.383086e-05     
