# 8He -- AV18+UX -- 03-May-13

# VMC 100k samples using 250 gauss points in r out to 25.00 fm

# K = momentum in 1/fm
# RHOKP = proton momentum distribution in fm**3
# DRHOKP = Monte Carlo error bar (1 sigma)
# RHOKN = neutron momentum distribution in fm**3
# DRHOKN = Monte Carlo error bar (1 sigma)

# Normalization
# 4*PI*TOTINT(RHOKN*K**2:K)/(2*PI)**3 =  6.0002
# 4*PI*TOTINT(RHOKP*K**2:K)/(2*PI)**3 =  2

# number above K = 2 fm**-1
# 4*PI*TOTINT(RHOKN(I)*K(I)**2:K(I))/(2*PI)**3 =  .20737
# 4*PI*TOTINT(RHOKP(I)*K(I)**2:K(I))/(2*PI)**3 =  .17032

# Kinetic energy
# .5*(HC**2/MN)*4*PI*TOTINT(RHOKN*K**4:K)/(2*PI)**3 = 116.06
# .5*(HC**2/MP)*4*PI*TOTINT(RHOKP*K**4:K)/(2*PI)**3 =  61.277
#                                                   = 177.34

# Kinetic energy above K =  2 fm**-1
# .5*(HC**2/MN)*4*PI*TOTINT(RHOKN(I)*K(I)**4:K(I))/(2*PI)**3 =  44.104
# .5*(HC**2/MP)*4*PI*TOTINT(RHOKP(I)*K(I)**4:K(I))/(2*PI)**3 =  35.205
#                                                            =  79.309
 
#  K      RHOKP       DRHOKP      RHOKN       DRHOKN
# ****  ***********  *********  ***********  *********
  5.8     .001384   1.895E-5      .0018896  3.0208E-5
  5.9     .0011208  1.6193E-5     .0015322  2.6304E-5
  6      9.034E-4   1.3989E-5     .0012322  2.3023E-5
  6.1    7.252E-4   1.2253E-5    9.884E-4   2.0252E-5
  6.2    5.798E-4   1.0887E-5    7.926E-4   1.7876E-5
  6.3    4.618E-4   9.7991E-6    6.33E-4    1.5839E-5
  6.4    3.662E-4   8.911E-6     5.034E-4   1.409E-5
  6.5    2.896E-4   8.1586E-6    3.99E-4    1.2594E-5
  6.6    2.28E-4    7.4925E-6    3.146E-4   1.1321E-5
  6.7    1.788E-4   6.8787E-6    2.476E-4   1.0229E-5
  6.8    1.3978E-4  6.2961E-6    1.9516E-4  9.2857E-6
  6.9    1.09E-4    5.7375E-6    1.539E-4   8.4499E-6
  7      8.494E-5   5.2001E-6    1.207E-4   7.6905E-6
  7.1    6.634E-5   4.6825E-6    9.436E-5   6.9763E-6
  7.2    5.214E-5   4.1889E-6    7.448E-5   6.2876E-6
  7.3    4.14E-5    3.7222E-6    5.944E-5   5.6187E-6
  7.4    3.338E-5   3.2852E-6    4.756E-5   4.971E-6
  7.5    2.74E-5    2.8793E-6    3.854E-5   4.3558E-6
  7.6    2.294E-5   2.5088E-6    3.206E-5   3.7887E-6
  7.7    1.9612E-5  2.1694E-6    2.726E-5   3.2739E-6
  7.8    1.7078E-5  1.8639E-6    2.37E-5    2.8171E-6
  7.9    1.5118E-5  1.591E-6     2.096E-5   2.4183E-6
  8      1.3572E-5  1.3483E-6    1.832E-5   2.0846E-6
  8.1    1.2326E-5  1.1394E-6    1.5962E-5  1.8116E-6
  8.2    1.1308E-5  9.6393E-7    1.4562E-5  1.5896E-6
  8.3    1.046E-5   8.2039E-7    1.3696E-5  1.3974E-6
  8.4    9.74E-6    7.0598E-7    1.2694E-5  1.2076E-6
  8.5    9.116E-6   6.1745E-7    1.186E-5   1.0174E-6
  8.6    8.562E-6   5.5168E-7    1.1668E-5  8.3651E-7
  8.7    8.062E-6   5.0374E-7    1.183E-5   7.0074E-7
  8.8    7.604E-6   4.6641E-7    1.1754E-5  6.2282E-7
  8.9    7.168E-6   4.3233E-7    1.1276E-5  5.8591E-7
  9      6.744E-6   3.9754E-7    1.0506E-5  5.7106E-7
  9.1    6.316E-6   3.6359E-7    9.488E-6   5.7106E-7
  9.2    5.874E-6   3.3602E-7    8.42E-6    5.8732E-7
  9.3    5.412E-6   3.1933E-7    7.558E-6   6.1207E-7
  9.4    4.93E-6    3.1396E-7    6.882E-6   6.1801E-7
  9.5    4.438E-6   3.1749E-7    6.374E-6   5.869E-7
  9.6    3.95E-6    3.2781E-7    6.046E-6   5.1916E-7
  9.7    3.49E-6    3.4365E-7    5.712E-6   4.4039E-7
  9.8    3.076E-6   3.619E-7     5.234E-6   4.0079E-7
  9.9    2.724E-6   3.7731E-7    4.606E-6   4.2384E-7
 10      2.434E-6   3.8509E-7    3.784E-6   4.7291E-7
