#        q              total               1              \delta U         \delta U^2    

     0.001185        1.185620e+08      1.185794e+08     -3.974528e+04      2.234427e+04   
     0.006239        3.014261e+07      3.014478e+07     -7.402151e+03      5.240450e+03   
     0.015318        1.277259e+07      1.277371e+07     -2.670590e+03      1.554306e+03   
     0.028399        6.498347e+06      6.499064e+06     -1.229903e+03      5.122994e+02   
     0.045447        3.624444e+06      3.624970e+06     -6.873311e+02      1.614249e+02   
     0.066417        2.299936e+06      2.300359e+06     -4.720402e+02      4.873436e+01   
     0.091251        1.405971e+06      1.406303e+06     -3.472469e+02      1.498595e+01   
     0.119882        1.025118e+06      1.025403e+06     -2.898687e+02      4.986852e+00   
     0.152235        7.344149e+05      7.346564e+05     -2.433407e+02      1.867407e+00   
     0.188220        5.159164e+05      5.161189e+05     -2.033811e+02      8.136832e-01   
     0.227742        3.545020e+05      3.546700e+05     -1.684901e+02      4.264433e-01   
     0.270694        2.722842e+05      2.724317e+05     -1.477383e+02      2.708389e-01   
     0.316959        2.066095e+05      2.067381e+05     -1.288488e+02      2.033025e-01   
     0.366414        1.547006e+05      1.548121e+05     -1.116935e+02      1.715556e-01   
     0.418925        1.331412e+05      1.332449e+05     -1.038606e+02      1.553981e-01   
     0.474351        9.746397e+04      9.755295e+04     -8.912625e+01      1.463337e-01   
     0.532541        7.013524e+04      7.021098e+04     -7.588067e+01      1.406125e-01   
     0.593339        5.907809e+04      5.914790e+04     -6.994355e+01      1.363613e-01   
     0.656582        4.127483e+04      4.133346e+04     -5.876180e+01      1.327349e-01   
     0.722098        3.421140e+04      3.426507e+04     -5.380592e+01      1.292059e-01   
     0.789711        2.307044e+04      2.311478e+04     -4.446435e+01      1.255124e-01   
     0.859239        1.875334e+04      1.879356e+04     -4.033818e+01      1.214303e-01   
     0.930495        1.211185e+04      1.214432e+04     -3.258980e+01      1.168962e-01   
     1.003286        7.557318e+03      7.583014e+03     -2.580789e+01      1.118204e-01   
     1.077416        4.528742e+03      4.548553e+03     -1.991720e+01      1.061541e-01   
     1.152685        2.586670e+03      2.601438e+03     -1.486795e+01      9.995548e-02   
     1.228890        9.973821e+02      1.006297e+03     -9.008154e+00      9.332724e-02   
     1.305826        2.079625e+02      2.118447e+02     -3.968603e+00      8.648836e-02   
     1.383286        5.624779e+00      6.190216e+00     -6.451685e-01      7.973194e-02   
     1.461060        7.331244e-02      0.000000e+00      0.000000e+00      7.331244e-02   
     1.538940        8.641825e+00      0.000000e+00      0.000000e+00      8.641825e+00   
     1.616714        4.413282e+00      0.000000e+00      0.000000e+00      4.413282e+00   
     1.694174        2.000830e+00      0.000000e+00      0.000000e+00      2.000830e+00   
     1.771110        7.487701e-01      0.000000e+00      0.000000e+00      7.487701e-01   
     1.847315        1.857505e-01      0.000000e+00      0.000000e+00      1.857505e-01   
     1.922584        9.763365e-03      0.000000e+00      0.000000e+00      9.763365e-03   
     1.996714        3.990695e-02      0.000000e+00      0.000000e+00      3.990695e-02   
     2.069505        1.705891e-01      0.000000e+00      0.000000e+00      1.705891e-01   
     2.140761        3.407304e-01      0.000000e+00      0.000000e+00      3.407304e-01   
     2.210289        5.158181e-01      0.000000e+00      0.000000e+00      5.158181e-01   
     2.277902        6.774966e-01      0.000000e+00      0.000000e+00      6.774966e-01   
     2.343418        8.172066e-01      0.000000e+00      0.000000e+00      8.172066e-01   
     2.406661        9.321806e-01      0.000000e+00      0.000000e+00      9.321806e-01   
     2.467459        1.022925e+00      0.000000e+00      0.000000e+00      1.022925e+00   
     2.525649        1.091655e+00      0.000000e+00      0.000000e+00      1.091655e+00   
     2.581075        1.141350e+00      0.000000e+00      0.000000e+00      1.141350e+00   
     2.633586        1.175186e+00      0.000000e+00      0.000000e+00      1.175186e+00   
     2.683041        1.196226e+00      0.000000e+00      0.000000e+00      1.196226e+00   
     2.729306        1.207258e+00      0.000000e+00      0.000000e+00      1.207258e+00   
     2.772258        1.210725e+00      0.000000e+00      0.000000e+00      1.210725e+00   
     2.811780        1.208709e+00      0.000000e+00      0.000000e+00      1.208709e+00   
     2.847765        1.202953e+00      0.000000e+00      0.000000e+00      1.202953e+00   
     2.880118        1.194888e+00      0.000000e+00      0.000000e+00      1.194888e+00   
     2.908749        1.185673e+00      0.000000e+00      0.000000e+00      1.185673e+00   
     2.933583        1.176234e+00      0.000000e+00      0.000000e+00      1.176234e+00   
     2.954553        1.167297e+00      0.000000e+00      0.000000e+00      1.167297e+00   
     2.971601        1.159424e+00      0.000000e+00      0.000000e+00      1.159424e+00   
     2.984682        1.153034e+00      0.000000e+00      0.000000e+00      1.153034e+00   
     2.993761        1.148429e+00      0.000000e+00      0.000000e+00      1.148429e+00   
     2.998815        1.145808e+00      0.000000e+00      0.000000e+00      1.145808e+00   
     3.004739        1.142683e+00      0.000000e+00      0.000000e+00      1.142683e+00   
     3.024957        1.131614e+00      0.000000e+00      0.000000e+00      1.131614e+00   
     3.061273        1.110279e+00      0.000000e+00      0.000000e+00      1.110279e+00   
     3.113597        1.076710e+00      0.000000e+00      0.000000e+00      1.076710e+00   
     3.181789        1.028999e+00      0.000000e+00      0.000000e+00      1.028999e+00   
     3.265666        9.660356e-01      0.000000e+00      0.000000e+00      9.660356e-01   
     3.365002        8.881083e-01      0.000000e+00      0.000000e+00      8.881083e-01   
     3.479529        7.972009e-01      0.000000e+00      0.000000e+00      7.972009e-01   
     3.608938        6.968993e-01      0.000000e+00      0.000000e+00      6.968993e-01   
     3.752880        5.919389e-01      0.000000e+00      0.000000e+00      5.919389e-01   
     3.910968        4.875195e-01      0.000000e+00      0.000000e+00      4.875195e-01   
     4.082775        3.885683e-01      0.000000e+00      0.000000e+00      3.885683e-01   
     4.267838        2.991160e-01      0.000000e+00      0.000000e+00      2.991160e-01   
     4.465657        2.219003e-01      0.000000e+00      0.000000e+00      2.219003e-01   
     4.675701        1.582334e-01      0.000000e+00      0.000000e+00      1.582334e-01   
     4.897402        1.081079e-01      0.000000e+00      0.000000e+00      1.081079e-01   
     5.130163        7.047009e-02      0.000000e+00      0.000000e+00      7.047009e-02   
