#        q                Q               total               1              \delta U         \delta U^2    

     0.001185          0.001762        9.180967e+07      9.181056e+07     -9.065280e+02      1.335303e+01   
     0.001185          0.009274        3.314266e+07      3.314323e+07     -5.792401e+02      1.196219e+01   
     0.001185          0.022740        1.469472e+07      1.469511e+07     -3.974086e+02      9.976095e+00   
     0.001185          0.042083        7.880838e+06      7.881123e+06     -2.925952e+02      8.104305e+00   
     0.001185          0.067187        4.706579e+06      4.706802e+06     -2.297614e+02      6.605256e+00   
     0.001185          0.097901        3.034326e+06      3.034506e+06     -1.848505e+02      5.462762e+00   
     0.001185          0.134040        2.091225e+06      2.091374e+06     -1.534590e+02      4.576918e+00   
     0.001185          0.175388        1.406181e+06      1.406303e+06     -1.258392e+02      3.898476e+00   
     0.001185          0.221694        1.025299e+06      1.025403e+06     -1.074543e+02      3.343027e+00   
     0.001185          0.272682        7.828038e+05      7.828925e+05     -9.159076e+01      2.898678e+00   
     0.001185          0.328043        5.818510e+05      5.819294e+05     -8.094904e+01      2.549865e+00   
     0.001185          0.387446        4.565615e+05      4.566309e+05     -7.170661e+01      2.264506e+00   
     0.001185          0.450533        3.546089e+05      3.546700e+05     -6.319588e+01      2.020448e+00   
     0.001185          0.516924        2.723781e+05      2.724317e+05     -5.538668e+01      1.779072e+00   
     0.001185          0.586221        2.376493e+05      2.376993e+05     -5.173572e+01      1.638039e+00   
     0.001185          0.658006        1.791696e+05      1.792131e+05     -4.492224e+01      1.450796e+00   
     0.001185          0.731848        1.547717e+05      1.548121e+05     -4.175217e+01      1.338056e+00   
     0.001185          0.807302        1.332074e+05      1.332449e+05     -3.873485e+01      1.238819e+00   
     0.001185          0.883916        1.142071e+05      1.142418e+05     -3.586651e+01      1.116843e+00   
     0.001185          0.961228        9.752081e+04      9.755295e+04     -3.314338e+01      1.010098e+00   
     0.001185          1.038772        7.533724e+04      7.536444e+04     -2.811765e+01      9.181630e-01   
     0.001185          1.116084        6.664679e+04      6.667265e+04     -2.670064e+01      8.398122e-01   
     0.001185          1.192698        5.912288e+04      5.914790e+04     -2.580752e+01      7.913661e-01   
     0.001185          1.268152        4.955439e+04      4.957726e+04     -2.362750e+01      7.563429e-01   
     0.001185          1.341994        4.131259e+04      4.133346e+04     -2.157384e+01      7.021081e-01   
     0.001185          1.413779        3.424607e+04      3.426507e+04     -1.964275e+01      6.379725e-01   
     0.001185          1.483076        2.821677e+04      2.823402e+04     -1.783048e+01      5.800085e-01   
     0.001185          1.549467        2.460290e+04      2.461851e+04     -1.613323e+01      5.284936e-01   
     0.001185          1.612554        2.309917e+04      2.311478e+04     -1.613323e+01      5.202837e-01   
     0.001185          1.671957        1.877948e+04      1.879356e+04     -1.454725e+01      4.704638e-01   
     0.001185          1.727318        1.581997e+04      1.583261e+04     -1.306877e+01      4.263828e-01   
     0.001185          1.778306        1.515492e+04      1.516758e+04     -1.306877e+01      4.156529e-01   
     0.001185          1.824612        1.213300e+04      1.214432e+04     -1.169400e+01      3.768336e-01   
     0.001185          1.865960        1.213300e+04      1.214432e+04     -1.169400e+01      3.699547e-01   
     0.001185          1.902099        9.630743e+03      9.640827e+03     -1.041918e+01      3.350744e-01   
     0.001185          1.932813        9.630738e+03      9.640827e+03     -1.041918e+01      3.306720e-01   
     0.001185          1.957917        9.630731e+03      9.640827e+03     -1.041918e+01      3.229696e-01   
     0.001185          1.977260        9.151819e+03      9.161422e+03     -9.901073e+00      2.981497e-01   
     0.001185          1.990726        7.574068e+03      7.583014e+03     -9.240543e+00      2.940805e-01   
     0.001185          1.998238        7.574066e+03      7.583014e+03     -9.240543e+00      2.916122e-01   
     0.006239          0.001762        2.570057e+07      2.570108e+07     -5.136332e+02      2.746303e+00   
     0.006239          0.009274        2.353944e+07      2.353988e+07     -4.404865e+02      2.435639e+00   
     0.006239          0.022740        1.394415e+07      1.394450e+07     -3.458169e+02      2.073870e+00   
     0.006239          0.042083        7.740177e+06      7.740444e+06     -2.695554e+02      1.738400e+00   
     0.006239          0.067187        4.676802e+06      4.677015e+06     -2.146216e+02      1.456066e+00   
     0.006239          0.097901        3.018845e+06      3.019019e+06     -1.749896e+02      1.223978e+00   
     0.006239          0.134040        2.049593e+06      2.049738e+06     -1.453328e+02      1.039518e+00   
     0.006239          0.175388        1.441695e+06      1.441817e+06     -1.227060e+02      8.931204e-01   
     0.006239          0.221694        1.053945e+06      1.054050e+06     -1.056199e+02      7.715619e-01   
     0.006239          0.272682        7.773911e+05      7.774800e+05     -8.959227e+01      6.686786e-01   
     0.006239          0.328043        5.918306e+05      5.919098e+05     -7.973399e+01      5.938759e-01   
     0.006239          0.387446        4.565608e+05      4.566309e+05     -7.063029e+01      5.270806e-01   
     0.006239          0.450533        3.546083e+05      3.546700e+05     -6.224731e+01      4.700300e-01   
     0.006239          0.516924        2.858670e+05      2.859211e+05     -5.455532e+01      4.197098e-01   
     0.006239          0.586221        2.376488e+05      2.376993e+05     -5.095917e+01      3.810774e-01   
     0.006239          0.658006        1.862822e+05      1.863261e+05     -4.424795e+01      3.417412e-01   
     0.006239          0.731848        1.547713e+05      1.548121e+05     -4.112546e+01      3.144624e-01   
     0.006239          0.807302        1.332070e+05      1.332449e+05     -3.815343e+01      2.871284e-01   
     0.006239          0.883916        1.117396e+05      1.117739e+05     -3.456497e+01      2.617784e-01   
     0.006239          0.961228        9.132601e+04      9.135635e+04     -3.057221e+01      2.371336e-01   
     0.006239          1.038772        7.607072e+04      7.609820e+04     -2.769560e+01      2.167862e-01   
     0.006239          1.116084        6.480952e+04      6.483489e+04     -2.557494e+01      2.006653e-01   
     0.006239          1.192698        5.662626e+04      5.665042e+04     -2.434680e+01      1.874158e-01   
     0.006239          1.268152        4.955416e+04      4.957726e+04     -2.327285e+01      1.750312e-01   
     0.006239          1.341994        4.131238e+04      4.133346e+04     -2.125001e+01      1.642144e-01   
     0.006239          1.413779        3.424588e+04      3.426507e+04     -1.934791e+01      1.503032e-01   
     0.006239          1.483076        2.821660e+04      2.823402e+04     -1.756284e+01      1.378178e-01   
     0.006239          1.549467        2.534506e+04      2.536083e+04     -1.589107e+01      1.251206e-01   
     0.006239          1.612554        2.309901e+04      2.311478e+04     -1.589107e+01      1.199438e-01   
     0.006239          1.671957        1.877934e+04      1.879356e+04     -1.432890e+01      1.112423e-01   
     0.006239          1.727318        1.666520e+04      1.667797e+04     -1.287260e+01      1.004376e-01   
     0.006239          1.778306        1.515480e+04      1.516758e+04     -1.287260e+01      9.712556e-02   
     0.006239          1.824612        1.217490e+04      1.218633e+04     -1.151847e+01      8.913949e-02   
     0.006239          1.865960        1.213289e+04      1.214432e+04     -1.151847e+01      8.594284e-02   
     0.006239          1.902099        1.031777e+04      1.032795e+04     -1.026279e+01      7.903960e-02   
     0.006239          1.932813        9.630642e+03      9.640827e+03     -1.026279e+01      7.804990e-02   
     0.006239          1.957917        9.630639e+03      9.640827e+03     -1.026279e+01      7.440397e-02   
     0.006239          1.977260        8.653830e+03      8.662982e+03     -9.221861e+00      7.018514e-02   
     0.006239          1.990726        7.600257e+03      7.609289e+03     -9.101842e+00      6.956744e-02   
     0.006239          1.998238        7.573982e+03      7.583014e+03     -9.101842e+00      6.981481e-02   
     0.015318          0.001762        1.092733e+07      1.092766e+07     -3.394412e+02      6.060326e-01   
     0.015318          0.009274        1.076582e+07      1.076614e+07     -3.172568e+02      5.581392e-01   
     0.015318          0.022740        9.880790e+06      9.881068e+06     -2.791308e+02      4.893009e-01   
     0.015318          0.042083        7.100656e+06      7.100891e+06     -2.351670e+02      4.196970e-01   
     0.015318          0.067187        4.502388e+06      4.502583e+06     -1.957272e+02      3.577601e-01   
     0.015318          0.097901        2.960171e+06      2.960334e+06     -1.635111e+02      3.062308e-01   
     0.015318          0.134040        2.019298e+06      2.019435e+06     -1.376007e+02      2.634588e-01   
     0.015318          0.175388        1.427985e+06      1.428102e+06     -1.175409e+02      2.282310e-01   
     0.015318          0.221694        1.044582e+06      1.044684e+06     -1.017152e+02      1.990544e-01   
