#        q                Q               total               1              \delta U         \delta U^2    

     0.001185          0.001762        6.632533e+07      6.633029e+07     -5.610477e+03      6.551889e+02   
     0.001185          0.009274        3.523356e+07      3.523708e+07     -4.115972e+03      5.975461e+02   
     0.001185          0.022740        1.044959e+07      1.045138e+07     -2.336566e+03      5.444093e+02   
     0.001185          0.042083        7.537338e+06      7.538858e+06     -1.992200e+03      4.724303e+02   
     0.001185          0.067187        4.888498e+06      4.889688e+06     -1.578346e+03      3.888869e+02   
     0.001185          0.097901        2.941671e+06      2.942586e+06     -1.230844e+03      3.156877e+02   
     0.001185          0.134040        1.897719e+06      1.898456e+06     -1.003964e+03      2.668111e+02   
     0.001185          0.175388        1.405671e+06      1.406303e+06     -8.640869e+02      2.314422e+02   
     0.001185          0.221694        1.024868e+06      1.025403e+06     -7.378452e+02      2.025345e+02   
     0.001185          0.272682        7.542946e+05      7.547408e+05     -6.245397e+02      1.784256e+02   
     0.001185          0.328043        5.815321e+05      5.819294e+05     -5.558442e+02      1.585056e+02   
     0.001185          0.387446        4.562797e+05      4.566309e+05     -4.923802e+02      1.411950e+02   
     0.001185          0.450533        3.543619e+05      3.546700e+05     -4.339405e+02      1.258327e+02   
     0.001185          0.516924        2.721630e+05      2.724317e+05     -3.803179e+02      1.116351e+02   
     0.001185          0.586221        2.374449e+05      2.376993e+05     -3.552482e+02      1.008446e+02   
     0.001185          0.658006        1.789958e+05      1.792131e+05     -3.084628e+02      9.119393e+01   
     0.001185          0.731848        1.546092e+05      1.548121e+05     -2.866952e+02      8.374629e+01   
     0.001185          0.807302        1.330536e+05      1.332449e+05     -2.659765e+02      7.463468e+01   
     0.001185          0.883916        9.739255e+04      9.755295e+04     -2.275821e+02      6.718317e+01   
     0.001185          0.961228        8.279948e+04      8.294714e+04     -2.098547e+02      6.220064e+01   
     0.001185          1.038772        7.007517e+04      7.021098e+04     -1.930725e+02      5.726163e+01   
     0.001185          1.116084        5.902291e+04      5.914790e+04     -1.772097e+02      5.222087e+01   
     0.001185          1.192698        4.946244e+04      4.957726e+04     -1.622405e+02      4.741474e+01   
     0.001185          1.268152        4.463612e+04      4.474108e+04     -1.481388e+02      4.318087e+01   
     0.001185          1.341994        4.122658e+04      4.133346e+04     -1.481388e+02      4.125937e+01   
     0.001185          1.413779        3.416879e+04      3.426507e+04     -1.348788e+02      3.859919e+01   
     0.001185          1.483076        2.814645e+04      2.823402e+04     -1.224346e+02      3.486342e+01   
     0.001185          1.549467        2.303523e+04      2.311478e+04     -1.107804e+02      3.123551e+01   
     0.001185          1.612554        2.303382e+04      2.311478e+04     -1.107804e+02      2.982197e+01   
     0.001185          1.671957        1.872130e+04      1.879356e+04     -9.989010e+01      2.763449e+01   
     0.001185          1.727318        1.510280e+04      1.516758e+04     -8.973793e+01      2.496387e+01   
     0.001185          1.778306        1.510195e+04      1.516758e+04     -8.973793e+01      2.410850e+01   
     0.001185          1.824612        1.208590e+04      1.214432e+04     -8.029797e+01      2.187394e+01   
     0.001185          1.865960        1.208527e+04      1.214432e+04     -8.029797e+01      2.125120e+01   
     0.001185          1.902099        9.588689e+03      9.640827e+03     -7.154431e+01      1.940602e+01   
     0.001185          1.932813        9.588350e+03      9.640827e+03     -7.154431e+01      1.906699e+01   
     0.001185          1.957917        9.587578e+03      9.640827e+03     -7.154431e+01      1.829582e+01   
     0.001185          1.977260        7.536623e+03      7.583014e+03     -6.345106e+01      1.705925e+01   
     0.001185          1.990726        7.536452e+03      7.583014e+03     -6.345106e+01      1.688845e+01   
     0.001185          1.998238        7.536311e+03      7.583014e+03     -6.345106e+01      1.674775e+01   
