#       k             kp                 U11                    U12                    U21                    U22          
   0.000790       0.000790         1.000000e+00           1.327138e-18           1.383878e-18           1.000000e+00      
   0.000790       0.004159         -1.174968e-10          2.956118e-16           1.111576e-17           -3.889351e-23     
   0.000790       0.010212         -3.611914e-10          5.487290e-15           3.422729e-17           -7.249320e-22     
   0.000790       0.018933         -7.805684e-10          4.097029e-14           7.432603e-17           -5.477117e-21     
   0.000790       0.030298         -1.402209e-09          1.906166e-13           1.349263e-16           -2.613118e-20     
   0.000790       0.044278         -2.246380e-09          6.657560e-13           2.203261e-16           -9.534504e-20     
   0.000790       0.060834         -3.327419e-09          1.924651e-12           3.365538e-16           -2.942310e-19     
   0.000790       0.079922         -4.653453e-09          4.881055e-12           4.923500e-16           -8.129266e-19     
   0.000790       0.101490         -6.225772e-09          1.126746e-11           7.000035e-16           -2.075058e-18     
   0.000790       0.125480         -8.038063e-09          2.423434e-11           9.757534e-16           -4.967220e-18     
   0.000790       0.151828         -1.007565e-08          4.930222e-11           1.339423e-15           -1.122665e-17     
   0.000790       0.180462         -1.231489e-08          9.591911e-11           1.813003e-15           -2.404716e-17     
   0.000790       0.211306         -1.472286e-08          1.794776e-10           2.418086e-15           -4.886261e-17     
   0.000790       0.244276         -1.725745e-08          3.239050e-10           3.172403e-15           -9.423430e-17     
   0.000790       0.279283         -1.986788e-08          5.647437e-10           4.086093e-15           -1.726114e-16     
   0.000790       0.316234         -2.249570e-08          9.523380e-10           5.158692e-15           -3.005706e-16     
   0.000790       0.355027         -2.507624e-08          1.554727e-09           6.377803e-15           -4.981015e-16     
   0.000790       0.395559         -2.754026e-08          2.459753e-09           7.720021e-15           -7.866666e-16     
   0.000790       0.437721         -2.981599e-08          3.775955e-09           9.153919e-15           -1.186233e-15     
   0.000790       0.481399         -3.183120e-08          5.631975e-09           1.064404e-14           -1.712148e-15     
   0.000790       0.526474         -3.351535e-08          8.174372e-09           1.215448e-14           -2.373249e-15     
   0.000790       0.572826         -3.480187e-08          1.156392e-08           1.365102e-14           -3.172378e-15     
   0.000790       0.620330         -3.563030e-08          1.597052e-08           1.510167e-14           -4.109349e-15     
   0.000790       0.668857         -3.594840e-08          2.156700e-08           1.647652e-14           -5.184610e-15     
   0.000790       0.718277         -3.571418e-08          2.852196e-08           1.774817e-14           -6.400813e-15     
   0.000790       0.768456         -3.489763e-08          3.699197e-08           1.889294e-14           -7.760355e-15     
   0.000790       0.819260         -3.348240e-08          4.711356e-08           1.989214e-14           -9.259852e-15     
   0.000790       0.870551         -3.146691e-08          5.899550e-08           2.073214e-14           -1.088557e-14     
   0.000790       0.922191         -2.886514e-08          7.271160e-08           2.140233e-14           -1.261432e-14     
   0.000790       0.974040         -2.570675e-08          8.829435e-08           2.189209e-14           -1.442085e-14     
   0.000790       1.025960         -2.203642e-08          1.057295e-07           2.218869e-14           -1.628749e-14     
   0.000790       1.077809         -1.791266e-08          1.249515e-07           2.227783e-14           -1.820912e-14     
   0.000790       1.129449         -1.340601e-08          1.458407e-07           2.214685e-14           -2.018884e-14     
   0.000790       1.180740         -8.596820e-09          1.682218e-07           2.178841e-14           -2.222666e-14     
   0.000790       1.231544         -3.572751e-09          1.918645e-07           2.120269e-14           -2.430908e-14     
   0.000790       1.281723         1.573994e-09           2.164869e-07           2.039680e-14           -2.640676e-14     
   0.000790       1.331143         6.749630e-09           2.417605e-07           1.938243e-14           -2.848195e-14     
   0.000790       1.379670         1.186177e-08           2.673177e-07           1.817373e-14           -3.050000e-14     
   0.000790       1.427174         1.682222e-08           2.927601e-07           1.678685e-14           -3.243712e-14     
   0.000790       1.473526         2.154945e-08           3.176689e-07           1.524113e-14           -3.427975e-14     
   0.000790       1.518601         2.597046e-08           3.416149e-07           1.356090e-14           -3.601723e-14     
   0.000790       1.562279         3.002222e-08           3.641692e-07           1.177621e-14           -3.763330e-14     
   0.000790       1.604441         3.365244e-08           3.849139e-07           9.922119e-15           -3.910186e-14     
   0.000790       1.644973         3.681998e-08           4.034517e-07           8.036657e-15           -4.038866e-14     
   0.000790       1.683766         3.949464e-08           4.194136e-07           6.158445e-15           -4.145687e-14     
   0.000790       1.720717         4.165664e-08           4.324652e-07           4.324704e-15           -4.227305e-14     
   0.000790       1.755724         4.329560e-08           4.423097e-07           2.570056e-15           -4.281067e-14     
   0.000790       1.788694         4.440913e-08           4.486890e-07           9.260164e-16           -4.305045e-14     
   0.000790       1.819538         4.500114e-08           4.513810e-07           -5.791524e-16          -4.297834e-14     
   0.000790       1.848172         4.507984e-08           4.501945e-07           -1.920487e-15          -4.258269e-14     
   0.000790       1.874520         4.465552e-08           4.449593e-07           -3.076417e-15          -4.185173e-14     
   0.000790       1.898510         4.373804e-08           4.355131e-07           -4.028864e-15          -4.077163e-14     
   0.000790       1.920078         4.233382e-08           4.216809e-07           -4.763245e-15          -3.932495e-14     
