#        q              total               1              \delta U         \delta U^2    

     0.001185        1.902453e+04      1.904976e+04     -2.553196e+01      3.003195e-01   
     0.006239        9.262903e+03      9.288156e+03     -2.555379e+01      3.003109e-01   
     0.015318        5.980601e+03      6.005846e+03     -2.554500e+01      3.002679e-01   
     0.028399        4.183986e+03      4.209232e+03     -2.554547e+01      3.001426e-01   
     0.045447        3.167118e+03      3.192361e+03     -2.554239e+01      2.998959e-01   
     0.066417        2.551134e+03      2.576357e+03     -2.552240e+01      2.994846e-01   
     0.091251        2.019977e+03      2.045177e+03     -2.549850e+01      2.987542e-01   
     0.119882        1.739409e+03      1.764570e+03     -2.545838e+01      2.977444e-01   
     0.152235        1.406981e+03      1.432064e+03     -2.537930e+01      2.964205e-01   
     0.188220        1.187173e+03      1.212152e+03     -2.527345e+01      2.946340e-01   
     0.227742        1.053970e+03      1.078823e+03     -2.514497e+01      2.924843e-01   
     0.270694        9.309739e+02      9.556474e+02     -2.496356e+01      2.900938e-01   
     0.316959        8.177922e+02      8.422233e+02     -2.471872e+01      2.876047e-01   
     0.366414        7.140470e+02      7.381486e+02     -2.438694e+01      2.852979e-01   
     0.418925        6.193684e+02      6.430212e+02     -2.393643e+01      2.836373e-01   
     0.474351        5.333914e+02      5.564389e+02     -2.333073e+01      2.832183e-01   
     0.532541        4.936570e+02      5.162265e+02     -2.285426e+01      2.847741e-01   
     0.593339        4.200649e+02      4.417079e+02     -2.193223e+01      2.892024e-01   
     0.656582        3.863482e+02      4.073012e+02     -2.125049e+01      2.975181e-01   
     0.722098        3.243168e+02      3.439416e+02     -1.993552e+01      3.107840e-01   
     0.789711        2.694967e+02      2.875186e+02     -1.835194e+01      3.300406e-01   
     0.859239        2.448224e+02      2.617826e+02     -1.731648e+01      3.562138e-01   
     0.930495        2.000111e+02      2.150106e+02     -1.538954e+01      3.900048e-01   
     1.003286        1.612836e+02      1.741699e+02     -1.331804e+01      4.317799e-01   
     1.077416        1.281477e+02      1.388584e+02     -1.119216e+01      4.814744e-01   
     1.152685        1.001035e+02      1.086740e+02     -9.109013e+00      5.385195e-01   
     1.228890        5.712072e+01      6.207787e+01     -5.558952e+00      6.018056e-01   
     1.305826        1.902664e+01      2.023186e+01     -1.874904e+00      6.696901e-01   
     1.383286        7.400608e-01      0.000000e+00      0.000000e+00      7.400608e-01   
     1.461060        8.104595e-01      0.000000e+00      0.000000e+00      8.104595e-01   
     1.538940        8.782412e-01      0.000000e+00      0.000000e+00      8.782412e-01   
     1.616714        9.407546e-01      0.000000e+00      0.000000e+00      9.407546e-01   
     1.694174        9.955342e-01      0.000000e+00      0.000000e+00      9.955342e-01   
     1.771110        1.040479e+00      0.000000e+00      0.000000e+00      1.040479e+00   
     1.847315        1.074006e+00      0.000000e+00      0.000000e+00      1.074006e+00   
     1.922584        1.095149e+00      0.000000e+00      0.000000e+00      1.095149e+00   
     1.996714        1.103607e+00      0.000000e+00      0.000000e+00      1.103607e+00   
     2.069505        1.099722e+00      0.000000e+00      0.000000e+00      1.099722e+00   
     2.140761        1.084409e+00      0.000000e+00      0.000000e+00      1.084409e+00   
     2.210289        1.059040e+00      0.000000e+00      0.000000e+00      1.059040e+00   
     2.277902        1.025302e+00      0.000000e+00      0.000000e+00      1.025302e+00   
     2.343418        9.850497e-01      0.000000e+00      0.000000e+00      9.850497e-01   
     2.406661        9.401676e-01      0.000000e+00      0.000000e+00      9.401676e-01   
     2.467459        8.924535e-01      0.000000e+00      0.000000e+00      8.924535e-01   
     2.525649        8.435318e-01      0.000000e+00      0.000000e+00      8.435318e-01   
     2.581075        7.947983e-01      0.000000e+00      0.000000e+00      7.947983e-01   
     2.633586        7.473954e-01      0.000000e+00      0.000000e+00      7.473954e-01   
     2.683041        7.022111e-01      0.000000e+00      0.000000e+00      7.022111e-01   
     2.729306        6.598963e-01      0.000000e+00      0.000000e+00      6.598963e-01   
     2.772258        6.208935e-01      0.000000e+00      0.000000e+00      6.208935e-01   
     2.811780        5.854756e-01      0.000000e+00      0.000000e+00      5.854756e-01   
     2.847765        5.537770e-01      0.000000e+00      0.000000e+00      5.537770e-01   
     2.880118        5.258333e-01      0.000000e+00      0.000000e+00      5.258333e-01   
     2.908749        5.016081e-01      0.000000e+00      0.000000e+00      5.016081e-01   
     2.933583        4.810213e-01      0.000000e+00      0.000000e+00      4.810213e-01   
     2.954553        4.639688e-01      0.000000e+00      0.000000e+00      4.639688e-01   
     2.971601        4.503403e-01      0.000000e+00      0.000000e+00      4.503403e-01   
     2.984682        4.400315e-01      0.000000e+00      0.000000e+00      4.400315e-01   
     2.993761        4.329541e-01      0.000000e+00      0.000000e+00      4.329541e-01   
     2.998815        4.290419e-01      0.000000e+00      0.000000e+00      4.290419e-01   
     3.004739        4.244810e-01      0.000000e+00      0.000000e+00      4.244810e-01   
     3.024957        4.091182e-01      0.000000e+00      0.000000e+00      4.091182e-01   
     3.061273        3.823502e-01      0.000000e+00      0.000000e+00      3.823502e-01   
     3.113597        3.457316e-01      0.000000e+00      0.000000e+00      3.457316e-01   
     3.181789        3.016015e-01      0.000000e+00      0.000000e+00      3.016015e-01   
     3.265666        2.529776e-01      0.000000e+00      0.000000e+00      2.529776e-01   
     3.365002        2.032265e-01      0.000000e+00      0.000000e+00      2.032265e-01   
     3.479529        1.557428e-01      0.000000e+00      0.000000e+00      1.557428e-01   
     3.608938        1.134176e-01      0.000000e+00      0.000000e+00      1.134176e-01   
     3.752880        7.817695e-02      0.000000e+00      0.000000e+00      7.817695e-02   
     3.910968        5.081921e-02      0.000000e+00      0.000000e+00      5.081921e-02   
     4.082775        3.110921e-02      0.000000e+00      0.000000e+00      3.110921e-02   
     4.267838        1.804132e-02      0.000000e+00      0.000000e+00      1.804132e-02   
     4.465657        1.018599e-02      0.000000e+00      0.000000e+00      1.018599e-02   
     4.675701        6.004272e-03      0.000000e+00      0.000000e+00      6.004272e-03   
     4.897402        4.092204e-03      0.000000e+00      0.000000e+00      4.092204e-03   
     5.130163        3.338623e-03      0.000000e+00      0.000000e+00      3.338623e-03   
     5.373356        2.993504e-03      0.000000e+00      0.000000e+00      2.993504e-03   
     5.626327        2.654245e-03      0.000000e+00      0.000000e+00      2.654245e-03   
     5.888392        2.189951e-03      0.000000e+00      0.000000e+00      2.189951e-03   
     6.158845        1.635277e-03      0.000000e+00      0.000000e+00      1.635277e-03   
     6.436958        1.087862e-03      0.000000e+00      0.000000e+00      1.087862e-03   
     6.721980        6.347747e-04      0.000000e+00      0.000000e+00      6.347747e-04   
     7.013143        3.178290e-04      0.000000e+00      0.000000e+00      3.178290e-04   
     7.309662        1.323813e-04      0.000000e+00      0.000000e+00      1.323813e-04   
     7.610739        4.513239e-05      0.000000e+00      0.000000e+00      4.513239e-05   
     7.915560        1.561223e-05      0.000000e+00      0.000000e+00      1.561223e-05   
     8.223305        1.120642e-05      0.000000e+00      0.000000e+00      1.120642e-05   
     8.533144        1.267556e-05      0.000000e+00      0.000000e+00      1.267556e-05   
     8.844241        1.241476e-05      0.000000e+00      0.000000e+00      1.241476e-05   
     9.155759        9.657880e-06      0.000000e+00      0.000000e+00      9.657880e-06   
     9.466856        6.042964e-06      0.000000e+00      0.000000e+00      6.042964e-06   
     9.776695        3.051220e-06      0.000000e+00      0.000000e+00      3.051220e-06   
    10.084440        1.231389e-06      0.000000e+00      0.000000e+00      1.231389e-06   
    10.389261        4.165379e-07      0.000000e+00      0.000000e+00      4.165379e-07   
    10.690338        1.853396e-07      0.000000e+00      0.000000e+00      1.853396e-07   
    10.986857        1.783283e-07      0.000000e+00      0.000000e+00      1.783283e-07   
    11.278020        1.998305e-07      0.000000e+00      0.000000e+00      1.998305e-07   
    11.563042        1.877289e-07      0.000000e+00      0.000000e+00      1.877289e-07   
    11.841155        1.468358e-07      0.000000e+00      0.000000e+00      1.468358e-07   
    12.111608        9.855455e-08      0.000000e+00      0.000000e+00      9.855455e-08   
    12.373673        5.808945e-08      0.000000e+00      0.000000e+00      5.808945e-08   
    12.626644        3.053252e-08      0.000000e+00      0.000000e+00      3.053252e-08   
    12.869837        1.449961e-08      0.000000e+00      0.000000e+00      1.449961e-08   
    13.102598        6.373583e-09      0.000000e+00      0.000000e+00      6.373583e-09   
    13.324299        2.789049e-09      0.000000e+00      0.000000e+00      2.789049e-09   
    13.534343        1.453944e-09      0.000000e+00      0.000000e+00      1.453944e-09   
    13.732162        1.081428e-09      0.000000e+00      0.000000e+00      1.081428e-09   
    13.917225        1.052761e-09      0.000000e+00      0.000000e+00      1.052761e-09   
    14.089032        1.111794e-09      0.000000e+00      0.000000e+00      1.111794e-09   
    14.247120        1.170674e-09      0.000000e+00      0.000000e+00      1.170674e-09   
    14.391062        1.208483e-09      0.000000e+00      0.000000e+00      1.208483e-09   
    14.520471        1.226616e-09      0.000000e+00      0.000000e+00      1.226616e-09   
    14.634998        1.232043e-09      0.000000e+00      0.000000e+00      1.232043e-09   
    14.734334        1.230952e-09      0.000000e+00      0.000000e+00      1.230952e-09   
    14.818211        1.226740e-09      0.000000e+00      0.000000e+00      1.226740e-09   
    14.886403        1.221259e-09      0.000000e+00      0.000000e+00      1.221259e-09   
    14.938727        1.214743e-09      0.000000e+00      0.000000e+00      1.214743e-09   
    14.975043        1.212796e-09      0.000000e+00      0.000000e+00      1.212796e-09   
    14.995261        1.212374e-09      0.000000e+00      0.000000e+00      1.212374e-09   
