#        q          3S1-3S1 init.     3S1-3D1 init.     3D1-3D1 init.      3S1-3S1 SRG       3S1-3D1 SRG       3D1-3D1 SRG    

     0.001185         100.000000         0.000000          0.000000         99.682267          0.317480          0.000253     
     0.006239         100.000000         0.000000          0.000000         99.682057          0.317690          0.000253     
     0.015318         99.999999          0.000000          0.000001         99.680963          0.318781          0.000256     
     0.028399         99.999986          0.000000          0.000014         99.677775          0.321951          0.000274     
     0.045447         99.999909          0.000000          0.000091         99.670721          0.328916          0.000363     
     0.066417         99.999584          0.000000          0.000416         99.657442          0.341848          0.000710     
     0.091251         99.998519          0.000000          0.001481         99.634884          0.363302          0.001813     
     0.119882         99.995600          0.000000          0.004400         99.599104          0.396098          0.004798     
     0.152235         99.988595          0.000000          0.011405         99.544952          0.443145          0.011902     
     0.188220         99.973462          0.000000          0.026538         99.465619          0.507205          0.027176     
     0.227742         99.943426          0.000000          0.056574         99.352041          0.590584          0.057375     
     0.270694         99.887841          0.000000          0.112159         99.192224          0.694741          0.113034     
     0.316959         99.790879          0.000000          0.209121         98.970600          0.819779          0.209621     
     0.366414         99.630114          0.000000          0.369886         98.667709          0.963725          0.368566     
     0.418925         99.375049          0.000000          0.624951         98.260630          1.121430          0.617939     
     0.474351         98.985693          0.000000          1.014307         97.724930          1.282759          0.992310     
     0.532541         98.411267          0.000000          1.588733         97.039124          1.429573          1.531304     
     0.593339         97.589131          0.000000          2.410869         96.192860          1.530817          2.276323     
     0.656582         96.444089          0.000000          3.555911         95.199895          1.534970          3.265135     
     0.722098         94.888326          0.000000          5.111674         94.116292          1.359098          4.524610     
     0.789711         92.822440          0.000000          7.177560         93.063226          0.874008          6.062766     
     0.859239         90.138293          0.000000          9.861707         92.041360          0.114791          7.843849     
     0.930495         86.724729          0.000000         13.275271         88.662620          1.823670          9.513710     
     1.003286         82.477437          0.000000         17.522563         84.618418          4.431278         10.950304     
     1.077416         77.314142          0.000000         22.685858         80.089008          8.031243         11.879749     
     1.152685         71.195500          0.000000         28.804500         75.454896         12.496494         12.048611     
     1.228890         64.150074          0.000000         35.849926         71.316585         17.369244         11.314171     
     1.305826         56.298611          0.000000         43.701389         68.433215         21.840177          9.726608     
     1.383286         47.869245          0.000000         52.130755         67.551001         24.895611          7.553388     
     1.461060         39.193540          0.000000         60.806460         69.149137         25.639636          5.211227     
