#       k             kp                 V11                    V12                    V21                    V22          
   0.001947       0.001947         -1.272490e+04          -1.572148e-05          -1.572148e-05          -1.272684e+04     
   0.001947       0.010250         1.943781e+00           -4.357607e-04          -1.571388e-05          1.592003e-09      
   0.001947       0.025159         1.944564e+00           -2.622580e-03          -1.567437e-05          9.566865e-09      
   0.001947       0.046627         1.946839e+00           -8.979821e-03          -1.555989e-05          3.261378e-08      
   0.001947       0.074585         1.951794e+00           -2.281912e-02          -1.531268e-05          8.208477e-08      
   0.001947       0.108938         1.960838e+00           -4.806792e-02          -1.486861e-05          1.698830e-07      
   0.001947       0.149573         1.975416e+00           -8.875367e-02          -1.417169e-05          3.047549e-07      
   0.001947       0.196355         1.996757e+00           -1.482612e-01          -1.319314e-05          4.876027e-07      
   0.001947       0.249129         2.025556e+00           -2.284790e-01          -1.194861e-05          7.076971e-07      
   0.001947       0.307719         2.061737e+00           -3.290878e-01          -1.050441e-05          9.424478e-07      
   0.001947       0.371930         2.104347e+00           -4.472919e-01          -8.965816e-06          1.162279e-06      
   0.001947       0.441550         2.151685e+00           -5.781762e-01          -7.450109e-06          1.339152e-06      
   0.001947       0.516347         2.201617e+00           -7.156101e-01          -6.056880e-06          1.454633e-06      
   0.001947       0.596072         2.251976e+00           -8.533706e-01          -4.848808e-06          1.503578e-06      
   0.001947       0.680461         2.300900e+00           -9.861059e-01          -3.848623e-06          1.492589e-06      
   0.001947       0.769234         2.347022e+00           -1.109890e+00          -3.048206e-06          1.435269e-06      
   0.001947       0.862094         2.389516e+00           -1.222347e+00          -2.421902e-06          1.347187e-06      
   0.001947       0.958735         2.428027e+00           -1.322452e+00          -1.937948e-06          1.242350e-06      
   0.001947       1.058835         2.462546e+00           -1.410202e+00          -1.565684e-06          1.131592e-06      
   0.001947       1.162061         2.493281e+00           -1.486253e+00          -1.278919e-06          1.022338e-06      
   0.001947       1.268071         2.520549e+00           -1.551625e+00          -1.056773e-06          9.191194e-07      
   0.001947       1.376513         2.544691e+00           -1.607475e+00          -8.832620e-07          8.243140e-07      
   0.001947       1.487025         2.566019e+00           -1.654962e+00          -7.464192e-07          7.388431e-07      
   0.001947       1.599241         2.584761e+00           -1.695135e+00          -6.373728e-07          6.627146e-07      
   0.001947       1.712789         2.601038e+00           -1.728894e+00          -5.495618e-07          5.954170e-07      
   0.001947       1.827291         2.614838e+00           -1.756956e+00          -4.781167e-07          5.361758e-07      
   0.001947       1.942367         2.625998e+00           -1.779840e+00          -4.193982e-07          4.841146e-07      
   0.001947       2.057633         2.634179e+00           -1.797860e+00          -3.706603e-07          4.383479e-07      
   0.001947       2.172709         2.638848e+00           -1.811110e+00          -3.298081e-07          3.980329e-07      
   0.001947       2.287211         2.639275e+00           -1.819486e+00          -2.952265e-07          3.623960e-07      
   0.001947       2.400759         2.634530e+00           -1.822679e+00          -2.656554e-07          3.307413e-07      
   0.001947       2.512975         2.623507e+00           -1.820205e+00          -2.401023e-07          3.024543e-07      
   0.001947       2.623487         2.604962e+00           -1.811439e+00          -2.177792e-07          2.769989e-07      
   0.001947       2.731929         2.577594e+00           -1.795672e+00          -1.980582e-07          2.539151e-07      
   0.001947       2.837939         2.540143e+00           -1.772188e+00          -1.804395e-07          2.328158e-07      
   0.001947       2.941165         2.491520e+00           -1.740360e+00          -1.645292e-07          2.133833e-07      
   0.001947       3.041265         2.430967e+00           -1.699758e+00          -1.500226e-07          1.953668e-07      
   0.001947       3.137906         2.358193e+00           -1.650257e+00          -1.366916e-07          1.785789e-07      
   0.001947       3.230766         2.273513e+00           -1.592135e+00          -1.243742e-07          1.628907e-07      
   0.001947       3.319539         2.177921e+00           -1.526126e+00          -1.129637e-07          1.482244e-07      
   0.001947       3.403928         2.073106e+00           -1.453445e+00          -1.023986e-07          1.345456e-07      
   0.001947       3.483653         1.961375e+00           -1.375732e+00          -9.265021e-08          1.218518e-07      
   0.001947       3.558450         1.845513e+00           -1.294961e+00          -8.371190e-08          1.101600e-07      
   0.001947       3.628070         1.728577e+00           -1.213297e+00          -7.558802e-08          9.949597e-08      
   0.001947       3.692281         1.613662e+00           -1.132936e+00          -6.828469e-08          8.988279e-08      
   0.001947       3.750871         1.503680e+00           -1.055942e+00          -6.180300e-08          8.133351e-08      
   0.001947       3.803645         1.401185e+00           -9.841321e-01          -5.613518e-08          7.384658e-08      
   0.001947       3.850427         1.308259e+00           -9.189839e-01          -5.126337e-08          6.740465e-08      
   0.001947       3.891062         1.226465e+00           -8.616150e-01          -4.716064e-08          6.197649e-08      
   0.001947       3.925415         1.156884e+00           -8.127949e-01          -4.379385e-08          5.752102e-08      
   0.001947       3.953373         1.100175e+00           -7.729979e-01          -4.112710e-08          5.399242e-08      
   0.001947       3.974841         1.056686e+00           -7.424755e-01          -3.912559e-08          5.134557e-08      
   0.001947       3.989750         1.026552e+00           -7.213297e-01          -3.775896e-08          4.954081e-08      
   0.001947       3.998053         1.009797e+00           -7.095790e-01          -3.700389e-08          4.854778e-08      
   0.001947       4.008499         9.888765e-01           -6.948285e-01          -3.609296e-08          4.731250e-08      
   0.001947       4.044761         9.166099e-01           -6.439897e-01          -3.297040e-08          4.313529e-08      
   0.001947       4.109915         7.896463e-01           -5.547681e-01          -2.766478e-08          3.609443e-08      
   0.001947       4.203828         6.172229e-01           -4.336389e-01          -2.083984e-08          2.708659e-08      
   0.001947       4.326294         4.199997e-01           -2.950853e-01          -1.354796e-08          1.751321e-08      
   0.001947       4.477040         2.324821e-01           -1.633359e-01          -7.120381e-09          9.130865e-09      
   0.001947       4.655730         9.382180e-02           -6.591122e-02          -2.719462e-09          3.447310e-09      
   0.001947       4.861964         2.315513e-02           -1.626462e-02          -6.349444e-10          7.923244e-10      
   0.001947       5.095283         2.637378e-03           -1.852242e-03          -6.859481e-11          8.387008e-11      
   0.001947       5.355166         8.841704e-05           -6.208437e-05          -2.193463e-12          2.614553e-12      
   0.001947       5.641033         4.261645e-07           -2.991853e-07          -1.017109e-14          1.175731e-14      
   0.001947       5.952247         9.484062e-11           -6.656908e-11          -2.201965e-18          2.456040e-18      
   0.001947       6.288112         1.628115e-16           -1.142561e-16          -3.725683e-24          3.992274e-24      
   0.001947       6.647880         1.315468e-25           -9.229814e-26          -3.009563e-33          3.088244e-33      
   0.001947       7.030747         6.581192e-40           -4.616771e-40          -1.527538e-47          1.498490e-47      
   0.001947       7.435859         2.671499e-62           -1.873754e-62          -6.381173e-70          5.984180e-70      
   0.001947       7.862313         3.771750e-97           -2.645000e-97         -9.395030e-105          8.435972e-105     
   0.001947       8.309157         5.361588e-151         -3.759251e-151         -1.409093e-158          1.215050e-158     
   0.001947       8.775393         1.668611e-233         -1.169737e-233         -4.670867e-241          3.883353e-241     
   0.001947       9.259982         0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.001947       9.761842         0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.001947       10.279850        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.001947       10.812860        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.001947       11.359670        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.001947       11.919070        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.001947       12.489800        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.001947       13.070600        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.001947       13.660170        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.001947       14.257190        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.001947       14.860330        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.001947       15.468250        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.001947       16.079580        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.001947       16.692960        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.001947       17.307040        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.001947       17.920420        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.001947       18.531750        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.001947       19.139670        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.001947       19.742810        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.001947       20.339830        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.001947       20.929400        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.001947       21.510200        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.001947       22.080930        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.001947       22.640330        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.001947       23.187140        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.001947       23.720150        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.001947       24.238160        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.001947       24.740020        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.001947       25.224610        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.001947       25.690840        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.001947       26.137690        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
