#        q              total               1              \delta U         \delta U^2    

     0.001185        2.407239e+04      2.424141e+04     -1.843181e+02      1.529755e+01   
     0.006239        1.719460e+04      1.736371e+04     -1.844019e+02      1.529743e+01   
     0.015318        1.273883e+04      1.290792e+04     -1.843926e+02      1.529685e+01   
     0.028399        6.040408e+03      6.209421e+03     -1.843081e+02      1.529589e+01   
     0.045447        5.067018e+03      5.236030e+03     -1.843058e+02      1.529372e+01   
     0.066417        4.366139e+03      4.534977e+03     -1.841268e+02      1.528929e+01   
     0.091251        3.730868e+03      3.899470e+03     -1.838849e+02      1.528283e+01   
     0.119882        3.158037e+03      3.326293e+03     -1.835291e+02      1.527277e+01   
     0.152235        2.767716e+03      2.935379e+03     -1.829215e+02      1.525898e+01   
     0.188220        2.409539e+03      2.576357e+03     -1.820598e+02      1.524173e+01   
     0.227742        2.082272e+03      2.247872e+03     -1.808221e+02      1.522182e+01   
     0.270694        1.881010e+03      2.045177e+03     -1.793666e+02      1.520001e+01   
     0.316959        1.692860e+03      1.855048e+03     -1.773669e+02      1.517968e+01   
     0.366414        1.604267e+03      1.764570e+03     -1.754672e+02      1.516433e+01   
     0.418925        1.435331e+03      1.592536e+03     -1.723655e+02      1.516062e+01   
     0.474351        1.278872e+03      1.432064e+03     -1.683663e+02      1.517458e+01   
     0.532541        1.206359e+03      1.356037e+03     -1.648930e+02      1.521501e+01   
     0.593339        1.068380e+03      1.212152e+03     -1.590642e+02      1.529161e+01   
     0.656582        9.422929e+02      1.078823e+03     -1.519394e+02      1.540934e+01   
     0.722098        8.851179e+02      1.015991e+03     -1.464483e+02      1.557512e+01   
     0.789711        7.762959e+02      8.977415e+02     -1.372344e+02      1.578880e+01   
     0.859239        7.276769e+02      8.422233e+02     -1.305960e+02      1.604955e+01   
     0.930495        6.348873e+02      7.381486e+02     -1.196064e+02      1.634512e+01   
     1.003286        5.518960e+02      6.430212e+02     -1.077798e+02      1.665460e+01   
     1.077416        4.779143e+02      5.564389e+02     -9.547131e+01      1.694674e+01   
     1.152685        3.806645e+02      4.417079e+02     -7.823650e+01      1.719311e+01   
     1.228890        2.996429e+02      3.439416e+02     -6.165364e+01      1.735502e+01   
     1.305826        8.442195e+01      8.183221e+01     -1.479877e+01      1.738851e+01   
     1.383286        1.787844e+01      7.539822e-01     -1.402232e-01      1.726468e+01   
     1.461060        1.696581e+01      0.000000e+00      0.000000e+00      1.696581e+01   
     1.538940        1.647974e+01      0.000000e+00      0.000000e+00      1.647974e+01   
     1.616714        1.581229e+01      0.000000e+00      0.000000e+00      1.581229e+01   
     1.694174        1.498046e+01      0.000000e+00      0.000000e+00      1.498046e+01   
     1.771110        1.401043e+01      0.000000e+00      0.000000e+00      1.401043e+01   
     1.847315        1.293953e+01      0.000000e+00      0.000000e+00      1.293953e+01   
     1.922584        1.181368e+01      0.000000e+00      0.000000e+00      1.181368e+01   
     1.996714        1.067575e+01      0.000000e+00      0.000000e+00      1.067575e+01   
     2.069505        9.562199e+00      0.000000e+00      0.000000e+00      9.562199e+00   
     2.140761        8.503284e+00      0.000000e+00      0.000000e+00      8.503284e+00   
     2.210289        7.521384e+00      0.000000e+00      0.000000e+00      7.521384e+00   
     2.277902        6.630738e+00      0.000000e+00      0.000000e+00      6.630738e+00   
     2.343418        5.838011e+00      0.000000e+00      0.000000e+00      5.838011e+00   
     2.406661        5.144975e+00      0.000000e+00      0.000000e+00      5.144975e+00   
     2.467459        4.545544e+00      0.000000e+00      0.000000e+00      4.545544e+00   
     2.525649        4.031634e+00      0.000000e+00      0.000000e+00      4.031634e+00   
     2.581075        3.593787e+00      0.000000e+00      0.000000e+00      3.593787e+00   
     2.633586        3.222618e+00      0.000000e+00      0.000000e+00      3.222618e+00   
     2.683041        2.909412e+00      0.000000e+00      0.000000e+00      2.909412e+00   
     2.729306        2.645552e+00      0.000000e+00      0.000000e+00      2.645552e+00   
     2.772258        2.423283e+00      0.000000e+00      0.000000e+00      2.423283e+00   
     2.811780        2.236562e+00      0.000000e+00      0.000000e+00      2.236562e+00   
     2.847765        2.080324e+00      0.000000e+00      0.000000e+00      2.080324e+00   
     2.880118        1.949888e+00      0.000000e+00      0.000000e+00      1.949888e+00   
     2.908749        1.841975e+00      0.000000e+00      0.000000e+00      1.841975e+00   
     2.933583        1.753637e+00      0.000000e+00      0.000000e+00      1.753637e+00   
     2.954553        1.682680e+00      0.000000e+00      0.000000e+00      1.682680e+00   
     2.971601        1.627276e+00      0.000000e+00      0.000000e+00      1.627276e+00   
     2.984682        1.586103e+00      0.000000e+00      0.000000e+00      1.586103e+00   
     2.993761        1.558211e+00      0.000000e+00      0.000000e+00      1.558211e+00   
     2.998815        1.542913e+00      0.000000e+00      0.000000e+00      1.542913e+00   
     3.004739        1.525203e+00      0.000000e+00      0.000000e+00      1.525203e+00   
     3.024957        1.466278e+00      0.000000e+00      0.000000e+00      1.466278e+00   
     3.061273        1.366568e+00      0.000000e+00      0.000000e+00      1.366568e+00   
     3.113597        1.235380e+00      0.000000e+00      0.000000e+00      1.235380e+00   
     3.181789        1.083936e+00      0.000000e+00      0.000000e+00      1.083936e+00   
     3.265666        9.236159e-01      0.000000e+00      0.000000e+00      9.236159e-01   
     3.365002        7.644188e-01      0.000000e+00      0.000000e+00      7.644188e-01   
     3.479529        6.142911e-01      0.000000e+00      0.000000e+00      6.142911e-01   
     3.608938        4.789297e-01      0.000000e+00      0.000000e+00      4.789297e-01   
     3.752880        3.618791e-01      0.000000e+00      0.000000e+00      3.618791e-01   
     3.910968        2.646389e-01      0.000000e+00      0.000000e+00      2.646389e-01   
     4.082775        1.870038e-01      0.000000e+00      0.000000e+00      1.870038e-01   
     4.267838        1.274709e-01      0.000000e+00      0.000000e+00      1.274709e-01   
     4.465657        8.369358e-02      0.000000e+00      0.000000e+00      8.369358e-02   
     4.675701        5.285284e-02      0.000000e+00      0.000000e+00      5.285284e-02   
     4.897402        3.205716e-02      0.000000e+00      0.000000e+00      3.205716e-02   
     5.130163        1.864195e-02      0.000000e+00      0.000000e+00      1.864195e-02   
     5.373356        1.037234e-02      0.000000e+00      0.000000e+00      1.037234e-02   
     5.626327        5.505146e-03      0.000000e+00      0.000000e+00      5.505146e-03   
     5.888392        2.775360e-03      0.000000e+00      0.000000e+00      2.775360e-03   
     6.158845        1.320552e-03      0.000000e+00      0.000000e+00      1.320552e-03   
     6.436958        5.877353e-04      0.000000e+00      0.000000e+00      5.877353e-04   
     6.721980        2.417807e-04      0.000000e+00      0.000000e+00      2.417807e-04   
     7.013143        9.095169e-05      0.000000e+00      0.000000e+00      9.095169e-05   
     7.309662        3.164803e-05      0.000000e+00      0.000000e+00      3.164803e-05   
     7.610739        1.150353e-05      0.000000e+00      0.000000e+00      1.150353e-05   
     7.915560        6.032714e-06      0.000000e+00      0.000000e+00      6.032714e-06   
     8.223305        4.924031e-06      0.000000e+00      0.000000e+00      4.924031e-06   
     8.533144        4.507930e-06      0.000000e+00      0.000000e+00      4.507930e-06   
     8.844241        3.870299e-06      0.000000e+00      0.000000e+00      3.870299e-06   
     9.155759        3.027100e-06      0.000000e+00      0.000000e+00      3.027100e-06   
     9.466856        2.176374e-06      0.000000e+00      0.000000e+00      2.176374e-06   
     9.776695        1.458111e-06      0.000000e+00      0.000000e+00      1.458111e-06   
    10.084440        9.214240e-07      0.000000e+00      0.000000e+00      9.214240e-07   
