#        A               a_2        

        4              1.983383     
        9              2.726197     
        12             2.901914     
        16             2.741156     
        27             3.596677     
        40             3.283805     
        48             3.463627     
        56             3.691558     
        63             3.593236     
       197             3.870713     
       208             3.872780     
