#        q              total               1              \delta U         \delta U^2    

     0.001185        1.655831e+04      1.655933e+04     -1.058524e+00      3.631798e-02   
     0.006239        8.251310e+03      8.252336e+03     -1.061817e+00      3.632254e-02   
     0.015318        5.420882e+03      5.421911e+03     -1.065702e+00      3.634632e-02   
     0.028399        3.898439e+03      3.899470e+03     -1.068290e+00      3.641581e-02   
     0.045447        3.061038e+03      3.062073e+03     -1.071470e+00      3.656883e-02   
     0.066417        2.462499e+03      2.463536e+03     -1.074148e+00      3.685405e-02   
     0.091251        1.947524e+03      1.948567e+03     -1.079633e+00      3.733047e-02   
     0.119882        1.676032e+03      1.677083e+03     -1.088649e+00      3.806681e-02   
     0.152235        1.431001e+03      1.432064e+03     -1.101682e+00      3.914090e-02   
     0.188220        1.211073e+03      1.212152e+03     -1.119441e+00      4.063918e-02   
     0.227742        1.014891e+03      1.015991e+03     -1.142975e+00      4.265615e-02   
     0.270694        8.966138e+02      8.977415e+02     -1.173054e+00      4.529415e-02   
     0.316959        7.878807e+02      7.890424e+02     -1.210376e+00      4.866307e-02   
     0.366414        6.882891e+02      6.894916e+02     -1.255356e+00      5.288024e-02   
     0.418925        6.417688e+02      6.430212e+02     -1.310435e+00      5.806985e-02   
     0.474351        5.551333e+02      5.564389e+02     -1.369914e+00      6.436167e-02   
     0.532541        4.766384e+02      4.779996e+02     -1.433096e+00      7.188782e-02   
     0.593339        4.402783e+02      4.417079e+02     -1.510367e+00      8.077649e-02   
     0.656582        3.732469e+02      3.747292e+02     -1.573437e+00      9.114083e-02   
     0.722098        3.423889e+02      3.439416e+02     -1.655727e+00      1.030615e-01   
     0.789711        2.859382e+02      2.875186e+02     -1.696890e+00      1.165619e-01   
     0.859239        2.601457e+02      2.617826e+02     -1.768522e+00      1.315756e-01   
     0.930495        2.133983e+02      2.150106e+02     -1.760228e+00      1.479096e-01   
     1.003286        1.726278e+02      1.741699e+02     -1.707320e+00      1.652074e-01   
     1.077416        1.374342e+02      1.388584e+02     -1.607137e+00      1.829218e-01   
     1.152685        1.074116e+02      1.086740e+02     -1.462643e+00      2.003081e-01   
     1.228890        6.128663e+01      6.207787e+01     -1.007688e+00      2.164496e-01   
     1.305826        2.526330e+01      2.550973e+01     -4.767590e-01      2.303239e-01   
     1.383286        2.409091e-01      0.000000e+00      0.000000e+00      2.409091e-01   
     1.461060        2.473177e-01      0.000000e+00      0.000000e+00      2.473177e-01   
     1.538940        2.489343e-01      0.000000e+00      0.000000e+00      2.489343e-01   
     1.616714        2.455247e-01      0.000000e+00      0.000000e+00      2.455247e-01   
     1.694174        2.372868e-01      0.000000e+00      0.000000e+00      2.372868e-01   
     1.771110        2.248285e-01      0.000000e+00      0.000000e+00      2.248285e-01   
     1.847315        2.090737e-01      0.000000e+00      0.000000e+00      2.090737e-01   
     1.922584        1.911222e-01      0.000000e+00      0.000000e+00      1.911222e-01   
     1.996714        1.720965e-01      0.000000e+00      0.000000e+00      1.720965e-01   
     2.069505        1.530094e-01      0.000000e+00      0.000000e+00      1.530094e-01   
     2.140761        1.346747e-01      0.000000e+00      0.000000e+00      1.346747e-01   
     2.210289        1.176683e-01      0.000000e+00      0.000000e+00      1.176683e-01   
     2.277902        1.023325e-01      0.000000e+00      0.000000e+00      1.023325e-01   
     2.343418        8.881081e-02      0.000000e+00      0.000000e+00      8.881081e-02   
     2.406661        7.709624e-02      0.000000e+00      0.000000e+00      7.709624e-02   
     2.467459        6.708149e-02      0.000000e+00      0.000000e+00      6.708149e-02   
     2.525649        5.860244e-02      0.000000e+00      0.000000e+00      5.860244e-02   
     2.581075        5.147136e-02      0.000000e+00      0.000000e+00      5.147136e-02   
     2.633586        4.549973e-02      0.000000e+00      0.000000e+00      4.549973e-02   
     2.683041        4.051190e-02      0.000000e+00      0.000000e+00      4.051190e-02   
     2.729306        3.635200e-02      0.000000e+00      0.000000e+00      3.635200e-02   
     2.772258        3.288623e-02      0.000000e+00      0.000000e+00      3.288623e-02   
     2.811780        3.000237e-02      0.000000e+00      0.000000e+00      3.000237e-02   
     2.847765        2.760786e-02      0.000000e+00      0.000000e+00      2.760786e-02   
     2.880118        2.562728e-02      0.000000e+00      0.000000e+00      2.562728e-02   
     2.908749        2.399977e-02      0.000000e+00      0.000000e+00      2.399977e-02   
     2.933583        2.267668e-02      0.000000e+00      0.000000e+00      2.267668e-02   
     2.954553        2.161958e-02      0.000000e+00      0.000000e+00      2.161958e-02   
     2.971601        2.079856e-02      0.000000e+00      0.000000e+00      2.079856e-02   
     2.984682        2.019093e-02      0.000000e+00      0.000000e+00      2.019093e-02   
     2.993761        1.978023e-02      0.000000e+00      0.000000e+00      1.978023e-02   
