 2     298.1922355768	 -516.6520730758   -1038.2193274188   -1257.1457658144
 3     -95.7211224304	 -912.2820985939   -1313.3535490412   -1441.5101551215
 4    -503.8043610495	-1195.8681367847   -1451.0199596794   -1523.1291252498
 5    -893.6425252956	-1357.7015530296   -1525.5749342252   -1569.6247924931
 6   -1171.3182047150	-1448.6461592435   -1563.8158055168   -1593.8853906013
 7   -1340.0639532744	-1529.0298660048   -1593.7302615065   -1610.8374563462
 8   -1468.4690082452	-1586.9897610634   -1614.6781593821   -1622.1241528785
 9   -1564.5670032736	-1612.6947555983   -1624.1263154963   -1627.3847862685
10   -1610.8713026465	-1622.4093972351   -1628.1371373833   -1629.7773463731
11   -1624.8700705417	-1627.7708598302   -1630.2522101797   -1630.9602729526
12   -1628.6310258287	-1630.4289702591   -1631.1603393780   -1631.4494583134
13   -1630.4230466293   -1631.4822018980   -1631.6639759951   -1631.8033081949
14   -1631.4748944530   -1631.9760811263                      -1632.0699688327
