 8.0   -1602.3675018708   -1602.2502813516   -1601.6199439046
 9.0   -1612.9309726373   -1612.7638877977   -1612.2331147546
10.0   -1617.6623995402   -1617.4990983174   -1616.9735665151
11.0   -1625.9731807054   -1625.8164426770   -1625.2898731549
12.0   -1629.2468283235   -1629.0961714512   -1628.5637493854
13.0   -1629.6644013957   -1629.5138994400   -1628.9796774966
14.0   -1630.3522237240   -1630.2000365287   -1629.6643195218
15.0   -1631.0740540668   -1630.9225524596   -1630.3856898281
16.0   -1631.2496647395   -1631.0985935564   -1630.5621568644
17.0   -1631.4891885804   -1631.3373244661   -1630.7999373446
18.0   -1631.7947717319   -1631.6426812438   -1631.1042602778
