#        q                Q               total               1              \delta U         \delta U^2    

     0.001185          0.001762        8.559402e+08      8.559857e+08     -1.916336e+05      1.461633e+05   
     0.001185          0.009274        5.479867e+08      5.480128e+08     -1.559567e+05      1.299190e+05   
     0.001185          0.022740        3.505577e+08      3.505761e+08     -1.247329e+05      1.063016e+05   
     0.001185          0.042083        1.404785e+08      1.404841e+08     -6.661223e+04      6.110015e+04   
     0.001185          0.067187        9.751738e+07      9.752273e+07     -6.040341e+04      5.504671e+04   
     0.001185          0.097901        7.734183e+07      7.734667e+07     -5.350766e+04      4.867075e+04   
     0.001185          0.134040        6.092884e+07      6.093354e+07     -4.656731e+04      4.187080e+04   
     0.001185          0.175388        4.884212e+07      4.884691e+07     -4.136853e+04      3.658757e+04   
     0.001185          0.221694        3.885907e+07      3.886275e+07     -3.672752e+04      3.304233e+04   
     0.001185          0.272682        3.282871e+07      3.283231e+07     -3.439267e+04      3.079533e+04   
     0.001185          0.328043        2.692211e+07      2.692514e+07     -3.174498e+04      2.872068e+04   
     0.001185          0.387446        2.336984e+07      2.337276e+07     -3.020752e+04      2.729378e+04   
     0.001185          0.450533        2.052376e+07      2.052610e+07     -2.824871e+04      2.591338e+04   
     0.001185          0.516924        1.797260e+07      1.797436e+07     -2.637646e+04      2.460867e+04   
     0.001185          0.586221        1.625491e+07      1.625636e+07     -2.547218e+04      2.402996e+04   
     0.001185          0.658006        1.422317e+07      1.422391e+07     -2.383298e+04      2.309615e+04   
     0.001185          0.731848        1.287535e+07      1.287588e+07     -2.288382e+04      2.234946e+04   
     0.001185          0.807302        1.187255e+07      1.187264e+07     -2.206171e+04      2.197939e+04   
     0.001185          0.883916        1.104446e+07      1.104417e+07     -2.125952e+04      2.154694e+04   
     0.001185          0.961228        9.900688e+06      9.900048e+06     -2.047702e+04      2.111640e+04   
     0.001185          1.038772        8.865855e+06      8.864472e+06     -1.901831e+04      2.040055e+04   
     0.001185          1.116084        8.196475e+06      8.194904e+06     -1.824519e+04      1.981622e+04   
     0.001185          1.192698        7.589627e+06      7.587754e+06     -1.753898e+04      1.941180e+04   
     0.001185          1.268152        7.020692e+06      7.018557e+06     -1.685124e+04      1.898617e+04   
     0.001185          1.341994        6.487704e+06      6.485391e+06     -1.618172e+04      1.849483e+04   
     0.001185          1.413779        5.988906e+06      5.986408e+06     -1.553016e+04      1.802769e+04   
     0.001185          1.483076        5.756897e+06      5.754696e+06     -1.553016e+04      1.773072e+04   
     0.001185          1.549467        5.305706e+06      5.303387e+06     -1.489634e+04      1.721469e+04   
     0.001185          1.612554        5.086166e+06      5.083958e+06     -1.428000e+04      1.648788e+04   
     0.001185          1.671957        4.679191e+06      4.677148e+06     -1.368090e+04      1.572396e+04   
     0.001185          1.727318        4.299693e+06      4.297829e+06     -1.309879e+04      1.496255e+04   
     0.001185          1.778306        4.210587e+06      4.209054e+06     -1.309879e+04      1.463168e+04   
     0.001185          1.824612        3.945827e+06      3.944497e+06     -1.253344e+04      1.386356e+04   
     0.001185          1.865960        3.616796e+06      3.615706e+06     -1.198459e+04      1.307482e+04   
     0.001185          1.902099        3.616503e+06      3.615706e+06     -1.198459e+04      1.278126e+04   
     0.001185          1.932813        3.396816e+06      3.396212e+06     -1.145200e+04      1.205578e+04   
     0.001185          1.957917        3.310465e+06      3.310074e+06     -1.145200e+04      1.184224e+04   
     0.001185          1.977260        3.310290e+06      3.310074e+06     -1.145200e+04      1.166779e+04   
     0.001185          1.990726        3.161012e+06      3.160765e+06     -1.093543e+04      1.118246e+04   
     0.001185          1.998238        3.160831e+06      3.160765e+06     -1.093543e+04      1.100140e+04   
     0.006239          0.001762        4.832564e+08      4.833795e+08     -1.252142e+05      2.158586e+03   
     0.006239          0.009274        4.562985e+08      4.564123e+08     -1.159510e+05      2.151239e+03   
     0.006239          0.022740        3.172727e+08      3.173644e+08     -9.383683e+04      2.137492e+03   
     0.006239          0.042083        1.462553e+08      1.463100e+08     -5.684482e+04      2.119265e+03   
     0.006239          0.067187        9.700440e+07      9.705355e+07     -5.125576e+04      2.108848e+03   
     0.006239          0.097901        7.745585e+07      7.749936e+07     -4.561209e+04      2.098302e+03   
     0.006239          0.134040        6.115069e+07      6.118841e+07     -3.981364e+04      2.087219e+03   
     0.006239          0.175388        4.845093e+07      4.848386e+07     -3.499659e+04      2.066617e+03   
     0.006239          0.221694        3.914023e+07      3.916977e+07     -3.155917e+04      2.025445e+03   
     0.006239          0.272682        3.212214e+07      3.214915e+07     -2.896716e+04      1.965350e+03   
     0.006239          0.328043        2.712184e+07      2.714694e+07     -2.699563e+04      1.890972e+03   
