#        q              total               1              \delta U         \delta U^2    

     0.001185        8.620599e+08      8.620770e+08     -1.855921e+04      1.516265e+03   
     0.006239        4.590253e+08      4.590376e+08     -1.290109e+04      5.756209e+02   
     0.015318        2.254254e+08      2.254339e+08     -8.914934e+03      4.072140e+02   
     0.028399        8.330223e+07      8.330726e+07     -5.378564e+03      3.521499e+02   
     0.045447        6.387538e+07      6.387973e+07     -4.685690e+03      3.311371e+02   
     0.066417        4.569310e+07      4.569672e+07     -3.945973e+03      3.219046e+02   
     0.091251        3.404745e+07      3.405052e+07     -3.390004e+03      3.157136e+02   
     0.119882        2.661706e+07      2.661973e+07     -2.978752e+03      3.093828e+02   
     0.152235        2.197785e+07      2.198023e+07     -2.683821e+03      3.014607e+02   
     0.188220        1.927626e+07      1.927845e+07     -2.484710e+03      2.911770e+02   
     0.227742        1.685727e+07      1.685928e+07     -2.288542e+03      2.780469e+02   
     0.270694        1.469673e+07      1.469856e+07     -2.095516e+03      2.618063e+02   
     0.316959        1.277205e+07      1.277371e+07     -1.906215e+03      2.423977e+02   
     0.366414        1.106216e+07      1.106366e+07     -1.721604e+03      2.200300e+02   
     0.418925        9.547456e+06      9.548804e+06     -1.542961e+03      1.952090e+02   
     0.474351        8.857559e+06      8.858815e+06     -1.424947e+03      1.687880e+02   
     0.532541        7.601819e+06      7.602935e+06     -1.258050e+03      1.419542e+02   
     0.593339        6.498078e+06      6.499064e+06     -1.102327e+03      1.161908e+02   
     0.656582        5.998465e+06      5.999371e+06     -9.991762e+02      9.315508e+01   
     0.722098        5.094792e+06      5.095584e+06     -8.662394e+02      7.448966e+01   
     0.789711        4.307536e+06      4.308224e+06     -7.488311e+02      6.154923e+01   
     0.859239        3.624377e+06      3.624970e+06     -6.471744e+02      5.509137e+01   
     0.930495        3.034000e+06      3.034506e+06     -5.606834e+02      5.497803e+01   
     1.003286        2.526037e+06      2.526465e+06     -4.879764e+02      5.998957e+01   
     1.077416        2.091015e+06      2.091374e+06     -4.270365e+02      6.786517e+01   
     1.152685        1.406039e+06      1.406303e+06     -3.394863e+02      7.564903e+01   
     1.228890        5.189900e+05      5.191108e+05     -2.011603e+02      8.034125e+01   
     1.305826        7.969399e+01      0.000000e+00      0.000000e+00      7.969399e+01   
     1.383286        7.289163e+01      0.000000e+00      0.000000e+00      7.289163e+01   
     1.461060        6.080906e+01      0.000000e+00      0.000000e+00      6.080906e+01   
     1.538940        4.568466e+01      0.000000e+00      0.000000e+00      4.568466e+01   
     1.616714        3.032440e+01      0.000000e+00      0.000000e+00      3.032440e+01   
     1.694174        1.718367e+01      0.000000e+00      0.000000e+00      1.718367e+01   
     1.771110        7.721398e+00      0.000000e+00      0.000000e+00      7.721398e+00   
     1.847315        2.244050e+00      0.000000e+00      0.000000e+00      2.244050e+00   
     1.922584        1.804721e-01      0.000000e+00      0.000000e+00      1.804721e-01   
     1.996714        5.441775e-01      0.000000e+00      0.000000e+00      5.441775e-01   
     2.069505        2.337214e+00      0.000000e+00      0.000000e+00      2.337214e+00   
     2.140761        4.774242e+00      0.000000e+00      0.000000e+00      4.774242e+00   
     2.210289        7.336857e+00      0.000000e+00      0.000000e+00      7.336857e+00   
     2.277902        9.731042e+00      0.000000e+00      0.000000e+00      9.731042e+00   
     2.343418        1.181662e+01      0.000000e+00      0.000000e+00      1.181662e+01   
     2.406661        1.354604e+01      0.000000e+00      0.000000e+00      1.354604e+01   
     2.467459        1.492278e+01      0.000000e+00      0.000000e+00      1.492278e+01   
     2.525649        1.597626e+01      0.000000e+00      0.000000e+00      1.597626e+01   
     2.581075        1.674761e+01      0.000000e+00      0.000000e+00      1.674761e+01   
     2.633586        1.728158e+01      0.000000e+00      0.000000e+00      1.728158e+01   
     2.683041        1.762205e+01      0.000000e+00      0.000000e+00      1.762205e+01   
     2.729306        1.780957e+01      0.000000e+00      0.000000e+00      1.780957e+01   
