#       k             kp                 U11                    U12                    U21                    U22          
   0.001185       0.001185         1.000000e+00           -8.784422e-26          -9.393921e-26          1.000000e+00      
   0.001185       0.006239         -1.074791e-16          -1.144243e-22          -4.384021e-24          -1.124468e-29     
   0.001185       0.015318         -8.100447e-16          -7.915909e-21          -4.927046e-23          9.146906e-27      
   0.001185       0.028399         -3.232245e-15          -2.178349e-19          -3.857292e-22          5.108965e-25      
   0.001185       0.045447         -9.206875e-15          -3.353077e-18          -2.284724e-21          9.892729e-24      
   0.001185       0.066417         -2.117142e-14          -3.281993e-17          -1.034110e-20          1.047008e-22      
   0.001185       0.091251         -4.175093e-14          -2.265199e-16          -3.722123e-20          7.359978e-22      
   0.001185       0.119882         -7.280540e-14          -1.191433e-15          -1.109456e-19          3.817397e-21      
   0.001185       0.152235         -1.136690e-13          -5.046534e-15          -2.825355e-19          1.554966e-20      
   0.001185       0.188220         -1.581312e-13          -1.789934e-14          -6.287263e-19          5.170333e-20      
   0.001185       0.227742         -1.898926e-13          -5.467883e-14          -1.242953e-18          1.437501e-19      
   0.001185       0.270694         -1.764995e-13          -1.469287e-13          -2.211932e-18          3.390535e-19      
   0.001185       0.316959         -6.238412e-14          -3.531153e-13          -3.586441e-18          6.838662e-19      
   0.001185       0.366414         2.376411e-13           -7.696187e-13          -5.365986e-18          1.184649e-18      
   0.001185       0.418925         8.429472e-13           -1.539997e-12          -7.511497e-18          1.771163e-18      
   0.001185       0.474351         1.909049e-12           -2.861063e-12          -9.968831e-18          2.320130e-18      
   0.001185       0.532541         3.627298e-12           -4.985318e-12          -1.265473e-17          2.786122e-18      
   0.001185       0.593339         6.221968e-12           -8.217050e-12          -1.538396e-17          3.372731e-18      
   0.001185       0.656582         9.941416e-12           -1.289410e-11          -1.781854e-17          4.524853e-18      
   0.001185       0.722098         1.503847e-11           -1.934801e-11          -1.958454e-17          6.563613e-18      
   0.001185       0.789711         2.174074e-11           -2.785175e-11          -2.055987e-17          9.182392e-18      
   0.001185       0.859239         3.022244e-11           -3.858698e-11          -2.104113e-17          1.144854e-17      
   0.001185       0.930495         4.059206e-11           -5.165595e-11          -2.145605e-17          1.266876e-17      
   0.001185       1.003286         5.289347e-11           -6.711389e-11          -2.179673e-17          1.335002e-17      
   0.001185       1.077416         6.709855e-11           -8.495622e-11          -2.150215e-17          1.485380e-17      
   0.001185       1.152685         8.307872e-11           -1.050417e-10          -2.015968e-17          1.766523e-17      
   0.001185       1.228890         1.005807e-10           -1.270363e-10          -1.822565e-17          2.037971e-17      
   0.001185       1.305826         1.192442e-10           -1.504718e-10          -1.662620e-17          2.122737e-17      
   0.001185       1.383286         1.386552e-10           -1.748699e-10          -1.554142e-17          2.054439e-17      
   0.001185       1.461060         1.583767e-10           -1.997721e-10          -1.408511e-17          2.061753e-17      
   0.001185       1.538940         1.779339e-10           -2.246350e-10          -1.156116e-17          2.258560e-17      
   0.001185       1.616714         1.968001e-10           -2.487630e-10          -8.607668e-18          2.461240e-17      
   0.001185       1.694174         2.144433e-10           -2.714266e-10          -6.469150e-18          2.423108e-17      
   0.001185       1.771110         2.304027e-10           -2.920485e-10          -5.329309e-18          2.175687e-17      
   0.001185       1.847315         2.443186e-10           -3.102346e-10          -4.105690e-18          1.987768e-17      
   0.001185       1.922584         2.559003e-10           -3.256430e-10          -2.010438e-18          1.996262e-17      
   0.001185       1.996714         2.649020e-10           -3.379109e-10          3.485734e-19           2.026414e-17      
   0.001185       2.069505         2.711529e-10           -3.467566e-10          1.790410e-18           1.831516e-17      
   0.001185       2.140761         2.746058e-10           -3.521206e-10          2.055944e-18           1.404215e-17      
   0.001185       2.210289         2.753409e-10           -3.541654e-10          2.013077e-18           9.634534e-18      
   0.001185       2.277902         2.735213e-10           -3.531464e-10          2.527779e-18           6.836617e-18      
   0.001185       2.343418         2.693509e-10           -3.493099e-10          3.547699e-18           5.230247e-18      
   0.001185       2.406661         2.630645e-10           -3.429019e-10          4.348646e-18           3.144348e-18      
