#       k             kp                  U           
   0.001185       0.001185         1.000000e+00      
   0.001185       0.006239         -2.501535e-16     
   0.001185       0.015318         -1.893102e-15     
   0.001185       0.028399         -7.644695e-15     
   0.001185       0.045447         -2.235375e-14     
   0.001185       0.066417         -5.396804e-14     
   0.001185       0.091251         -1.152878e-13     
   0.001185       0.119882         -2.269084e-13     
   0.001185       0.152235         -4.216051e-13     
   0.001185       0.188220         -7.497058e-13     
   0.001185       0.227742         -1.284253e-12     
   0.001185       0.270694         -2.124158e-12     
   0.001185       0.316959         -3.393447e-12     
   0.001185       0.366414         -5.235574e-12     
   0.001185       0.418925         -7.803308e-12     
   0.001185       0.474351         -1.124631e-11     
   0.001185       0.532541         -1.569911e-11     
   0.001185       0.593339         -2.127187e-11     
   0.001185       0.656582         -2.804639e-11     
   0.001185       0.722098         -3.607929e-11     
   0.001185       0.789711         -4.541213e-11     
   0.001185       0.859239         -5.608326e-11     
   0.001185       0.930495         -6.813352e-11     
   0.001185       1.003286         -8.160370e-11     
   0.001185       1.077416         -9.653169e-11     
   0.001185       1.152685         -1.129570e-10     
   0.001185       1.228890         -1.309253e-10     
   0.001185       1.305826         -1.504766e-10     
   0.001185       1.383286         -1.716157e-10     
   0.001185       1.461060         -1.942900e-10     
   0.001185       1.538940         -2.183899e-10     
   0.001185       1.616714         -2.437557e-10     
   0.001185       1.694174         -2.701652e-10     
   0.001185       1.771110         -2.973078e-10     
   0.001185       1.847315         -3.247806e-10     
   0.001185       1.922584         -3.521188e-10     
   0.001185       1.996714         -3.788317e-10     
   0.001185       2.069505         -4.044150e-10     
   0.001185       2.140761         -4.283526e-10     
   0.001185       2.210289         -4.501335e-10     
   0.001185       2.277902         -4.692891e-10     
   0.001185       2.343418         -4.854281e-10     
   0.001185       2.406661         -4.982496e-10     
   0.001185       2.467459         -5.075374e-10     
   0.001185       2.525649         -5.131525e-10     
   0.001185       2.581075         -5.150299e-10     
   0.001185       2.633586         -5.131763e-10     
   0.001185       2.683041         -5.076600e-10     
   0.001185       2.729306         -4.985935e-10     
   0.001185       2.772258         -4.861090e-10     
   0.001185       2.811780         -4.703334e-10     
   0.001185       2.847765         -4.513633e-10     
   0.001185       2.880118         -4.292379e-10     
   0.001185       2.908749         -4.039055e-10     
   0.001185       2.933583         -3.751751e-10     
   0.001185       2.954553         -3.426344e-10     
   0.001185       2.971601         -3.054920e-10     
   0.001185       2.984682         -2.622129e-10     
   0.001185       2.993761         -2.094580e-10     
   0.001185       2.998815         -1.373416e-10     
   0.001185       3.004739         -2.752188e-10     
   0.001185       3.024957         -4.213506e-10     
   0.001185       3.061273         -5.297750e-10     
   0.001185       3.113597         -6.191575e-10     
   0.001185       3.181789         -6.941329e-10     
   0.001185       3.265666         -7.548068e-10     
   0.001185       3.365002         -7.990733e-10     
   0.001185       3.479529         -8.237971e-10     
   0.001185       3.608938         -8.260038e-10     
   0.001185       3.752880         -8.040313e-10     
   0.001185       3.910968         -7.582447e-10     
   0.001185       4.082775         -6.917227e-10     
   0.001185       4.267838         -6.098188e-10     
   0.001185       4.465657         -5.191543e-10     
   0.001185       4.675701         -4.264893e-10     
   0.001185       4.897402         -3.375405e-10     
   0.001185       5.130163         -2.565374e-10     
   0.001185       5.373356         -1.861130e-10     
   0.001185       5.626327         -1.273667e-10     
   0.001185       5.888392         -8.030434e-11     
   0.001185       6.158845         -4.408179e-11     
   0.001185       6.436958         -1.737160e-11     
   0.001185       6.721980         1.323472e-12      
   0.001185       7.013143         1.351793e-11      
   0.001185       7.309662         2.065439e-11      
   0.001185       7.610739         2.401239e-11      
   0.001185       7.915560         2.466681e-11      
   0.001185       8.223305         2.351892e-11      
   0.001185       8.533144         2.127716e-11      
   0.001185       8.844241         1.847664e-11      
   0.001185       9.155759         1.550781e-11      
   0.001185       9.466856         1.261754e-11      
   0.001185       9.776695         9.976252e-12      
   0.001185       10.084440        7.670488e-12      
   0.001185       10.389261        5.726993e-12      
   0.001185       10.690338        4.147246e-12      
   0.001185       10.986857        2.887589e-12      
   0.001185       11.278020        1.915325e-12      
   0.001185       11.563042        1.192601e-12      
   0.001185       11.841155        6.613609e-13      
   0.001185       12.111608        2.867014e-13      
   0.001185       12.373673        3.284913e-14      
   0.001185       12.626644        -1.370396e-13     
   0.001185       12.869837        -2.396812e-13     
   0.001185       13.102598        -2.901849e-13     
   0.001185       13.324299        -3.140673e-13     
   0.001185       13.534343        -3.178949e-13     
   0.001185       13.732162        -3.029966e-13     
   0.001185       13.917225        -2.827440e-13     
   0.001185       14.089032        -2.621319e-13     
   0.001185       14.247120        -2.405153e-13     
   0.001185       14.391062        -2.168072e-13     
   0.001185       14.520471        -1.906598e-13     
   0.001185       14.634998        -1.668267e-13     
   0.001185       14.734334        -1.461135e-13     
   0.001185       14.818211        -1.268863e-13     
   0.001185       14.886403        -1.081995e-13     
   0.001185       14.938727        -8.934441e-14     
   0.001185       14.975043        -6.917979e-14     
   0.001185       14.995261        -4.458429e-14     
   0.006239       0.001185         -2.499033e-16     
   0.006239       0.006239         1.000000e+00      
   0.006239       0.015318         -8.001015e-14     
   0.006239       0.028399         -3.230973e-13     
   0.006239       0.045447         -9.447739e-13     
   0.006239       0.066417         -2.280981e-12     
   0.006239       0.091251         -4.872812e-12     
   0.006239       0.119882         -9.590961e-12     
   0.006239       0.152235         -1.782115e-11     
   0.006239       0.188220         -3.169136e-11     
   0.006239       0.227742         -5.429011e-11     
   0.006239       0.270694         -8.979988e-11     
   0.006239       0.316959         -1.434652e-10     
   0.006239       0.366414         -2.213524e-10     
   0.006239       0.418925         -3.299216e-10     
   0.006239       0.474351         -4.755015e-10     
   0.006239       0.532541         -6.637810e-10     
   0.006239       0.593339         -8.994185e-10     
   0.006239       0.656582         -1.185873e-09     
   0.006239       0.722098         -1.525540e-09     
   0.006239       0.789711         -1.920175e-09     
   0.006239       0.859239         -2.371401e-09     
