#       k             kp                 U11                    U12                    U21                    U22          
   0.001185       0.001185         1.000000e+00           1.029189e-24           1.008718e-24           1.000000e+00      
   0.001185       0.006239         -7.311102e-16          1.118604e-21           3.947265e-23           1.462953e-29      
   0.001185       0.015318         -5.508001e-15          2.996028e-20           1.729568e-22           7.521429e-26      
   0.001185       0.028399         -2.195178e-14          -4.276884e-19          -7.613357e-22          4.006895e-24      
   0.001185       0.045447         -6.234041e-14          -1.665621e-17          -1.126986e-20          7.682487e-23      
   0.001185       0.066417         -1.425551e-13          -2.072494e-16          -6.494159e-20          8.104695e-22      
   0.001185       0.091251         -2.783706e-13          -1.571566e-15          -2.571105e-19          5.689785e-21      
   0.001185       0.119882         -4.772512e-13          -8.636841e-15          -8.011337e-19          2.949307e-20      
   0.001185       0.152235         -7.232941e-13          -3.742731e-14          -2.087535e-18          1.200960e-19      
   0.001185       0.188220         -9.519195e-13          -1.344531e-13          -4.705072e-18          3.992376e-19      
   0.001185       0.227742         -1.012018e-12          -4.138335e-13          -9.371062e-18          1.109779e-18      
   0.001185       0.270694         -6.157202e-13          -1.117143e-12          -1.675002e-17          2.616920e-18      
   0.001185       0.316959         7.187770e-13           -2.692271e-12          -2.722657e-17          5.276371e-18      
   0.001185       0.366414         3.719855e-12           -5.876539e-12          -4.078444e-17          9.134962e-18      
   0.001185       0.418925         9.397175e-12           -1.176407e-11          -5.710029e-17          1.364568e-17      
   0.001185       0.474351         1.905028e-11           -2.184358e-11          -7.571934e-17          1.785188e-17      
   0.001185       0.532541         3.424939e-11           -3.799882e-11          -9.594081e-17          2.139675e-17      
   0.001185       0.593339         5.678031e-11           -6.244505e-11          -1.162570e-16          2.582706e-17      
   0.001185       0.656582         8.852203e-11           -9.753383e-11          -1.339821e-16          3.448921e-17      
   0.001185       0.722098         1.312164e-10           -1.453675e-10          -1.461874e-16          4.967970e-17      
   0.001185       0.789711         1.861379e-10           -2.073009e-10          -1.519186e-16          6.883756e-17      
   0.001185       0.859239         2.537626e-10           -2.835864e-10          -1.533945e-16          8.476400e-17      
   0.001185       0.930495         3.335626e-10           -3.733654e-10          -1.537274e-16          9.232745e-17      
   0.001185       1.003286         4.239300e-10           -4.748271e-10          -1.527498e-16          9.535828e-17      
   0.001185       1.077416         5.220987e-10           -5.850840e-10          -1.465020e-16          1.033783e-16      
   0.001185       1.152685         6.240329e-10           -6.997216e-10          -1.325576e-16          1.189372e-16      
   0.001185       1.228890         7.245179e-10           -8.127254e-10          -1.146711e-16          1.318039e-16      
   0.001185       1.305826         8.177138e-10           -9.173943e-10          -9.919081e-17          1.309756e-16      
   0.001185       1.383286         8.980304e-10           -1.007704e-09          -8.708359e-17          1.200561e-16      
   0.001185       1.461060         9.608539e-10           -1.078977e-09          -7.325823e-17          1.130944e-16      
   0.001185       1.538940         1.002923e-09           -1.127742e-09          -5.487196e-17          1.151400e-16      
   0.001185       1.616714         1.022601e-09           -1.151840e-09          -3.636236e-17          1.156935e-16      
   0.001185       1.694174         1.020192e-09           -1.151228e-09          -2.369206e-17          1.044946e-16      
   0.001185       1.771110         9.979959e-10           -1.128466e-09          -1.670227e-17          8.580836e-17      
   0.001185       1.847315         9.597917e-10           -1.087982e-09          -1.049736e-17          7.147997e-17      
   0.001185       1.922584         9.099688e-10           -1.034687e-09          -2.617063e-18          6.522155e-17      
   0.001185       1.996714         8.527886e-10           -9.730837e-10          4.513174e-18           6.018842e-17      
   0.001185       2.069505         7.919953e-10           -9.071304e-10          7.833205e-18           4.984085e-17      
   0.001185       2.140761         7.306377e-10           -8.402525e-10          7.640069e-18           3.558202e-17      
   0.001185       2.210289         6.709555e-10           -7.751177e-10          6.702827e-18           2.331065e-17      
   0.001185       2.277902         6.143532e-10           -7.133983e-10          6.965045e-18           1.614217e-17      
   0.001185       2.343418         5.615218e-10           -6.558355e-10          8.099172e-18           1.220830e-17      
   0.001185       2.406661         5.126652e-10           -6.025769e-10          8.703095e-18           7.954545e-18      
   0.001185       2.467459         4.677246e-10           -5.535224e-10          8.024658e-18           1.805623e-18      
   0.001185       2.525649         4.265207e-10           -5.084997e-10          6.461054e-18           -5.214605e-18     
   0.001185       2.581075         3.888167e-10           -4.672855e-10          4.905542e-18           -1.120787e-17     
   0.001185       2.633586         3.543408e-10           -4.295846e-10          3.953283e-18           -1.511413e-17     
   0.001185       2.683041         3.228012e-10           -3.950361e-10          3.633031e-18           -1.712802e-17     
   0.001185       2.729306         2.939022e-10           -3.632505e-10          3.622764e-18           -1.810578e-17     
   0.001185       2.772258         2.673560e-10           -3.338455e-10          3.582777e-18           -1.882488e-17     
   0.001185       2.811780         2.428859e-10           -3.064614e-10          3.343416e-18           -1.962680e-17     
   0.001185       2.847765         2.202207e-10           -2.807557e-10          2.911104e-18           -2.045957e-17     
   0.001185       2.880118         1.990839e-10           -2.563847e-10          2.383078e-18           -2.109183e-17     
   0.001185       2.908749         1.791788e-10           -2.329809e-10          1.862768e-18           -2.129810e-17     
   0.001185       2.933583         1.601673e-10           -2.101247e-10          1.416015e-18           -2.094129e-17     
   0.001185       2.954553         1.416375e-10           -1.873009e-10          1.065162e-18           -1.996943e-17     
   0.001185       2.971601         1.230389e-10           -1.638146e-10          8.020378e-19           -1.837037e-17     
   0.001185       2.984682         1.035369e-10           -1.385974e-10          6.034964e-19           -1.611153e-17     
   0.001185       2.993761         8.159338e-11           -1.096457e-10          4.407993e-19           -1.304914e-17     
   0.001185       2.998815         5.311370e-11           -7.153088e-11          2.754537e-19           -8.620734e-18     
   0.001185       3.004739         1.053054e-10           -1.421893e-10          5.216093e-19           -1.738271e-17     
   0.001185       3.024957         1.558300e-10           -2.123489e-10          6.763977e-19           -2.715735e-17     
   0.001185       3.061273         1.847077e-10           -2.561906e-10          7.370192e-19           -3.508946e-17     
   0.001185       3.113597         1.984826e-10           -2.832366e-10          9.746159e-19           -4.203087e-17     
   0.001185       3.181789         1.993933e-10           -2.970140e-10          1.317575e-18           -4.869217e-17     
   0.001185       3.265666         1.888821e-10           -2.997998e-10          9.391873e-19           -5.698611e-17     
   0.001185       3.365002         1.683472e-10           -2.937015e-10          -3.818827e-19          -6.692804e-17     
   0.001185       3.479529         1.393767e-10           -2.809968e-10          -6.360265e-19          -7.372272e-17     
   0.001185       3.608938         1.036469e-10           -2.636770e-10          8.934912e-20           -7.780254e-17     
   0.001185       3.752880         6.289118e-11           -2.433361e-10          -8.926276e-19          -8.431659e-17     
   0.001185       3.910968         1.914421e-11           -2.218616e-10          -3.586191e-19          -8.537130e-17     
   0.001185       4.082775         -2.562709e-11          -2.003012e-10          7.170771e-20           -8.491715e-17     
   0.001185       4.267838         -6.938870e-11          -1.794948e-10          1.757222e-19           -8.245568e-17     
   0.001185       4.465657         -1.101152e-10          -1.600194e-10          1.045564e-18           -7.621560e-17     
   0.001185       4.675701         -1.460239e-10          -1.419496e-10          1.286939e-18           -6.891347e-17     
   0.001185       4.897402         -1.755492e-10          -1.253418e-10          1.686721e-18           -5.973208e-17     
   0.001185       5.130163         -1.975635e-10          -1.100832e-10          2.232266e-18           -4.884718e-17     
   0.001185       5.373356         -2.114775e-10          -9.590598e-11          1.884204e-18           -3.952109e-17     
   0.001185       5.626327         -2.171754e-10          -8.283191e-11          2.238829e-18           -2.874567e-17     
   0.001185       5.888392         -2.151733e-10          -7.066099e-11          2.030659e-18           -1.984461e-17     
   0.001185       6.158845         -2.064073e-10          -5.938748e-11          1.512524e-18           -1.283503e-17     
   0.001185       6.436958         -1.921451e-10          -4.910894e-11          1.418923e-18           -6.271489e-18     
   0.001185       6.721980         -1.738896e-10          -3.982952e-11          1.219408e-18           -1.416419e-18     
   0.001185       7.013143         -1.531747e-10          -3.157620e-11          7.359083e-19           1.338804e-18      
   0.001185       7.309662         -1.314205e-10          -2.442410e-11          4.054746e-19           3.102681e-18      
   0.001185       7.610739         -1.098595e-10          -1.838618e-11          3.353560e-19           4.349284e-18      
   0.001185       7.915560         -8.947508e-11          -1.339334e-11          2.484918e-19           4.761335e-18      
   0.001185       8.223305         -7.095868e-11          -9.373768e-12          6.260415e-20           4.341541e-18      
   0.001185       8.533144         -5.472023e-11          -6.236795e-12          -9.466389e-20          3.591636e-18      
   0.001185       8.844241         -4.092949e-11          -3.873252e-12          -1.186265e-19          2.949511e-18      
   0.001185       9.155759         -2.956821e-11          -2.160812e-12          -4.083202e-20          2.445304e-18      
   0.001185       9.466856         -2.048364e-11          -9.528984e-13          -2.136840e-20          1.867577e-18      
   0.001185       9.776695         -1.343014e-11          -1.449593e-13          -7.028237e-20          1.194868e-18      
   0.001185       10.084440        -8.114841e-12          3.570686e-13           -1.043073e-19          6.383092e-19      
