#       k             kp                 O11                    O12                    O21                    O22          
   0.001947       0.001947         -1.068361e-22          -1.268960e-15          1.268960e-15           2.371803e-37      
   0.001947       0.010250         1.750375e-11           -2.823525e-13          1.018850e-14           -2.527565e-22     
   0.001947       0.025159         3.340932e-10           -5.221502e-12          3.133389e-14           -2.899849e-20     
   0.001947       0.046627         2.487695e-09           -3.861462e-11          6.784636e-14           -7.366497e-19     
   0.001947       0.074585         1.142471e-08           -1.761516e-10          1.224468e-13           -8.528731e-18     
   0.001947       0.108938         3.894242e-08           -5.940323e-10          1.978396e-13           -6.034981e-17     
   0.001947       0.149573         1.082697e-07           -1.623739e-09          2.968428e-13           -3.025286e-16     
   0.001947       0.196355         2.592933e-07           -3.792531e-09          4.220288e-13           -1.168298e-15     
   0.001947       0.249129         5.535368e-07           -7.823291e-09          5.746665e-13           -3.660907e-15     
   0.001947       0.307719         1.077592e-06           -1.457552e-08          7.531103e-13           -9.639662e-15     
   0.001947       0.371930         1.943407e-06           -2.493648e-08          9.513239e-13           -2.188700e-14     
   0.001947       0.441550         3.283771e-06           -3.970750e-08          1.158456e-12           -4.375498e-14     
   0.001947       0.516347         5.241742e-06           -5.954987e-08          1.359907e-12           -7.842163e-14     
   0.001947       0.596072         7.953600e-06           -8.503808e-08          1.539441e-12           -1.280660e-13     
   0.001947       0.680461         1.152640e-05           -1.168187e-07          1.681426e-12           -1.933325e-13     
   0.001947       0.769234         1.601291e-05           -1.558197e-07          1.772507e-12           -2.732503e-13     
   0.001947       0.862094         2.138841e-05           -2.034217e-07          1.802577e-12           -3.655091e-13     
   0.001947       0.958735         2.753491e-05           -2.615007e-07          1.765261e-12           -4.668741e-13     
   0.001947       1.058835         3.423789e-05           -3.322726e-07          1.658117e-12           -5.735657e-13     
   0.001947       1.162061         4.119912e-05           -4.179099e-07          1.482592e-12           -6.815347e-13     
   0.001947       1.268071         4.806553e-05           -5.199538e-07          1.243723e-12           -7.866439e-13     
   0.001947       1.376513         5.447038e-05           -6.386015e-07          9.495314e-13           -8.848034e-13     
   0.001947       1.487025         6.007917e-05           -7.720009e-07          6.101890e-13           -9.721023e-13     
   0.001947       1.599241         6.463123e-05           -9.157158e-07          2.370964e-13           -1.044961e-12     
   0.001947       1.712789         6.796834e-05           -1.062518e-06          -1.579559e-13          -1.100314e-12     
   0.001947       1.827291         7.004513e-05           -1.202613e-06          -5.634060e-13          -1.135802e-12     
   0.001947       1.942367         7.092042e-05           -1.324321e-06          -9.682677e-13          -1.149965e-12     
   0.001947       2.057633         7.073347e-05           -1.415136e-06          -1.362253e-12          -1.142394e-12     
   0.001947       2.172709         6.967205e-05           -1.463008e-06          -1.735790e-12          -1.113812e-12     
   0.001947       2.287211         6.794007e-05           -1.457637e-06          -2.080058e-12          -1.066071e-12     
   0.001947       2.400759         6.573106e-05           -1.391589e-06          -2.387157e-12          -1.002033e-12     
   0.001947       2.512975         6.321095e-05           -1.261077e-06          -2.650407e-12          -9.253563e-13     
   0.001947       2.623487         6.051039e-05           -1.066325e-06          -2.864748e-12          -8.401913e-13     
   0.001947       2.731929         5.772497e-05           -8.115178e-07          -3.027117e-12          -7.508326e-13     
   0.001947       2.837939         5.492023e-05           -5.043801e-07          -3.136698e-12          -6.613668e-13     
   0.001947       2.941165         5.213867e-05           -1.554762e-07          -3.194961e-12          -5.753638e-13     
   0.001947       3.041265         4.940659e-05           2.226547e-07           -3.205453e-12          -4.956517e-13     
   0.001947       3.137906         4.673967e-05           6.164211e-07           -3.173378e-12          -4.241943e-13     
   0.001947       3.230766         4.414676e-05           1.012059e-06           -3.105034e-12          -3.620765e-13     
