#       k             kp                 O11                    O12                    O21                    O22          
   0.001947       0.001947         -2.439595e-21          -1.251254e-14          1.251254e-14           1.037249e-36      
   0.001947       0.010250         4.403090e-10           -2.784683e-12          1.004267e-13           -9.483801e-22     
   0.001947       0.025159         8.397524e-09           -5.155016e-11          3.082678e-13           -1.088011e-19     
   0.001947       0.046627         6.238499e-08           -3.823830e-10          6.638119e-13           -2.763477e-18     
   0.001947       0.074585         2.850554e-07           -1.755921e-09          1.183775e-12           -3.198456e-17     
   0.001947       0.108938         9.625451e-07           -5.994052e-09          1.871591e-12           -2.261887e-16     
   0.001947       0.149573         2.634583e-06           -1.671471e-08          2.712442e-12           -1.132712e-15     
   0.001947       0.196355         6.159813e-06           -4.022716e-08          3.666983e-12           -4.367260e-15     
   0.001947       0.249129         1.270145e-05           -8.652207e-08          4.665952e-12           -1.365194e-14     
   0.001947       0.307719         2.357285e-05           -1.702603e-07          5.609591e-12           -3.582134e-14     
   0.001947       0.371930         3.990919e-05           -3.116055e-07          6.376911e-12           -8.092922e-14     
   0.001947       0.441550         6.220250e-05           -5.366137e-07          6.847584e-12           -1.606744e-13     
   0.001947       0.516347         8.983886e-05           -8.766947e-07          6.932625e-12           -2.852718e-13     
   0.001947       0.596072         1.208596e-04           -1.366551e-06          6.602242e-12           -4.599847e-13     
   0.001947       0.680461         1.521558e-04           -2.040245e-06          5.896521e-12           -6.827866e-13     
   0.001947       0.769234         1.801523e-04           -2.925781e-06          4.910931e-12           -9.438368e-13     
   0.001947       0.862094         2.017861e-04           -4.039517e-06          3.761147e-12           -1.226434e-12     
   0.001947       0.958735         2.153798e-04           -5.382079e-06          2.543095e-12           -1.508666e-12     
   0.001947       1.058835         2.210120e-04           -6.936780e-06          1.306741e-12           -1.765190e-12     
   0.001947       1.162061         2.202359e-04           -8.670088e-06          5.411685e-14           -1.969027e-12     
   0.001947       1.268071         2.153353e-04           -1.053256e-05          -1.241460e-12          -2.093614e-12     
   0.001947       1.376513         2.085145e-04           -1.245890e-05          -2.607884e-12          -2.115370e-12     
   0.001947       1.487025         2.013626e-04           -1.436736e-05          -4.052187e-12          -2.016853e-12     
   0.001947       1.599241         1.947078e-04           -1.616016e-05          -5.550877e-12          -1.790165e-12     
   0.001947       1.712789         1.887587e-04           -1.772717e-05          -7.052013e-12          -1.439938e-12     
   0.001947       1.827291         1.833537e-04           -1.895409e-05          -8.484468e-12          -9.849837e-13     
   0.001947       1.942367         1.781833e-04           -1.973465e-05          -9.770091e-12          -4.577032e-13     
   0.001947       2.057633         1.729370e-04           -1.998499e-05          -1.083622e-11          9.924373e-14      
   0.001947       2.172709         1.673802e-04           -1.965708e-05          -1.162694e-11          6.387924e-13      
   0.001947       2.287211         1.613852e-04           -1.874809e-05          -1.211164e-11          1.116764e-12      
   0.001947       2.400759         1.549339e-04           -1.730287e-05          -1.228905e-11          1.498834e-12      
   0.001947       2.512975         1.480998e-04           -1.540847e-05          -1.218592e-11          1.765330e-12      
   0.001947       2.623487         1.410185e-04           -1.318153e-05          -1.185048e-11          1.912635e-12      
   0.001947       2.731929         1.338519e-04           -1.075156e-05          -1.134267e-11          1.951125e-12      
   0.001947       2.837939         1.267548e-04           -8.244195e-06          -1.072386e-11          1.900647e-12      
   0.001947       2.941165         1.198513e-04           -5.768099e-06          -1.004842e-11          1.785195e-12      
   0.001947       3.041265         1.132230e-04           -3.407664e-06          -9.358920e-12          1.628290e-12      
   0.001947       3.137906         1.069095e-04           -1.221566e-06          -8.684714e-12          1.449960e-12      
   0.001947       3.230766         1.009160e-04           7.542923e-07           -8.043299e-12          1.265453e-12      
   0.001947       3.319539         9.522357e-05           2.501578e-06           -7.442975e-12          1.085281e-12      
   0.001947       3.403928         8.979996e-05           4.013979e-06           -6.885760e-12          9.160110e-13      
   0.001947       3.483653         8.460632e-05           5.292476e-06           -6.369845e-12          7.612869e-13      
   0.001947       3.558450         7.960174e-05           6.341906e-06           -5.891364e-12          6.227742e-13      
   0.001947       3.628070         7.474481e-05           7.168721e-06           -5.445488e-12          5.008885e-13      
   0.001947       3.692281         6.999345e-05           7.779646e-06           -5.026998e-12          3.953016e-13      
   0.001947       3.750871         6.530339e-05           8.180884e-06           -4.630508e-12          3.052642e-13      
   0.001947       3.803645         6.062552e-05           8.377543e-06           -4.250453e-12          2.297998e-13      
   0.001947       3.850427         5.590209e-05           8.373037e-06           -3.880888e-12          1.678131e-13      
