#        A               a_2        

        4              2.344286     
        9              3.049444     
        12             3.140882     
        16             3.069396     
        27             3.794894     
        40             3.545191     
        48             3.674174     
        56             3.868663     
        63             3.774008     
       197             4.049034     
       208             4.035244     
